direction,panel,intervention,value
correct_to_irrelevant,natural_monitor_recovery,exact K12,0.7788246956081869
correct_to_irrelevant,natural_monitor_recovery,K12 + other 52,0.935241446872959
correct_to_irrelevant,natural_monitor_recovery,Full tail,1.0000000008666299
correct_to_irrelevant,k12_reconstruction,QKV→K12 coordinate,0.9043188095092773
correct_to_irrelevant,k12_reconstruction,QKV→exact-K12 probe,0.9067240424981635
correct_to_irrelevant,k12_reconstruction,Exact K12 identity,1.0
irrelevant_to_correct,natural_monitor_recovery,exact K12,0.7602605778970062
irrelevant_to_correct,natural_monitor_recovery,K12 + other 52,0.944267747875849
irrelevant_to_correct,natural_monitor_recovery,Full tail,0.9999999933129193
irrelevant_to_correct,k12_reconstruction,QKV→K12 coordinate,0.8863874673843384
irrelevant_to_correct,k12_reconstruction,QKV→exact-K12 probe,0.9316104400976315
irrelevant_to_correct,k12_reconstruction,Exact K12 identity,1.0
