panel,factor,direction,metric,value,qualifies
factor,Q,correct_to_irrelevant,probe_recovery_to_exact_k12,-0.003487979035091319,False
factor,Q,correct_to_irrelevant,k12_recovery,0.06122727505862713,False
factor,Q,irrelevant_to_correct,probe_recovery_to_exact_k12,0.020238466775223396,False
factor,Q,irrelevant_to_correct,k12_recovery,0.0757022462785244,False
factor,K,correct_to_irrelevant,probe_recovery_to_exact_k12,0.20453920724230107,False
factor,K,correct_to_irrelevant,k12_recovery,0.1860700324177742,False
factor,K,irrelevant_to_correct,probe_recovery_to_exact_k12,0.18158753264551214,False
factor,K,irrelevant_to_correct,k12_recovery,0.3364543914794922,False
factor,V,correct_to_irrelevant,probe_recovery_to_exact_k12,0.5963398342545626,False
factor,V,correct_to_irrelevant,k12_recovery,0.430919885635376,False
factor,V,irrelevant_to_correct,probe_recovery_to_exact_k12,0.7177028234340281,False
factor,V,irrelevant_to_correct,k12_recovery,0.6370498836040497,False
factor,QK,correct_to_irrelevant,probe_recovery_to_exact_k12,0.18929572985736123,False
factor,QK,correct_to_irrelevant,k12_recovery,0.21428697556257248,False
factor,QK,irrelevant_to_correct,probe_recovery_to_exact_k12,0.2613846627538212,False
factor,QK,irrelevant_to_correct,k12_recovery,0.43571045994758606,False
factor,QV,correct_to_irrelevant,probe_recovery_to_exact_k12,0.5629427551801116,False
factor,QV,correct_to_irrelevant,k12_recovery,0.5089652836322784,False
factor,QV,irrelevant_to_correct,probe_recovery_to_exact_k12,0.7099851400905888,False
factor,QV,irrelevant_to_correct,k12_recovery,0.7014539837837219,False
factor,KV,correct_to_irrelevant,probe_recovery_to_exact_k12,0.8193959579350061,True
factor,KV,correct_to_irrelevant,k12_recovery,0.7680235505104065,True
factor,KV,irrelevant_to_correct,probe_recovery_to_exact_k12,0.840772342704988,True
factor,KV,irrelevant_to_correct,k12_recovery,0.7779353260993958,True
factor,QKV,correct_to_irrelevant,probe_recovery_to_exact_k12,0.907492417215954,True
factor,QKV,correct_to_irrelevant,k12_recovery,0.896135538816452,True
factor,QKV,irrelevant_to_correct,probe_recovery_to_exact_k12,0.9282170973275079,True
factor,QKV,irrelevant_to_correct,k12_recovery,0.9216466844081879,True
region,monitoring_language,correct_to_irrelevant,probe_recovery,0.0,False
region,monitoring_language,correct_to_irrelevant,k12_recovery,0.0,False
region,monitoring_language,irrelevant_to_correct,probe_recovery,0.0,False
region,monitoring_language,irrelevant_to_correct,k12_recovery,0.0,False
region,named_concept,correct_to_irrelevant,probe_recovery,0.5077677472834964,False
region,named_concept,correct_to_irrelevant,k12_recovery,0.464880034327507,False
region,named_concept,irrelevant_to_correct,probe_recovery,0.35069284423544944,False
region,named_concept,irrelevant_to_correct,k12_recovery,0.5486548840999603,False
region,trigger_other,correct_to_irrelevant,probe_recovery,0.4617805515728487,False
region,trigger_other,correct_to_irrelevant,k12_recovery,0.34778089821338654,False
region,trigger_other,irrelevant_to_correct,probe_recovery,0.2635392757101392,False
region,trigger_other,irrelevant_to_correct,k12_recovery,0.4301627278327942,False
