panel,state,endpoint,value
precursor,Natural monitor,correct_to_irrelevant,0.012514913627468888
precursor,Natural K12,correct_to_irrelevant,0.08120611269735524
precursor,QKV monitor,correct_to_irrelevant,0.0076249689283223055
precursor,QKV K12,correct_to_irrelevant,0.061122675567958494
precursor,K12 + tail,correct_to_irrelevant,0.011281166700255734
precursor,Natural monitor,irrelevant_to_correct,0.012514913627468888
precursor,Natural K12,irrelevant_to_correct,0.08120611269735524
precursor,QKV monitor,irrelevant_to_correct,0.0061960878711313115
precursor,QKV K12,irrelevant_to_correct,0.057781207988505265
precursor,K12 + tail,irrelevant_to_correct,0.011366866548575355
hybrid,chameleon,k12,1.0
hybrid,chameleon,kv,1.0
hybrid,chameleon,margins,1.0
hybrid,early_representation,k12,0.020702484058614287
hybrid,early_representation,kv,0.27719790560201957
hybrid,early_representation,margins,0.011469916739893157
hybrid,k12_kv_readout,k12,0.9064482045255713
hybrid,k12_kv_readout,kv,0.9784452445348331
hybrid,k12_kv_readout,margins,0.9263058318876796
hybrid,tail_attention_complement,k12,0.8890812172747102
hybrid,tail_attention_complement,kv,0.9843172289528448
hybrid,tail_attention_complement,margins,0.7458153457214705
hybrid,distributed_combination,k12,0.007015546926763304
hybrid,distributed_combination,kv,0.25568266675543205
hybrid,distributed_combination,margins,0.0007531886549677908
