panel,item,direction,metric,value
residual_scan,resid_pre.layer_00,correct_to_irrelevant,k12_recovery_to_day60_kv,1.0446122288703918
residual_scan,resid_pre.layer_00,irrelevant_to_correct,k12_recovery_to_day60_kv,1.0165111422538757
residual_scan,resid_pre.layer_01,correct_to_irrelevant,k12_recovery_to_day60_kv,1.0435547232627869
residual_scan,resid_pre.layer_01,irrelevant_to_correct,k12_recovery_to_day60_kv,1.016606628894806
residual_scan,resid_pre.layer_02,correct_to_irrelevant,k12_recovery_to_day60_kv,1.0463029146194458
residual_scan,resid_pre.layer_02,irrelevant_to_correct,k12_recovery_to_day60_kv,1.0191711783409119
residual_scan,resid_pre.layer_03,correct_to_irrelevant,k12_recovery_to_day60_kv,1.0484403371810913
residual_scan,resid_pre.layer_03,irrelevant_to_correct,k12_recovery_to_day60_kv,1.017609179019928
residual_scan,resid_pre.layer_04,correct_to_irrelevant,k12_recovery_to_day60_kv,1.0487098097801208
residual_scan,resid_pre.layer_04,irrelevant_to_correct,k12_recovery_to_day60_kv,1.0041117668151855
residual_scan,resid_pre.layer_05,correct_to_irrelevant,k12_recovery_to_day60_kv,1.0430043935775757
residual_scan,resid_pre.layer_05,irrelevant_to_correct,k12_recovery_to_day60_kv,0.9996382594108582
residual_scan,resid_pre.layer_06,correct_to_irrelevant,k12_recovery_to_day60_kv,1.0373142957687378
residual_scan,resid_pre.layer_06,irrelevant_to_correct,k12_recovery_to_day60_kv,1.0008816123008728
residual_scan,resid_pre.layer_07,correct_to_irrelevant,k12_recovery_to_day60_kv,1.034238874912262
residual_scan,resid_pre.layer_07,irrelevant_to_correct,k12_recovery_to_day60_kv,0.9896566569805145
residual_scan,resid_pre.layer_08,correct_to_irrelevant,k12_recovery_to_day60_kv,1.0235663056373596
residual_scan,resid_pre.layer_08,irrelevant_to_correct,k12_recovery_to_day60_kv,0.9823224246501923
residual_scan,resid_pre.layer_09,correct_to_irrelevant,k12_recovery_to_day60_kv,1.014004111289978
residual_scan,resid_pre.layer_09,irrelevant_to_correct,k12_recovery_to_day60_kv,0.9890793561935425
residual_scan,resid_pre.layer_10,correct_to_irrelevant,k12_recovery_to_day60_kv,0.7820124328136444
residual_scan,resid_pre.layer_10,irrelevant_to_correct,k12_recovery_to_day60_kv,0.7822716534137726
residual_scan,resid_pre.layer_11,correct_to_irrelevant,k12_recovery_to_day60_kv,0.4744938760995865
residual_scan,resid_pre.layer_11,irrelevant_to_correct,k12_recovery_to_day60_kv,0.5462900996208191
residual_scan,resid_pre.layer_12,correct_to_irrelevant,k12_recovery_to_day60_kv,0.16070833057165146
residual_scan,resid_pre.layer_12,irrelevant_to_correct,k12_recovery_to_day60_kv,0.2166500836610794
threshold_diagnostic,all-caps,normal,TPR_at_nominal_5pct_FPR,1.0
threshold_diagnostic,all-caps,correct,TPR_at_nominal_5pct_FPR,0.984375
threshold_diagnostic,all-caps,normal_k12_into_correct,TPR_at_nominal_5pct_FPR,1.0
threshold_diagnostic,german,normal,TPR_at_nominal_5pct_FPR,1.0
threshold_diagnostic,german,correct,TPR_at_nominal_5pct_FPR,0.015625
threshold_diagnostic,german,normal_k12_into_correct,TPR_at_nominal_5pct_FPR,1.0
threshold_diagnostic,literature-focused,normal,TPR_at_nominal_5pct_FPR,0.4140625
threshold_diagnostic,literature-focused,correct,TPR_at_nominal_5pct_FPR,0.0
threshold_diagnostic,literature-focused,normal_k12_into_correct,TPR_at_nominal_5pct_FPR,0.0
