panel,model,split,concept,condition,positive_score_mean,negative_score_mean,auroc,auroc_ci_low,auroc_ci_high,tpr_at_5pct_fpr,tpr_ci_low,tpr_ci_high,fpr_at_normal_threshold,activation_l2_mean,response_nll_mean,normal_negative_threshold,positive_suppression_gap,correct_vs_irrelevant_gap
A-C,base,discovery,HTML,normal,0.755358309485,0.315036475193,0.96875,0.92138671875,1,0.984375,0,1,0.046875,146.588770986,1.53995969873,0.572014093399,-0.00981725752354,-0.0596618195996
A-C,base,discovery,HTML,correct_trigger,0.765175567009,0.327418802306,0.969482421875,0.92236328125,1,1,0,1,0.078125,145.664525449,1.56552605456,0.572014093399,-0.00981725752354,-0.0596618195996
A-C,base,discovery,HTML,irrelevant_trigger,0.705513747409,0.313640068285,0.96533203125,0.91748046875,0.998297119141,0.921875,0,1,0.046875,145.662475824,1.62139262007,0.572014093399,-0.00981725752354,-0.0596618195996
A-C,base,discovery,biology-focused,normal,0.775353427045,0.368863787269,0.99951171875,0.997802734375,1,1,0.96875,1,0.046875,153.502673447,1.82476123661,0.582194030285,0.00195945892483,0.0012179594487
A-C,base,discovery,biology-focused,correct_trigger,0.77339396812,0.395076120039,0.99951171875,0.997802734375,1,1,0.96875,1,0.046875,152.814161539,1.91451530458,0.582194030285,0.00195945892483,0.0012179594487
A-C,base,discovery,biology-focused,irrelevant_trigger,0.774611927569,0.379994988674,0.999755859375,0.99853515625,1,1,0.96875,1,0.015625,152.815364897,1.88371576942,0.582194030285,0.00195945892483,0.0012179594487
A-C,base,discovery,comforting,normal,0.839555233717,0.231112946174,0.999267578125,0.9970703125,1,1,1,1,0.046875,152.229251385,1.88840340119,0.419707685709,-0.00359539315104,-0.0243262713775
A-C,base,discovery,comforting,correct_trigger,0.843150626868,0.243772697169,0.9990234375,0.99609375,1,1,1,1,0.078125,151.469753921,1.91813863441,0.419707685709,-0.00359539315104,-0.0243262713775
A-C,base,discovery,comforting,irrelevant_trigger,0.818824355491,0.231235176907,0.9990234375,0.99609375,1,1,1,1,0.046875,150.911141694,1.93441021041,0.419707685709,-0.00359539315104,-0.0243262713775
A-C,base,discovery,german,normal,0.746318176389,0.244634295348,0.998779296875,0.9951171875,1,1,1,1,0.046875,152.097686946,2.25124212587,0.37662178278,-0.0116819739342,-0.0261526252143
A-C,base,discovery,german,correct_trigger,0.758000150323,0.264275752706,0.998046875,0.9931640625,1,1,1,1,0.078125,151.230155468,2.11086056125,0.37662178278,-0.0116819739342,-0.0261526252143
A-C,base,discovery,german,irrelevant_trigger,0.731847525109,0.229951754562,0.9990234375,0.99609375,1,0.984375,0.953125,1,0.03125,151.280165017,2.22253909259,0.37662178278,-0.0116819739342,-0.0261526252143
A-C,base,validation,all-caps,normal,0.524004663341,0.23258090578,0.94482421875,0.890374755859,0.98779296875,0.90625,0.703125,0.96875,0.046875,154.845632315,2.7485316731,0.359117627144,-0.0213221739978,-0.00850565405563
A-C,base,validation,all-caps,correct_trigger,0.545326837339,0.247367448872,0.95263671875,0.903802490234,0.98974609375,0.921875,0.78125,0.984375,0.109375,153.44539392,2.29657848063,0.359117627144,-0.0213221739978,-0.00850565405563
A-C,base,validation,all-caps,irrelevant_trigger,0.536821183283,0.242283393512,0.951416015625,0.9033203125,0.987548828125,0.921875,0.734375,0.984375,0.109375,154.005705595,2.70552443713,0.359117627144,-0.0213221739978,-0.00850565405563
A-C,base,validation,chemistry-based,normal,0.82007736899,0.321846898529,0.99853515625,0.99462890625,1,1,0.953125,1,0.046875,154.089908719,2.49759883364,0.486723810434,0.00139013770968,-0.00103203114122
A-C,base,validation,chemistry-based,correct_trigger,0.81868723128,0.324485616409,0.99853515625,0.99462890625,1,1,0.953125,1,0.0625,153.439687669,2.46542839706,0.486723810434,0.00139013770968,-0.00103203114122
A-C,base,validation,chemistry-based,irrelevant_trigger,0.817655200139,0.311757083749,0.99853515625,0.99462890625,1,1,0.953125,1,0.0625,153.253021181,2.41218360839,0.486723810434,0.00139013770968,-0.00103203114122
A-C,base,validation,confused,normal,0.840771515854,0.447713558213,0.99462890625,0.98486328125,1,0.984375,0.890625,1,0.046875,152.798799157,2.98517208593,0.6865234375,-0.00575720518827,-0.0064706383273
A-C,base,validation,confused,correct_trigger,0.846528721042,0.465910466621,0.99267578125,0.9814453125,0.99951171875,0.984375,0.890625,1,0.0625,151.840542436,2.84008880821,0.6865234375,-0.00575720518827,-0.0064706383273
A-C,base,validation,confused,irrelevant_trigger,0.840058082715,0.454753379687,0.99365234375,0.98291015625,0.999755859375,0.984375,0.890625,1,0.0625,151.70346117,2.82283273991,0.6865234375,-0.00575720518827,-0.0064706383273
A-C,base,validation,finnish,normal,0.762018159498,0.218232571904,0.99951171875,0.997802734375,1,1,1,1,0.046875,152.059684038,3.04682542919,0.387789726257,-0.033007866703,-0.0319962315261
A-C,base,validation,finnish,correct_trigger,0.795026026201,0.233688220906,0.99951171875,0.997802734375,1,1,1,1,0.09375,151.305092871,2.70302657993,0.387789726257,-0.033007866703,-0.0319962315261
A-C,base,validation,finnish,irrelevant_trigger,0.763029794674,0.226700130384,0.99951171875,0.997802734375,1,1,1,1,0.0625,151.128647089,2.9010356802,0.387789726257,-0.033007866703,-0.0319962315261
A-C,base,validation,jokey,normal,0.759445795789,0.376989355311,0.9189453125,0.855712890625,0.971929931641,0.140625,0,0.9375,0.046875,154.210452318,3.00653598038,0.828515648842,-0.00093995872885,-0.00198987033218
A-C,base,validation,jokey,correct_trigger,0.760385754518,0.388772291481,0.91259765625,0.847406005859,0.968017578125,0.125,0,0.9375,0.0625,152.861657858,2.81900399008,0.828515648842,-0.00093995872885,-0.00198987033218
A-C,base,validation,jokey,irrelevant_trigger,0.758395884186,0.385589850484,0.912109375,0.845947265625,0.968505859375,0.125,0,0.921875,0.046875,153.269953609,2.97428873429,0.828515648842,-0.00093995872885,-0.00198987033218
