panel,layer,token_region,direction,estimate,ci_low,ci_high,component_type,concept,group_id
A,0,response,rescue,-0.000193490311615,-0.000370554629263,2.70259060055e-05,,,
A,0,response,induction,0.000505889240117,0.00029363555433,0.000771837476372,,,
A,1,response,rescue,0.00223136181707,0.00174104371567,0.00276926616124,,,
A,1,response,induction,0.00127795873289,0.000908569337438,0.00174903528125,,,
A,2,response,rescue,0.00232219305301,0.00179691142599,0.00290087702676,,,
A,2,response,induction,0.001266530313,0.000888344893644,0.00175499600639,,,
A,3,response,rescue,0.00463224326532,0.00380628820627,0.00558206370253,,,
A,3,response,induction,0.00272157456286,0.00204759137618,0.00353182927895,,,
A,4,response,rescue,0.00970145238675,0.00819037933506,0.011401459657,,,
A,4,response,induction,0.00500736403789,0.00401782188079,0.00617382441218,,,
A,5,response,rescue,0.0115272972753,0.00985374350737,0.0134251917294,,,
A,5,response,induction,0.00618697523051,0.00506621422547,0.00748730416091,,,
A,6,response,rescue,0.027960971476,0.0251464333163,0.0310233536094,,,
A,6,response,induction,0.0476340830869,0.0445921748948,0.0508288728442,,,
A,7,response,rescue,0.0341753633149,0.0310045193882,0.0376063774471,,,
A,7,response,induction,0.0506490478714,0.047358630678,0.0542191578492,,,
A,8,response,rescue,0.0770712926525,0.0708499064711,0.0836130358341,,,
A,8,response,induction,0.0870010127276,0.0800491382709,0.0944588636153,,,
A,9,response,rescue,0.216076891543,0.205993770458,0.226549903705,,,
A,9,response,induction,0.285146448967,0.270565122364,0.300237376445,,,
A,10,response,rescue,0.535905397056,0.524883038617,0.547131666274,,,
A,10,response,induction,0.648471430972,0.637545302985,0.660014400649,,,
A,11,response,rescue,0.972051523625,0.968882588986,0.974900131398,,,
A,11,response,induction,0.966295790547,0.96271107275,0.969294606634,,,
A,12,response,rescue,1,1,1,,,
A,12,response,induction,1,1,1,,,
B,9,,induction,0.172613044915,0.166933736241,0.178736156375,attn_out,,
B,9,,induction,0.440865482213,0.432274858748,0.449485152866,block_output,,
B,9,,induction,0.0871919487331,0.0835479652518,0.0909083021246,mlp_out,,
B,10,,induction,0.17566125024,0.170224074637,0.181264318567,attn_out,,
B,10,,induction,0.660541467399,0.653737137037,0.667679755554,block_output,,
B,10,,induction,0.0519981816124,0.0473922316318,0.0565564707841,mlp_out,,
B,11,,induction,0.330753323429,0.323125582577,0.338368934322,attn_out,,
B,11,,induction,0.928753036623,0.926295823614,0.931199753687,block_output,,
B,11,,induction,0.161943029374,0.155430548605,0.168675926386,mlp_out,,
B,12,,induction,0.122452504023,0.117422620154,0.127788243401,attn_out,,
B,12,,induction,1,1,1,block_output,,
B,12,,induction,0.0997810694298,0.0942953787614,0.105455374322,mlp_out,,
B,9,,rescue,0.0648974907726,0.0618449458612,0.068004582524,attn_out,,
B,9,,rescue,0.278699565056,0.271144509868,0.286395914656,block_output,,
B,9,,rescue,0.0144457922284,0.0116074342588,0.0171197958176,mlp_out,,
B,10,,rescue,0.109062633553,0.104865274348,0.113244733925,attn_out,,
B,10,,rescue,0.554166791773,0.546742746969,0.561551578152,block_output,,
B,10,,rescue,0.0501121077836,0.0462105763227,0.0542176775489,mlp_out,,
B,11,,rescue,0.370019881879,0.363004346291,0.376832642453,attn_out,,
B,11,,rescue,0.909881543466,0.90517011198,0.914153472201,block_output,,
B,11,,rescue,0.240262557248,0.233609404414,0.246972565341,mlp_out,,
B,12,,rescue,0.147802003281,0.143943738153,0.151700416393,attn_out,,
B,12,,rescue,1,1,1,block_output,,
B,12,,rescue,0.102855202413,0.0975543804046,0.108161422882,mlp_out,,
C,,,rescue,0.945574816058,0.930869900374,0.959718979121,,deception,selected_k16
C,,,induction,0.987479938756,0.979455844234,0.994338459058,,deception,selected_k16
C,,,rescue,0.939312816904,0.916572942621,0.96050140225,,deception,selected_heads_k12
C,,,induction,0.992981841303,0.985089785483,0.999238487055,,deception,selected_heads_k12
C,,,rescue,-0.0145561194852,-0.0246137569149,-0.00593751760001,,deception,selected_mlps_k4
C,,,induction,-0.0298477131436,-0.0665655323199,0.00861633353559,,deception,selected_mlps_k4
C,,,rescue,0.850357408316,0.826707619075,0.875160894862,,harmful,selected_k16
C,,,induction,0.721946073698,0.67717965198,0.760138463305,,harmful,selected_k16
C,,,rescue,0.829887791283,0.794482759756,0.869525598341,,harmful,selected_heads_k12
C,,,induction,0.707616935368,0.654784643072,0.752974768573,,harmful,selected_heads_k12
C,,,rescue,0.0406099161755,-0.0189157065093,0.087976607002,,harmful,selected_mlps_k4
C,,,induction,0.0448765313681,-0.00570273023716,0.0886658762194,,harmful,selected_mlps_k4
