panel,scope,set_size,group_id,estimate,ci_low,ci_high,concept,direction
A,discovery,1,selected_k1,0.297368300397,0.286501131335,0.308472857971,,
A,discovery,2,selected_k2,0.485505787914,0.472164718608,0.49892822849,,
A,discovery,4,selected_k4,0.729255823714,0.716985430847,0.741252741977,,
A,discovery,8,selected_k8,0.85668693185,0.847373791975,0.8655989842,,
A,discovery,16,selected_k16,0.926221605782,0.920242196081,0.931765891827,,
A,validation,1,selected_k1,0.207628850659,0.199306790686,0.215919198675,,
A,validation,2,selected_k2,0.28799831185,0.279400201271,0.296542881952,,
A,validation,4,selected_k4,0.434750017089,0.425417524974,0.443691288573,,
A,validation,8,selected_k8,0.599872103776,0.590359431786,0.608756214833,,
A,validation,16,selected_k16,0.819756720565,0.810334318531,0.828454728409,,
B,discovery,1,selected_single_rank1,0.226639849716,0.212366289587,0.240712639913,,
B,discovery,16,selected_k16,0.932210104269,0.927200191008,0.936880867603,,
B,discovery,16,random_k16,0.0133562751933,0.0117571155724,0.0150153954113,,
B,discovery,1,resid_post_layer12_positive_control,1,1,1,,
B,validation,1,selected_single_rank1,0.124960523953,0.11836840555,0.131740428496,,
B,validation,16,selected_k16,0.806303939427,0.800336618161,0.81229295909,,
B,validation,16,random_k16,0.0454274079471,0.0406387889686,0.0504648696812,,
B,validation,1,resid_post_layer12_positive_control,1,1,1,,
B,all_benign,1,selected_single_rank1,0.161934824231,0.155419464134,0.16866425165,,
B,all_benign,16,selected_k16,0.85208799937,0.847966940326,0.856338541151,,
B,all_benign,16,random_k16,0.0337651778548,0.0306568243614,0.0370480575093,,
B,all_benign,1,resid_post_layer12_positive_control,1,1,1,,
C,validation,,,0.836891674213,0.807079806591,0.863528510611,all-caps,rescue
C,validation,,,0.405071634112,0.374658881997,0.436784616704,all-caps,induction
C,validation,,,0.925657485806,0.919568647477,0.931366715728,chemistry-based,rescue
C,validation,,,0.83151563775,0.823307086084,0.839924456135,chemistry-based,induction
C,validation,,,0.819292421,0.806114340647,0.831993542512,confused,rescue
C,validation,,,0.693530112318,0.681035516554,0.706026059829,confused,induction
C,validation,,,0.932955125562,0.916722494651,0.947106453532,finnish,rescue
C,validation,,,0.943048089313,0.932255057504,0.953146875201,finnish,induction
C,validation,,,0.913036534466,0.899887037922,0.925085629966,jokey,rescue
C,validation,,,0.839940573292,0.823574152518,0.855715634167,jokey,induction
C,validation,,,0.68840932986,0.658613199712,0.71578003597,literature-focused,rescue
C,validation,,,0.999762287628,0.99960469116,0.999881560268,literature-focused,induction
C,validation,,,0.622054473048,0.578377630307,0.662163375795,mathematical,rescue
C,validation,,,0.931259241575,0.917308699244,0.945417912449,mathematical,induction
