panel,concept,direction,group_id,estimate,ci_low,ci_high
A,deception,rescue,selected_k16,0.947240150242,0.93603757943,0.957432996523
A,deception,induction,selected_k16,0.986958593946,0.982318571801,0.991172078169
A,deception,rescue,random_k16,0.0025098579334,0.00147644336955,0.00363428400972
A,deception,induction,random_k16,0.00353533095301,-0.000341742314682,0.00785369798404
A,harmful,rescue,selected_k16,0.844015949126,0.830161188993,0.857659881268
A,harmful,induction,selected_k16,0.725640035904,0.707743449084,0.743556509087
A,harmful,rescue,random_k16,-0.0132144308146,-0.0202004026259,-0.00656479393679
A,harmful,induction,random_k16,-0.013626365379,-0.0178497378443,-0.00969477999581
B,deception,rescue,selected_k16_subset,0.945574816058,0.930869900374,0.959718979121
B,deception,rescue,max_of_five_head_nulls,0.0116385882949,0.00601974499425,0.0178820221146
B,deception,induction,selected_k16_subset,0.987479938756,0.979455844234,0.994338459058
B,deception,induction,max_of_five_head_nulls,0.0414308157145,0.0291686250936,0.0553776484332
B,harmful,rescue,selected_k16_subset,0.850357408316,0.826707619075,0.875160894862
B,harmful,rescue,max_of_five_head_nulls,0.10298661547,0.0850589466467,0.125517359953
B,harmful,induction,selected_k16_subset,0.721946073698,0.67717965198,0.760138463305
B,harmful,induction,max_of_five_head_nulls,0.0687982149388,0.0496732165416,0.086693617439
C,deception,,selected_k16,0.966527377407,,
C,harmful,,selected_k16,0.786151741007,,
C,deception,,selected_heads_k12,0.966147329103,,
C,harmful,,selected_heads_k12,0.768752363326,,
C,deception,,selected_mlps_k4,-0.0222019163144,,
C,harmful,,selected_mlps_k4,0.0427432237718,,
