panel,scope,concept,direction,estimand,source_role,mapping_id,estimate,ci_low,ci_high
C,mapping,deception,rescue,conditional,selected,within_15015,0.305753719664,0.269082092629,0.343447112667
C,mapping,deception,rescue,conditional,selected,within_15004,0.425122977662,0.385295392932,0.464459167274
C,mapping,deception,rescue,conditional,selected,cross_15130,0.0962260379639,0.0802350784281,0.112406663573
C,mapping,deception,rescue,conditional,selected,cross_15122,-0.0110106185435,-0.0184920572497,-0.00401876284911
A,population,deception,rescue,conditional,selected,mean_of_four_benign_selected_mappings,0.204023029187,0.183354034629,0.224575133633
C,mapping,deception,rescue,conditional,null,within_15015,-0.0194674673686,-0.0246662414546,-0.014728912758
C,mapping,deception,rescue,conditional,null,within_15004,-0.00472753045561,-0.00969736994465,6.20042843274e-05
C,mapping,deception,rescue,conditional,null,cross_15130,0.00732276467335,0.00475064777183,0.00988369592799
C,mapping,deception,rescue,conditional,null,cross_15122,-0.00257839645216,-0.00594564211412,0.000601208506824
A,population,deception,rescue,conditional,null,mean_of_four_benign_selected_mappings,-0.00486265740074,-0.00639905867997,-0.00339637000498
B,contrast,deception,rescue,conditional,selected_minus_null,mean_of_four_route_matched_contrasts,0.208885686587,0.18761975979,0.229937390079
C,mapping,deception,rescue,delta,selected,within_15015,0.186616836503,0.154142769806,0.220361375178
C,mapping,deception,rescue,delta,selected,within_15004,0.334558440421,0.291372418574,0.37669696256
C,mapping,deception,rescue,delta,selected,cross_15130,0.0163571583827,0.0114986711013,0.0218553486238
C,mapping,deception,rescue,delta,selected,cross_15122,-0.00362143633674,-0.00610485961511,-0.00143200738766
A,population,deception,rescue,delta,selected,mean_of_four_benign_selected_mappings,0.133477749742,0.114375675953,0.152643724957
C,mapping,deception,rescue,delta,null,within_15015,-0.00436820494723,-0.00622084633516,-0.00279948148157
C,mapping,deception,rescue,delta,null,within_15004,-0.00183018823512,-0.00291051977291,-0.000808433015448
C,mapping,deception,rescue,delta,null,cross_15130,0.00283800524671,0.00169448899604,0.00404798594256
C,mapping,deception,rescue,delta,null,cross_15122,0.00104652185666,0.000400138694058,0.00177813452625
A,population,deception,rescue,delta,null,mean_of_four_benign_selected_mappings,-0.000578466519745,-0.00100834415979,-0.000189487428321
B,contrast,deception,rescue,delta,selected_minus_null,mean_of_four_route_matched_contrasts,0.134056216262,0.114702858837,0.153347638706
C,mapping,deception,induction,conditional,selected,within_15015,0.488076313553,0.448282646444,0.527443186551
C,mapping,deception,induction,conditional,selected,within_15004,0.64928617688,0.610295094882,0.686879323475
C,mapping,deception,induction,conditional,selected,cross_15130,0.175689412013,0.156312340455,0.196455358178
C,mapping,deception,induction,conditional,selected,cross_15122,-0.0435178007718,-0.0558087980011,-0.0314273097059
A,population,deception,induction,conditional,selected,mean_of_four_benign_selected_mappings,0.317383525419,0.295883924599,0.338735652375
C,mapping,deception,induction,conditional,null,within_15015,-0.04908643377,-0.0583901823631,-0.0406337699888
C,mapping,deception,induction,conditional,null,within_15004,0.00527493950343,-0.00288489454444,0.0122388027321
C,mapping,deception,induction,conditional,null,cross_15130,0.0109125254712,0.00581975098766,0.0163212256917
C,mapping,deception,induction,conditional,null,cross_15122,-0.0211059276627,-0.0286450607462,-0.0136918846966
A,population,deception,induction,conditional,null,mean_of_four_benign_selected_mappings,-0.0135012241145,-0.0171059773871,-0.0101284822638
B,contrast,deception,induction,conditional,selected_minus_null,mean_of_four_route_matched_contrasts,0.330884749533,0.308028564397,0.353813070922
