panel,concept,direction,disposition,selected_normalized_probe_effect_estimate,selected_normalized_probe_effect_ci_low,selected_normalized_probe_effect_ci_high,selected_directional_coefficient_estimate,selected_directional_coefficient_ci_low,selected_directional_coefficient_ci_high,selected_kl_from_base_estimate,selected_nll_shift_from_base_estimate,mapping_id,directional_coefficient_estimate,directional_coefficient_ci_low,directional_coefficient_ci_high,kl_from_base_estimate,nll_shift_from_base_estimate,source_role,metric,estimate
A,deception,induction,behavior_preserving_portable_evasion,0.386177771125,0.366293452194,0.405193726869,0.0223937766877,0.0191994370502,0.025747750782,0.00251765022826,-0.004231365698,,,,,,,,,
A,deception,rescue,behavior_preserving_portable_evasion,0.137993699886,0.122132263967,0.154093604692,0.0278374916061,0.0238438040584,0.0323438475507,0.00290220051225,0.00171254815594,,,,,,,,,
A,harmful,induction,behavior_preserving_portable_evasion,0.0895446761734,0.0747833671373,0.103022836132,0.0865752096832,0.0797973677026,0.0937724623895,0.0098492012707,0.0188161943853,,,,,,,,,
A,harmful,rescue,mixed,0.160851526482,0.146337619941,0.174692445,0.0980762055069,0.0902252617538,0.105442887504,0.0129984897167,-0.0194503636658,,,,,,,,,
B,harmful,induction,,,,,,,,,,within_15015,0.136851196364,0.12474723037,0.149487901188,0.0138834299089,0.0309937864542,,,
B,harmful,induction,,,,,,,,,,within_15004,0.111903780032,0.102470266036,0.121243696801,0.0120112215995,0.0272840213776,,,
B,harmful,induction,,,,,,,,,,cross_15130,0.0403710724437,0.0343652808919,0.0468724605397,0.00645455749647,0.0107453775406,,,
B,harmful,induction,,,,,,,,,,cross_15122,0.0571747898933,0.0488569532615,0.0674816255324,0.0070475960779,0.00624159216881,,,
B,harmful,rescue,,,,,,,,,,within_15015,0.187156521715,0.172233743052,0.201885993077,0.0212254645198,-0.041014226079,,,
B,harmful,rescue,,,,,,,,,,within_15004,0.147712656986,0.135403231214,0.160021285882,0.0166027554474,-0.0333415794373,,,
B,harmful,rescue,,,,,,,,,,cross_15130,0.0212516251646,0.0153152196545,0.0274012437151,0.00641567102924,-0.00138240873814,,,
B,harmful,rescue,,,,,,,,,,cross_15122,0.0361840181617,0.0296989086733,0.0429678611517,0.00775006787037,-0.0020632404089,,,
C,,,,,,,,,,,,,,,,,,selected,exact_base_match,0.5625
C,,,,,,,,,,,,,,,,,,null,exact_base_match,0.90625
C,,,,,,,,,,,,,,,,,,selected,token_f1,0.88671875
C,,,,,,,,,,,,,,,,,,null,token_f1,0.966796875
