candidate_id,candidate_role,layer,component_type,head,scope,direction,concept_count,positive_concept_count,mean_positive_example_fraction,fraction,ci_low,ci_high
layer_11.mlp,selected,11,mlp,,discovery,rescue,4,4,1.0,0.2973683003965076,0.286345828469929,0.3082409601060636
layer_11.mlp,selected,11,mlp,,discovery,induction,4,4,1.0,0.2266398497162251,0.2126233878796809,0.2410185656311066
layer_11.mlp,selected,11,mlp,,validation,rescue,7,7,0.9933035714285714,0.2076288506592553,0.1993744615997951,0.2158767942318483
layer_11.mlp,selected,11,mlp,,validation,induction,7,7,0.9441964285714286,0.1249605239534879,0.1186387212896391,0.1315676372895315
layer_11.head_08,selected,11,attention_head,8.0,discovery,rescue,4,4,1.0,0.248934151078973,0.2385609168022521,0.2588465971351064
layer_11.head_08,selected,11,attention_head,8.0,discovery,induction,4,4,0.99609375,0.2329705084027211,0.2206018249751931,0.2452483362236815
layer_11.head_08,selected,11,attention_head,8.0,validation,rescue,7,7,0.9933035714285714,0.1389578969103437,0.1326780107235987,0.1452071458231083
layer_11.head_08,selected,11,attention_head,8.0,validation,induction,7,7,0.9821428571428572,0.1646110656233703,0.1568044048633708,0.1730109700568133
layer_10.head_12,selected,10,attention_head,12.0,discovery,rescue,4,3,0.78125,0.1680725628856205,0.1615552308740105,0.1745163399290338
layer_10.head_12,selected,10,attention_head,12.0,discovery,induction,4,4,0.921875,0.1437591638884801,0.1343699979145186,0.153175300449765
layer_10.head_12,selected,10,attention_head,12.0,validation,rescue,7,7,0.8973214285714286,0.0853928717280151,0.0808277884120943,0.0897872668848009
layer_10.head_12,selected,10,attention_head,12.0,validation,induction,7,7,0.984375,0.1301270831900518,0.1239248120060126,0.1368253488603446
layer_11.head_09,selected,11,attention_head,9.0,discovery,rescue,4,4,1.0,0.0944215281056862,0.091029902812227,0.0979058885771614
layer_11.head_09,selected,11,attention_head,9.0,discovery,induction,4,4,0.9921875,0.0604886383068858,0.0556993952598184,0.0657049108799269
layer_11.head_09,selected,11,attention_head,9.0,validation,rescue,7,7,0.9642857142857144,0.0611966320004935,0.0580695203317856,0.0643936763705023
layer_11.head_09,selected,11,attention_head,9.0,validation,induction,7,7,0.9575892857142856,0.098068320771529,0.092151033606506,0.1045708059468404
layer_12.mlp,selected,12,mlp,,discovery,rescue,4,4,0.98046875,0.0937757166812112,0.0859046979398997,0.1018611144289454
layer_12.mlp,selected,12,mlp,,discovery,induction,4,3,0.828125,0.1059977126452693,0.0961740259232607,0.1162750547991626
layer_12.mlp,selected,12,mlp,,validation,rescue,7,7,0.9330357142857144,0.1080408815073783,0.1011786020027203,0.1149543252624027
layer_12.mlp,selected,12,mlp,,validation,induction,7,6,0.8727678571428571,0.0961541248444337,0.0898177868558058,0.1024750684795612
layer_10.mlp,selected,10,mlp,,discovery,rescue,4,3,0.73828125,0.0706195878830455,0.0652583109477326,0.0761189475511761
layer_10.mlp,selected,10,mlp,,discovery,induction,4,3,0.78515625,0.0616634324728389,0.0539141411417124,0.0694642832389445
layer_10.mlp,selected,10,mlp,,validation,rescue,7,6,0.703125,0.0383936166646123,0.033230535630139,0.0438646725815388
layer_10.mlp,selected,10,mlp,,validation,induction,7,6,0.7857142857142857,0.0463999554857829,0.0404733552948799,0.0522777900527456
layer_10.head_02,selected,10,attention_head,2.0,discovery,rescue,4,3,0.80078125,0.046474244709584,0.0443530269368676,0.0486986736602351
layer_10.head_02,selected,10,attention_head,2.0,discovery,induction,4,4,0.98828125,0.0246977127332772,0.0223482782076318,0.0272386265471903
layer_10.head_02,selected,10,attention_head,2.0,validation,rescue,7,7,0.96875,0.0243790823637278,0.0230134859141059,0.0258056084120439
layer_10.head_02,selected,10,attention_head,2.0,validation,induction,7,7,0.9464285714285714,0.0234915027075322,0.0219419244866141,0.0251027527648944
layer_09.head_11,selected,9,attention_head,11.0,discovery,rescue,4,4,0.984375,0.0438930696671871,0.0417401352152357,0.0461226069882041
layer_09.head_11,selected,9,attention_head,11.0,discovery,induction,4,4,0.96484375,0.0159633425799346,0.0142474466268838,0.0177724927081849
layer_09.head_11,selected,9,attention_head,11.0,validation,rescue,7,6,0.8839285714285714,0.0281373849418257,0.0259325891625454,0.0305207577181598
layer_09.head_11,selected,9,attention_head,11.0,validation,induction,7,7,0.9776785714285714,0.0301846488897082,0.028032861818135,0.0325898723478916
layer_12.head_12,selected,12,attention_head,12.0,discovery,rescue,4,4,0.9921875,0.033419066884252,0.031771068806747,0.0351697859433442
layer_12.head_12,selected,12,attention_head,12.0,discovery,induction,4,4,0.984375,0.0137870514272836,0.0122403457255242,0.0154815210196589
layer_12.head_12,selected,12,attention_head,12.0,validation,rescue,7,7,0.9977678571428572,0.0608142590140105,0.0580404104268406,0.063545322018613
layer_12.head_12,selected,12,attention_head,12.0,validation,induction,7,7,0.9933035714285714,0.0514791264003276,0.0480209861516464,0.0552952206893187
layer_09.mlp,selected,9,mlp,,discovery,rescue,4,4,0.953125,0.0331586327323861,0.0309242752060488,0.0355393559951962
layer_09.mlp,selected,9,mlp,,discovery,induction,4,4,0.88671875,0.0076300333615499,0.0064885750613825,0.0088634204386397
layer_09.mlp,selected,9,mlp,,validation,rescue,7,6,0.7299107142857143,0.0037812524393833,-0.0003195287301798,0.0076379051255931
layer_09.mlp,selected,9,mlp,,validation,induction,7,6,0.8325892857142857,0.1325955368265792,0.1269655940107573,0.1385044682794409
layer_12.head_03,selected,12,attention_head,3.0,discovery,rescue,4,4,0.93359375,0.0328102422626736,0.031428343628944,0.0341994252172183
layer_12.head_03,selected,12,attention_head,3.0,discovery,induction,4,4,0.9765625,0.0134907974208265,0.0122971884547873,0.0147411623412323
layer_12.head_03,selected,12,attention_head,3.0,validation,rescue,7,7,0.9754464285714286,0.0291804489814391,0.0279298687247409,0.0304551677890934
layer_12.head_03,selected,12,attention_head,3.0,validation,induction,7,7,0.9709821428571428,0.0300339670437648,0.0279770449851231,0.032259503375246
layer_09.head_04,selected,9,attention_head,4.0,discovery,rescue,4,3,0.8515625,0.0276779107767858,0.0245966124077484,0.0307840626153014
layer_09.head_04,selected,9,attention_head,4.0,discovery,induction,4,4,0.90625,0.0269559625367305,0.0208277351732094,0.033906284267631
layer_09.head_04,selected,9,attention_head,4.0,validation,rescue,7,7,0.8883928571428571,0.0313809054867665,0.0293414720495651,0.0334743019836508
layer_09.head_04,selected,9,attention_head,4.0,validation,induction,7,7,0.9799107142857144,0.1405417051073089,0.1367882723955709,0.1443779187584604
layer_11.head_14,selected,11,attention_head,14.0,discovery,rescue,4,3,0.64453125,0.0248426669313419,0.0231740663309621,0.0265421205049303
layer_11.head_14,selected,11,attention_head,14.0,discovery,induction,4,4,0.890625,0.0087978872242498,0.0077002529056184,0.009985701886726
layer_11.head_14,selected,11,attention_head,14.0,validation,rescue,7,5,0.7366071428571429,0.0008343069617429,-1.8597941928755783e-05,0.0016924267584203
layer_11.head_14,selected,11,attention_head,14.0,validation,induction,7,6,0.859375,0.0093026808653322,0.0082355371037437,0.0104052591802017
layer_12.head_02,selected,12,attention_head,2.0,discovery,rescue,4,3,0.8125,0.0153510824347914,0.0142972570979956,0.0164358948834962
layer_12.head_02,selected,12,attention_head,2.0,discovery,induction,4,4,0.98046875,0.0098759819824427,0.0090178932462812,0.0107875872356372
layer_12.head_02,selected,12,attention_head,2.0,validation,rescue,7,7,0.9196428571428572,0.0136909710672623,0.0129042401367955,0.0144980240757668
layer_12.head_02,selected,12,attention_head,2.0,validation,induction,7,7,0.9464285714285714,0.0117204356048874,0.01091514565629,0.0126053648897844
