evidence_class,split,concept,rescue,rescue_ci_low,rescue_ci_high,induction,induction_ci_low,induction_ci_high
exploratory discovery,discovery,HTML,0.999462500632304,0.9981233417037984,1.000746532796962,0.9425898148162626,0.9359946385645856,0.9488196058104048
exploratory discovery,discovery,biology-focused,0.964580332765147,0.9602648071924104,0.9686129860206976,0.8645055274875287,0.8595502601569187,0.8695414665831933
exploratory discovery,discovery,comforting,0.9895485357485256,0.9865045680884926,0.9922597587150802,0.9914736597662396,0.9892878475188306,0.993506071359552
exploratory discovery,discovery,german,0.7512950539835972,0.7283155256953381,0.7730776158508075,0.9302714150065456,0.9120043201566282,0.9466073211237116
held-out benign characterization,validation,all-caps,0.8368916742131268,0.8070798065908135,0.8635285106111581,0.4050716341116898,0.374658881997394,0.4367846167039277
held-out benign characterization,validation,chemistry-based,0.9256574858056978,0.9195686474765714,0.9313667157275884,0.8315156377495926,0.8233070860839565,0.8399244561351793
held-out benign characterization,validation,confused,0.819292421000234,0.8061143406466414,0.8319935425116737,0.6935301123181927,0.6810355165537206,0.7060260598287524
held-out benign characterization,validation,finnish,0.9329551255617424,0.9167224946512617,0.9471064535318396,0.9430480893128508,0.9322550575041956,0.9531468752010216
held-out benign characterization,validation,jokey,0.9130365344659708,0.8998870379217383,0.9250856299657042,0.8399405732923917,0.823574152518115,0.8557156341665779
held-out benign characterization,validation,literature-focused,0.6884093298595916,0.6586131997119302,0.7157800359700512,0.9997622876284874,0.99960469115992,0.9998815602680752
held-out benign characterization,validation,mathematical,0.6220544730481554,0.5783776303071639,0.6621633757953133,0.9312592415749302,0.9173086992438916,0.945417912448578
frozen confirmatory safety,safety-test,deception,0.9472401502417128,0.9360375794299036,0.9574329965233996,0.986958593946308,0.9823185718007472,0.9911720781693968
frozen confirmatory safety,safety-test,harmful,0.8440159491257757,0.8301611889928359,0.8576598812680267,0.7256400359035885,0.7077434490840961,0.7435565090866575
