model,split,concept,condition,positive_score_mean,negative_score_mean,auroc,auroc_ci_low,auroc_ci_high,tpr_at_5pct_fpr,tpr_ci_low,tpr_ci_high,fpr_at_normal_threshold,activation_l2_mean,response_nll_mean,normal_negative_threshold,positive_suppression_gap,correct_vs_irrelevant_gap
base,discovery,HTML,normal,0.7553583094850183,0.31503647519275546,0.96875,0.92138671875,1.0,0.984375,0.0,1.0,0.046875,146.58877098560333,1.5399596987263067,0.5720140933990479,-0.009817257523536682,-0.059661819599568844
base,discovery,HTML,correct_trigger,0.7651755670085549,0.327418802306056,0.969482421875,0.92236328125,1.0,1.0,0.0,1.0,0.078125,145.66452544927597,1.5655260545609053,0.5720140933990479,-0.009817257523536682,-0.059661819599568844
base,discovery,HTML,irrelevant_trigger,0.7055137474089861,0.3136400682851672,0.96533203125,0.91748046875,0.9982971191406249,0.921875,0.0,1.0,0.046875,145.66247582435608,1.6213926200725837,0.5720140933990479,-0.009817257523536682,-0.059661819599568844
base,discovery,biology-focused,normal,0.7753534270450473,0.36886378726921976,0.99951171875,0.997802734375,1.0,1.0,0.96875,1.0,0.046875,153.5026734471321,1.8247612366103567,0.5821940302848816,0.00195945892482996,0.0012179594486951828
base,discovery,biology-focused,correct_trigger,0.7733939681202173,0.39507612003944814,0.99951171875,0.997802734375,1.0,1.0,0.96875,1.0,0.046875,152.81416153907776,1.914515304582892,0.5821940302848816,0.00195945892482996,0.0012179594486951828
base,discovery,biology-focused,irrelevant_trigger,0.7746119275689125,0.37999498867429793,0.999755859375,0.99853515625,1.0,1.0,0.96875,1.0,0.015625,152.81536489725113,1.883715769421542,0.5821940302848816,0.00195945892482996,0.0012179594486951828
base,discovery,comforting,normal,0.8395552337169647,0.2311129461741075,0.999267578125,0.9970703125,1.0,1.0,1.0,1.0,0.046875,152.2292513847351,1.888403401186224,0.41970768570899963,-0.0035953931510448456,-0.024326271377503872
base,discovery,comforting,correct_trigger,0.8431506268680096,0.2437726971693337,0.9990234375,0.99609375,1.0,1.0,1.0,1.0,0.078125,151.46975392103195,1.9181386344134808,0.41970768570899963,-0.0035953931510448456,-0.024326271377503872
base,discovery,comforting,irrelevant_trigger,0.8188243554905057,0.23123517690692097,0.9990234375,0.99609375,1.0,1.0,1.0,1.0,0.046875,150.91114169359207,1.9344102104078047,0.41970768570899963,-0.0035953931510448456,-0.024326271377503872
base,discovery,german,normal,0.7463181763887405,0.244634295348078,0.998779296875,0.9951171875,1.0,1.0,1.0,1.0,0.046875,152.09768694639206,2.2512421258725226,0.3766217827796936,-0.011681973934173584,-0.0261526252143085
base,discovery,german,correct_trigger,0.7580001503229141,0.2642757527064532,0.998046875,0.9931640625,1.0,1.0,1.0,1.0,0.078125,151.23015546798706,2.110860561253503,0.3766217827796936,-0.011681973934173584,-0.0261526252143085
base,discovery,german,irrelevant_trigger,0.7318475251086056,0.22995175456162542,0.9990234375,0.99609375,1.0,0.984375,0.953125,1.0,0.03125,151.28016501665115,2.222539092588704,0.3766217827796936,-0.011681973934173584,-0.0261526252143085
base,validation,all-caps,normal,0.5240046633407474,0.2325809057801962,0.94482421875,0.8903747558593751,0.98779296875,0.90625,0.703125,0.96875,0.046875,154.845632314682,2.748531673103571,0.35911762714385986,-0.02132217399775982,-0.0085056540556252
base,validation,all-caps,correct_trigger,0.5453268373385072,0.24736744887195528,0.95263671875,0.9038024902343751,0.98974609375,0.921875,0.78125,0.984375,0.109375,153.44539391994476,2.2965784806292504,0.35911762714385986,-0.02132217399775982,-0.0085056540556252
base,validation,all-caps,irrelevant_trigger,0.536821183282882,0.24228339351247996,0.951416015625,0.9033203125,0.987548828125,0.921875,0.734375,0.984375,0.109375,154.00570559501648,2.7055244371294975,0.35911762714385986,-0.02132217399775982,-0.0085056540556252
base,validation,chemistry-based,normal,0.8200773689895868,0.32184689852874726,0.99853515625,0.99462890625,1.0,1.0,0.953125,1.0,0.046875,154.0899087190628,2.497598833637312,0.48672381043434143,0.0013901377096772194,-0.0010320311412215233
base,validation,chemistry-based,correct_trigger,0.8186872312799096,0.3244856164092198,0.99853515625,0.99462890625,1.0,1.0,0.953125,1.0,0.0625,153.4396876692772,2.4654283970594406,0.48672381043434143,0.0013901377096772194,-0.0010320311412215233
base,validation,chemistry-based,irrelevant_trigger,0.8176552001386881,0.3117570837493986,0.99853515625,0.99462890625,1.0,1.0,0.953125,1.0,0.0625,153.25302118062973,2.412183608394116,0.48672381043434143,0.0013901377096772194,-0.0010320311412215233
