scope,grid,direction,layer,label,component_type,contrast,control,estimate,ci_low,ci_high
discovery,correct,rescue,12,1,,attention_minus_mlp,,0.027092671544583932,0.021236052164303645,0.03267601810220457
discovery,correct,rescue,12,1,,block_minus_attention,,0.8791602674841421,0.8732318201568954,0.8849206242245264
discovery,correct,rescue,12,1,,block_minus_mlp,,0.906252939028726,0.8981578399913811,0.913911289725266
discovery,correct,rescue,12,1,,block_minus_branch_sum,,0.7854132065128681,0.7725008526241605,0.7977519969201706
discovery,correct,rescue,12,0,,attention_minus_mlp,,0.036447394989812365,0.032447140992897666,0.04052786138355847
discovery,correct,rescue,12,0,,block_minus_attention,,0.048672645868915204,0.03522750123870928,0.0636183131420779
discovery,correct,rescue,12,0,,block_minus_mlp,,0.08512004085872757,0.07005267923357046,0.10178084591736258
discovery,correct,rescue,12,0,,block_minus_branch_sum,,0.07212218606443652,0.058455726131095766,0.08737503830702945
discovery,correct,rescue,11,1,,attention_minus_mlp,,0.1657845633488068,0.15806932367222268,0.17317507705306523
discovery,correct,rescue,11,1,,block_minus_attention,,0.5088978894989334,0.4996115811318505,0.518953199621684
discovery,correct,rescue,11,1,,block_minus_mlp,,0.6746824528477402,0.6647956923289439,0.6844379308766808
discovery,correct,rescue,11,1,,block_minus_branch_sum,,0.21154602095705594,0.19256230743105246,0.23062892159509793
discovery,correct,rescue,11,0,,attention_minus_mlp,,0.008381171837209423,0.004339557616398813,0.012651400920305741
discovery,correct,rescue,11,0,,block_minus_attention,,0.015467255742519372,0.005354227743707234,0.027216638441985422
discovery,correct,rescue,11,0,,block_minus_mlp,,0.023848427579728795,0.012919271026651783,0.03592923395849343
discovery,correct,rescue,11,0,,block_minus_branch_sum,,-0.012218345538731797,-0.021806731333238787,-0.001302868214021866
discovery,correct,rescue,10,1,,attention_minus_mlp,,0.09189141862390753,0.08574441261421917,0.09783259387792613
discovery,correct,rescue,10,1,,block_minus_attention,,0.37337205956309516,0.36210401233010403,0.3843345663556118
discovery,correct,rescue,10,1,,block_minus_mlp,,0.46526347818700264,0.45471837292885364,0.47583638198266925
discovery,correct,rescue,10,1,,block_minus_branch_sum,,0.30275713061937626,0.2900473193436532,0.31533891245817003
discovery,correct,rescue,10,0,,attention_minus_mlp,,0.00839266048988823,0.003591035836698188,0.013776486046638498
discovery,correct,rescue,10,0,,block_minus_attention,,0.011415759166077458,0.006427562143912398,0.017140708124805563
discovery,correct,rescue,10,0,,block_minus_mlp,,0.01980841965596569,0.011181518868969587,0.02979734024893008
discovery,correct,rescue,10,0,,block_minus_branch_sum,,0.028851030780568575,0.023897935874983733,0.03436511638124143
discovery,correct,rescue,9,1,,attention_minus_mlp,,0.06645044205597678,0.06215962072179366,0.07082283097994255
discovery,correct,rescue,9,1,,block_minus_attention,,0.11647751375245792,0.10909209034443713,0.12402745665924036
discovery,correct,rescue,9,1,,block_minus_mlp,,0.1829279558084347,0.17403241480445952,0.19193549574908664
discovery,correct,rescue,9,1,,block_minus_branch_sum,,0.08335293152770487,0.07706614358577021,0.08967744469915584
discovery,correct,rescue,9,0,,attention_minus_mlp,,-0.0009443766726241288,-0.002748154416939165,0.001030447871527919
discovery,correct,rescue,9,0,,block_minus_attention,,-0.014032460863626015,-0.016027990109658604,-0.012092226610676018
discovery,correct,rescue,9,0,,block_minus_mlp,,-0.014976837536250143,-0.017698411313219364,-0.012149390024968496
discovery,correct,rescue,9,0,,block_minus_branch_sum,,-0.013811388302051883,-0.01560397143670076,-0.012016090255734515
discovery,correct,induction,12,1,,attention_minus_mlp,,-0.0196030513644678,-0.026553921098929442,-0.012782076703339617
discovery,correct,induction,12,1,,block_minus_attention,,0.9135752707708716,0.9069733298681338,0.919905642904732
discovery,correct,induction,12,1,,block_minus_mlp,,0.8939722194064039,0.8839494036447103,0.9039066182879779
discovery,correct,induction,12,1,,block_minus_branch_sum,,0.8075474901772756,0.792115110734233,0.8230330228416574
discovery,correct,induction,12,0,,attention_minus_mlp,,0.0530603703037865,0.04521663145247109,0.06107513989281529
discovery,correct,induction,12,0,,block_minus_attention,,0.030909956534001137,0.01987900190571415,0.04330008363601981
discovery,correct,induction,12,0,,block_minus_mlp,,0.08397032683778763,0.06940179325610182,0.09954566933910611
discovery,correct,induction,12,0,,block_minus_branch_sum,,0.053209782708582516,0.042291026774887164,0.06475680798967562
discovery,correct,induction,11,1,,attention_minus_mlp,,0.14579256735164506,0.13642947365853145,0.15481923354610305
discovery,correct,induction,11,1,,block_minus_attention,,0.5938521166753989,0.5827125183787683,0.6049495733761494
discovery,correct,induction,11,1,,block_minus_mlp,,0.7396446840270441,0.7267754926295767,0.7524708950963851
discovery,correct,induction,11,1,,block_minus_branch_sum,,0.3671893684307911,0.34399012321640016,0.39076728031261404
discovery,correct,induction,11,0,,attention_minus_mlp,,-0.0003647194964461614,-0.005328430113890625,0.004284240785990556
discovery,correct,induction,11,0,,block_minus_attention,,0.006243355581982565,-0.001192378388652336,0.014664435812483435
discovery,correct,induction,11,0,,block_minus_mlp,,0.005878636085536404,-0.0008804382959867191,0.012972249274447577
discovery,correct,induction,11,0,,block_minus_branch_sum,,-0.04650580354509409,-0.05251612967373637,-0.04126864178862466
discovery,correct,induction,10,1,,attention_minus_mlp,,0.11233972403046885,0.10606899747675509,0.11862132149121536
discovery,correct,induction,10,1,,block_minus_attention,,0.47448260512686724,0.4604891776805889,0.4883183262925655
discovery,correct,induction,10,1,,block_minus_mlp,,0.5868223291573361,0.5738832514028138,0.6001131648646143
discovery,correct,induction,10,1,,block_minus_branch_sum,,0.4127944894815142,0.3927882985810151,0.4323625009982014
discovery,correct,induction,10,0,,attention_minus_mlp,,0.02828671861666927,0.02417771994049036,0.03257322006978942
discovery,correct,induction,10,0,,block_minus_attention,,-0.004744882305626787,-0.009601884582862482,0.0004857189115905334
discovery,correct,induction,10,0,,block_minus_mlp,,0.023541836311042483,0.01609342828602922,0.03191352815603123
discovery,correct,induction,10,0,,block_minus_branch_sum,,-0.005981083758755907,-0.011520196215991037,-0.000677315608196285
discovery,correct,induction,9,1,,attention_minus_mlp,,0.08534379889816353,0.07434819310917433,0.09702500516119646
discovery,correct,induction,9,1,,block_minus_attention,,0.19214855846254555,0.18021470709029278,0.20417624511687643
discovery,correct,induction,9,1,,block_minus_mlp,,0.2774923573607091,0.2631480822282918,0.2921091831332778
discovery,correct,induction,9,1,,block_minus_branch_sum,,0.1844844780192902,0.17248275583520137,0.196507615131295
discovery,correct,induction,9,0,,attention_minus_mlp,,0.01915421091445155,0.01395418712897643,0.025155510380577475
discovery,correct,induction,9,0,,block_minus_attention,,-0.00793558938679979,-0.010670650675969059,-0.005083304543683641
discovery,correct,induction,9,0,,block_minus_mlp,,0.01121862152765176,0.00597050154482787,0.01711965118821129
discovery,correct,induction,9,0,,block_minus_branch_sum,,-0.009999567935551776,-0.013076872815583661,-0.006886965071960468
validation,correct,rescue,12,1,,attention_minus_mlp,,0.055149160481776,0.04808660466345708,0.06197043976970073
validation,correct,rescue,12,1,,block_minus_attention,,0.8367909848528906,0.8316445883358089,0.8418474097286002
validation,correct,rescue,12,1,,block_minus_mlp,,0.8919401453346666,0.884829008762297,0.8988938331258545
validation,correct,rescue,12,1,,block_minus_branch_sum,,0.7287311301875572,0.7184709698490108,0.7389266339622125
validation,correct,rescue,12,0,,attention_minus_mlp,,0.035363942892521615,0.03122689594254204,0.039388476845721686
validation,correct,rescue,12,0,,block_minus_attention,,0.10662620907027923,0.09208039228788464,0.12273243717941396
validation,correct,rescue,12,0,,block_minus_mlp,,0.14199015196280082,0.12693979236318667,0.15862218927612443
validation,correct,rescue,12,0,,block_minus_branch_sum,,0.10519597443200372,0.09180274203633527,0.12043337851963536
validation,correct,rescue,11,1,,attention_minus_mlp,,0.10917033107850216,0.10228661785748244,0.11580229185146869
validation,correct,rescue,11,1,,block_minus_attention,,0.5575552456369754,0.5485148922622445,0.5669995182737931
validation,correct,rescue,11,1,,block_minus_mlp,,0.6667255767154776,0.6571817013868471,0.6759652475196236
validation,correct,rescue,11,1,,block_minus_branch_sum,,0.3499151519857148,0.33501998387237797,0.3653108387857091
validation,correct,rescue,11,0,,attention_minus_mlp,,0.025456385184370843,0.021659705056178574,0.02936626487253054
validation,correct,rescue,11,0,,block_minus_attention,,0.06573637438342864,0.05513130720084245,0.07790274552531991
validation,correct,rescue,11,0,,block_minus_mlp,,0.09119275956779949,0.07919851977851083,0.1046628179357992
validation,correct,rescue,11,0,,block_minus_branch_sum,,0.05384434393905735,0.04479269589450503,0.06427523710666172
