scope,concept,split,grid,direction,layer,component_type,label,fraction,ci_low,ci_high,patched_mean,destination_mean,numerator,positive_denominator
concept,HTML,discovery,correct,rescue,12,attn_out,1,0.3160400148312372,0.29890800433721637,0.33328282006520077,0.5200002971105278,0.31975554022938013,0.20024475688114762,0.6336057065054774
concept,HTML,discovery,correct,rescue,12,attn_out,0,0.04127586055808383,0.03451863248180577,0.04846600473864052,0.1337428216356784,0.10759020084515214,0.02615262079052627,0.6336057065054774
concept,HTML,discovery,correct,induction,12,attn_out,1,0.08014811399756594,0.06943646397399665,0.09134466268984207,0.9025789443403482,0.9533612467348576,0.050782302394509315,0.6336057065054774
concept,HTML,discovery,correct,induction,12,attn_out,0,0.07392545905995383,0.06082369256996959,0.08907640345349024,0.13856997727998532,0.18540956999640912,0.046839592716423795,0.6336057065054774
concept,HTML,discovery,irrelevant,rescue,12,attn_out,1,0.22180926251253572,0.21295151930869333,0.23060846249974157,0.7582667618989944,0.6177271474152803,0.1405396144837141,0.6336057065054774
concept,HTML,discovery,correct,rescue,12,mlp_out,1,0.1614955654679794,0.14009662848994886,0.1827767276068672,0.4220800520852208,0.31975554022938013,0.10232451185584068,0.6336057065054774
concept,HTML,discovery,correct,rescue,12,mlp_out,0,-0.07076060376257222,-0.07932596981821638,-0.0628121688211149,0.06275587850541342,0.10759020084515214,-0.04483432233973872,0.6336057065054774
concept,HTML,discovery,correct,induction,12,mlp_out,1,-0.01353981194041417,-0.01981464689251754,-0.00792560937228022,0.961940148845315,0.9533612467348576,-0.00857890211045742,0.6336057065054774
concept,HTML,discovery,correct,induction,12,mlp_out,0,-0.1466770969801172,-0.16430176809353345,-0.12984893802172348,0.2783450156566687,0.18540956999640912,-0.09293544566025957,0.6336057065054774
concept,HTML,discovery,irrelevant,rescue,12,mlp_out,1,0.3417331395719665,0.3295581254925961,0.35396749929401017,0.8342512147501111,0.6177271474152803,0.21652406733483076,0.6336057065054774
concept,HTML,discovery,correct,rescue,12,block_output,1,1.0,1.0,1.0,0.9533612467348576,0.31975554022938013,0.6336057065054774,0.6336057065054774
concept,HTML,discovery,correct,rescue,12,block_output,0,0.1228198678645964,0.09056651419260729,0.160238896734643,0.18540956999640912,0.10759020084515214,0.07781936915125698,0.6336057065054774
concept,HTML,discovery,correct,induction,12,block_output,1,1.0,1.0,1.0,0.31975554022938013,0.9533612467348576,0.6336057065054774,0.6336057065054774
concept,HTML,discovery,correct,induction,12,block_output,0,0.1228198678645964,0.09056651419260729,0.160238896734643,0.10759020084515214,0.18540956999640912,0.07781936915125698,0.6336057065054774
concept,HTML,discovery,irrelevant,rescue,12,block_output,1,0.5297207646229993,0.5126023034083202,0.5473669912780892,0.9533612467348576,0.6177271474152803,0.3356340993195772,0.6336057065054774
concept,HTML,discovery,correct,rescue,11,attn_out,1,0.7152229787453098,0.6965148861496983,0.7332033283333983,0.7729249009862542,0.31975554022938013,0.4531693607568741,0.6336057065054774
concept,HTML,discovery,correct,rescue,11,attn_out,0,0.08384181863644852,0.06876097379369717,0.10066748235874909,0.1607128555770032,0.10759020084515214,0.05312265473185107,0.6336057065054774
concept,HTML,discovery,correct,induction,11,attn_out,1,0.29603860439588203,0.27205174570402557,0.32077731564594497,0.7657894976437092,0.9533612467348576,0.18757174909114838,0.6336057065054774
concept,HTML,discovery,correct,induction,11,attn_out,0,0.09813630410981175,0.07431512803748778,0.12570437655131744,0.12322984769707546,0.18540956999640912,0.06217972229933366,0.6336057065054774
concept,HTML,discovery,irrelevant,rescue,11,attn_out,1,0.3645635601626106,0.353682274903509,0.374868024800012,0.8487166995182633,0.6177271474152803,0.230989552102983,0.6336057065054774
concept,HTML,discovery,correct,rescue,11,mlp_out,1,0.3371876296188232,0.3189012923478851,0.35494357649682806,0.5333995465189219,0.31975554022938013,0.21364400628954172,0.6336057065054774
concept,HTML,discovery,correct,rescue,11,mlp_out,0,0.036231391928043304,0.02640976810921661,0.04768193277742167,0.13054661752539687,0.10759020084515214,0.02295641668024473,0.6336057065054774
concept,HTML,discovery,correct,induction,11,mlp_out,1,0.08497778648833533,0.07607275515193818,0.09422805606259883,0.8995188362896442,0.9533612467348576,0.05384241044521332,0.6336057065054774
concept,HTML,discovery,correct,induction,11,mlp_out,0,0.08194944950284469,0.06131006957898671,0.10678798211530202,0.13348593114642426,0.18540956999640912,0.051923638849984854,0.6336057065054774
concept,HTML,discovery,irrelevant,rescue,11,mlp_out,1,0.17508612785808744,0.1669676091913903,0.1828023620499041,0.7286627171561122,0.6177271474152803,0.11093556974083185,0.6336057065054774
concept,HTML,discovery,correct,rescue,11,block_output,1,0.9716165200890681,0.966065608440315,0.9766516796685262,0.9353773118928075,0.31975554022938013,0.6156217716634274,0.6336057065054774
concept,HTML,discovery,correct,rescue,11,block_output,0,0.09995041670628782,0.07360344738228576,0.13056202733974984,0.1709193552378565,0.10759020084515214,0.06332915439270437,0.6336057065054774
concept,HTML,discovery,correct,induction,11,block_output,1,0.9191289445457037,0.9130671151096245,0.9249051987819737,0.3709959024563432,0.9533612467348576,0.5823653442785144,0.6336057065054774
concept,HTML,discovery,correct,induction,11,block_output,0,0.11662668740964215,0.08619831676481808,0.15205442096931684,0.11151423532282934,0.18540956999640912,0.07389533467357978,0.6336057065054774
concept,HTML,discovery,irrelevant,rescue,11,block_output,1,0.5039705241294106,0.48858288015175483,0.5189461334005346,0.9370457474142313,0.6177271474152803,0.31931859999895096,0.6336057065054774
concept,HTML,discovery,correct,rescue,10,attn_out,1,0.19435409823889208,0.1860792224885605,0.20274696255128985,0.4428994059562683,0.31975554022938013,0.12314386572688818,0.6336057065054774
concept,HTML,discovery,correct,rescue,10,attn_out,0,0.01505054307942008,0.009314391689464548,0.020773140018616795,0.11712631082627922,0.10759020084515214,0.009536109981127083,0.6336057065054774
concept,HTML,discovery,correct,induction,10,attn_out,1,0.05019031036467128,0.04155423229038653,0.05959775190618685,0.9215603796765208,0.9533612467348576,0.031800867058336735,0.6336057065054774
concept,HTML,discovery,correct,induction,10,attn_out,0,0.0389728815533554,0.028473218182103553,0.05159214916708505,0.16071612984524108,0.18540956999640912,0.024693440151168033,0.6336057065054774
concept,HTML,discovery,irrelevant,rescue,10,attn_out,1,0.1496192003131097,0.1409475670991667,0.1581985184206295,0.7125267265364528,0.6177271474152803,0.09479957912117243,0.6336057065054774
concept,HTML,discovery,correct,rescue,10,mlp_out,1,0.11481351241107782,0.10612505135901318,0.12454628741158548,0.3925020368769765,0.31975554022938013,0.07274649664759636,0.6336057065054774
concept,HTML,discovery,correct,rescue,10,mlp_out,0,-0.00197915036128839,-0.005150690722162825,0.0013573004718847555,0.10633619988220744,0.10759020084515214,-0.0012540009629447013,0.6336057065054774
concept,HTML,discovery,correct,induction,10,mlp_out,1,0.0180005393773139,0.014424788170591592,0.02197340128797523,0.9419560022652149,0.9533612467348576,0.01140524446964264,0.6336057065054774
concept,HTML,discovery,correct,induction,10,mlp_out,0,-0.004414634936149498,-0.00963391766567561,0.0014873598274561873,0.18820670788409188,0.18540956999640912,-0.0027971378876827657,0.6336057065054774
concept,HTML,discovery,irrelevant,rescue,10,mlp_out,1,0.05456965070163331,0.04950309367271327,0.05960547524164177,0.6523027895018458,0.6177271474152803,0.034575642086565495,0.6336057065054774
concept,HTML,discovery,correct,rescue,10,block_output,1,0.6139171835062311,0.587986675173306,0.639570103987192,0.7087369710206985,0.31975554022938013,0.3889814307913184,0.6336057065054774
concept,HTML,discovery,correct,rescue,10,block_output,0,0.021572622978513364,0.01136515919710402,0.03206139243481917,0.1212587378686294,0.10759020084515214,0.013668537023477256,0.6336057065054774
concept,HTML,discovery,correct,induction,10,block_output,1,0.4450013972432074,0.41913484449238214,0.4707135569684672,0.6714058220386505,0.9533612467348576,0.28195542469620705,0.6336057065054774
