comparison,candidate_id,scope,direction,layer,control_candidate_count,estimate,ci_low,ci_high
selected_minus_random_control,,discovery,rescue,,,0.0792283414255938,0.07664862896414437,0.08181803622395059
selected_minus_random_control,,discovery,induction,,,0.06159286528037257,0.05796474672517066,0.065295707667823
selected_minus_random_control,,validation,rescue,,,0.05488550145507929,0.05291533859839087,0.05690301013280952
selected_minus_random_control,,validation,induction,,,0.06726091673512997,0.06485187642317881,0.06981324595422296
selected_minus_nonselected_same_layer_mean,layer_11.mlp,discovery,rescue,11,12,0.2966718365887588,0.2856881302995192,0.3075243493223009
selected_minus_nonselected_same_layer_mean,layer_11.head_08,discovery,rescue,11,12,0.24823768727122425,0.23787602434037547,0.2581533447612542
selected_minus_nonselected_same_layer_mean,layer_10.head_12,discovery,rescue,10,14,0.17001348344711012,0.16346683057586917,0.17649442597773957
selected_minus_nonselected_same_layer_mean,layer_11.head_09,discovery,rescue,11,12,0.09372506429793741,0.09035990956528556,0.09714782958721947
selected_minus_nonselected_same_layer_mean,layer_12.mlp,discovery,rescue,12,13,0.09089714038520995,0.08314311895115171,0.09882786535344501
selected_minus_nonselected_same_layer_mean,layer_10.mlp,discovery,rescue,10,14,0.07256050844453511,0.06716160307525829,0.07807133527288443
selected_minus_nonselected_same_layer_mean,layer_10.head_02,discovery,rescue,10,14,0.04841516527107356,0.04625098146323275,0.05066382235815326
selected_minus_nonselected_same_layer_mean,layer_09.head_11,discovery,rescue,9,13,0.043419792693374024,0.0412703408315294,0.04564019484555896
selected_minus_nonselected_same_layer_mean,layer_12.head_12,discovery,rescue,12,13,0.030540490588250684,0.028933159028260057,0.03224729958602697
selected_minus_nonselected_same_layer_mean,layer_09.mlp,discovery,rescue,9,13,0.03268535575857302,0.03046296010614642,0.03505051538139534
selected_minus_nonselected_same_layer_mean,layer_12.head_03,discovery,rescue,12,13,0.029931665966672332,0.028597543719727076,0.03126287268972716
selected_minus_nonselected_same_layer_mean,layer_09.head_04,discovery,rescue,9,13,0.027204633802972743,0.02413542576676152,0.030311983146219985
selected_minus_nonselected_same_layer_mean,layer_11.head_14,discovery,rescue,11,12,0.02414620312359318,0.02249972673168673,0.025839181332355493
selected_minus_nonselected_same_layer_mean,layer_12.head_02,discovery,rescue,12,13,0.012472506138790097,0.011534805840890068,0.013446150338087309
selected_minus_nonselected_same_layer_mean,layer_09.head_13,discovery,rescue,9,13,0.01222304098608543,0.01134442586550729,0.013223347013218941
selected_minus_nonselected_same_layer_mean,layer_11.head_15,discovery,rescue,11,12,0.011225060517660227,0.008442228026143974,0.014418614312323878
