rank,candidate_id,layer,component_type,head,shared_candidate_gate,positive_discovery_concept_count,macro_recovery,ci_low,ci_high,minimum_concept_recovery,activation_rms_average_concept_rank,probe_projection_average_concept_rank,attribution_patch_average_concept_rank,gradient_rms_average_concept_rank
1,layer_11.mlp,11,mlp,,True,4,0.2973683003965076,0.28634582846992906,0.30824096010606367,0.1575308302864597,5.5,1.25,1.0,29.5
2,layer_11.head_08,11,attention_head,8,True,4,0.24893415107897304,0.2385609168022521,0.2588465971351064,0.016696217897715478,2.0,3.75,3.25,8.25
3,layer_10.head_12,10,attention_head,12,True,3,0.16807256288562056,0.1615552308740105,0.17451633992903384,-0.005066773036583407,21.5,13.5,11.25,8.25
4,layer_11.head_09,11,attention_head,9,True,4,0.0944215281056862,0.09102990281222707,0.09790588857716141,0.008371883947466406,4.75,6.0,5.25,11.25
5,layer_12.mlp,12,mlp,,True,4,0.09377571668121126,0.08590469793989977,0.10186111442894541,0.05179537977181632,5.75,2.5,3.75,29.5
6,layer_10.mlp,10,mlp,,True,3,0.07061958788304556,0.06525831094773266,0.07611894755117611,-0.012069382334803907,16.25,19.5,20.5,29.5
7,layer_10.head_02,10,attention_head,2,True,3,0.046474244709584014,0.0443530269368676,0.04869867366023512,-0.01109814766295793,16.75,20.75,12.5,15.25
8,layer_09.head_11,9,attention_head,11,True,4,0.04389306966718713,0.04174013521523571,0.04612260698820414,0.006825278197852291,10.0,12.0,11.0,55.25
9,layer_12.head_12,12,attention_head,12,True,4,0.033419066884252,0.031771068806747044,0.03516978594334422,0.002965106382897142,9.25,11.75,21.75,17.25
10,layer_09.mlp,9,mlp,,True,4,0.03315863273238613,0.030924275206048835,0.03553935599519628,0.0042794232161029256,23.75,4.75,6.5,29.5
11,layer_12.head_03,12,attention_head,3,True,4,0.03281024226267365,0.03142834362894406,0.03419942521721833,0.0005667565199095803,10.25,11.0,24.75,8.75
12,layer_09.head_04,9,attention_head,4,True,3,0.02767791077678585,0.024596612407748415,0.030784062615301477,-0.00023657998986074033,37.25,17.5,18.75,46.75
13,layer_11.head_14,11,attention_head,14,True,3,0.024842666931341968,0.023174066330962143,0.026542120504930336,-0.039024538899148774,13.0,26.5,28.5,32.75
14,layer_12.head_02,12,attention_head,2,True,3,0.015351082434791417,0.014297257097995624,0.01643589488349623,-0.0022048550067502288,15.0,14.25,23.5,12.0
15,layer_09.head_13,9,attention_head,13,True,4,0.012696317959898538,0.011802161533307631,0.013709592216915664,0.001400176248828514,22.75,16.5,18.25,55.25
16,layer_11.head_15,11,attention_head,15,True,3,0.011921524325409018,0.009130279773717307,0.015120869998062593,-0.020794597369512353,13.75,29.0,29.5,26.5
17,layer_09.head_12,9,attention_head,12,True,4,0.01131578637730151,0.010526387132910743,0.01211233733481966,0.0004215678292594879,28.25,32.5,30.25,53.5
18,layer_10.head_11,10,attention_head,11,True,4,0.010793417130758041,0.01022804968561952,0.011371885592781808,6.794910778238065e-05,49.5,35.0,34.25,23.0
19,layer_12.head_06,12,attention_head,6,True,3,0.010398135188726513,0.009854365997399687,0.01098189846807205,-5.601511331840564e-05,25.5,24.0,27.5,33.0
20,layer_12.head_11,12,attention_head,11,True,3,0.005303630291676295,0.004603136530796807,0.005990813932952493,-0.0015694649930744554,21.0,30.75,28.75,11.0
21,layer_11.head_13,11,attention_head,13,True,4,0.003843126452956426,0.003634847606800397,0.0040552270517761994,9.364605004171217e-05,46.25,29.0,28.5,14.5
22,layer_11.head_10,11,attention_head,10,True,3,0.003168140566522584,0.002861119634467698,0.003498136969028205,-0.0018955980831495227,45.25,25.0,25.75,23.75
23,layer_11.head_03,11,attention_head,3,True,4,0.0028690089362618043,0.002560107383181152,0.0031803779217560503,0.00011599349050403154,50.75,34.75,32.25,40.25
24,layer_12.head_05,12,attention_head,5,True,4,0.00250894447004432,0.002176987191181832,0.0028334580906995196,0.00047017308212587825,35.75,30.25,28.75,24.5
25,layer_11.head_06,11,attention_head,6,True,3,0.002123373224637015,0.0018811238323238116,0.0023657590175646037,-0.002192204166417146,51.0,40.0,41.25,25.0
26,layer_12.head_04,12,attention_head,4,True,4,0.0020958536817554854,0.0017284668423542045,0.0024662267383788322,6.162242972364419e-05,28.25,25.5,24.75,20.0
27,layer_11.head_07,11,attention_head,7,True,3,0.0018869058180709468,0.0017480920265040404,0.0020282922276426635,-0.00018392962819143533,48.75,35.25,31.5,41.5
28,layer_09.head_15,9,attention_head,15,True,4,0.001838548460005195,0.001594869395398239,0.0020897397328543074,0.0003859744218776437,39.25,49.5,49.0,60.75
29,layer_10.head_15,10,attention_head,15,True,3,0.0014677906660926351,0.001070765569043569,0.0018872197684601853,-0.004001373320920034,34.5,40.75,39.5,37.75
30,layer_11.head_02,11,attention_head,2,True,3,0.001381727259752055,0.0010889827825462661,0.0016947144452882756,-0.00023876289171753854,47.75,40.5,44.0,48.0
31,layer_11.head_01,11,attention_head,1,True,4,0.0012162307890589464,0.0010353148097401656,0.0013974588013298886,5.8021709818849205e-05,51.0,33.5,31.75,30.25
32,layer_09.head_02,9,attention_head,2,True,3,0.000935401432369219,0.000763008447909945,0.0011158754932200656,-2.193712157374143e-05,47.25,41.0,38.5,67.5
33,layer_12.head_00,12,attention_head,0,True,3,0.0008589825187373559,0.00020872356781697753,0.0015078715289866768,-0.011040661057340162,26.0,23.25,31.75,23.25
34,layer_09.head_00,9,attention_head,0,True,3,0.0007866782927482457,0.0006135089041550394,0.0009590644451808182,-0.0014430480156662666,47.0,43.0,42.0,56.5
35,layer_12.head_15,12,attention_head,15,True,3,0.0007364333455762298,0.00041499667731474075,0.0010591391429434077,-0.00091027543561425,19.0,41.75,46.25,28.5
36,layer_10.head_01,10,attention_head,1,True,3,0.0005664361388603476,0.0004689333149238544,0.0006646323885269646,-8.012489976273419e-05,64.5,45.25,42.0,35.25
37,layer_09.head_08,9,attention_head,8,True,4,0.0005268016789586229,0.0004273500928710779,0.0006250733073948251,5.754160346046726e-05,66.25,44.0,42.5,59.75
38,layer_09.head_06,9,attention_head,6,True,3,0.00045195630754140754,0.00021142236984043617,0.0007141126930165565,-0.0013075594535350685,49.5,43.5,42.25,50.25
39,layer_09.head_03,9,attention_head,3,True,3,0.0004489191447152348,0.0003212929013927393,0.0005773272214703223,-0.0002467031086811804,56.0,39.0,37.75,67.5
40,layer_11.head_00,11,attention_head,0,True,4,0.0003327852606951746,0.0002526543852060921,0.00041676595957506414,1.1510910599513393e-06,59.0,39.5,39.0,38.0
41,layer_10.head_08,10,attention_head,8,True,3,0.000269182847920627,0.00016991882171132346,0.0003698973534183325,-0.0007909580525123139,62.75,45.25,43.5,28.0
42,layer_10.head_03,10,attention_head,3,True,3,-0.017642182115871163,-0.018894883930508345,-0.016464047501187955,-0.09817719508967475,26.25,32.5,32.25,28.0
,layer_09.head_01,9,attention_head,1,False,2,0.00037975282846782296,0.0003209244410276449,0.00044029122965581194,-0.0001640710752627532,56.5,35.5,34.5,59.75
,layer_09.head_05,9,attention_head,5,False,0,-0.003304539932037168,-0.0036062226373990906,-0.003020491320782424,-0.00894246320685593,30.0,61.0,57.75,64.0
,layer_09.head_07,9,attention_head,7,False,2,-6.761673141823136e-05,-0.0001617937397470494,2.5276679310858826e-05,-0.0020526933173311275,56.25,47.75,46.5,60.5
,layer_09.head_09,9,attention_head,9,False,0,-0.0004378241103905176,-0.0005009684626856656,-0.00037475800047793854,-0.000938608452220611,65.0,44.5,44.5,60.25
,layer_09.head_10,9,attention_head,10,False,1,-0.0048688299859969,-0.00548192848155682,-0.0042969835016919075,-0.016284025717087144,35.25,41.5,38.5,55.5
,layer_09.head_14,9,attention_head,14,False,1,-0.0018524331026940287,-0.0021686482363250372,-0.0015502203458731879,-0.005476079258696866,40.75,42.5,39.75,53.75
,layer_10.head_00,10,attention_head,0,False,0,-0.002776245638504137,-0.0030157426428183034,-0.002556479937052693,-0.00918608995383172,45.5,51.25,49.75,27.75
,layer_10.head_04,10,attention_head,4,False,2,0.0014766581656038367,0.001333976910309219,0.0016248075088204986,-0.00044261171913752685,49.75,38.25,37.75,47.5
,layer_10.head_05,10,attention_head,5,False,2,-0.00024636006616908534,-0.0004016408189964509,-8.53776508795753e-05,-0.004599021523950502,53.0,50.5,49.0,53.0
,layer_10.head_06,10,attention_head,6,False,2,-0.004959534965826304,-0.005580909553236496,-0.00437582717952088,-0.019789832027901494,41.0,55.5,59.75,34.5
,layer_10.head_07,10,attention_head,7,False,2,0.0005027050950824348,0.00023653127182511068,0.0007746830748899915,-0.0026197842306659976,45.5,34.75,34.25,39.25
,layer_10.head_09,10,attention_head,9,False,0,-0.009885492693988812,-0.010741671486109274,-0.009110101660778996,-0.025389993981493577,42.0,60.75,59.5,12.0
,layer_10.head_10,10,attention_head,10,False,2,0.0006828690341767745,0.0005448376447954098,0.0008103807538646792,-0.0002282028635500593,63.5,40.25,35.5,39.0
,layer_10.head_13,10,attention_head,13,False,1,-0.004784525214739224,-0.005127823122606502,-0.004429233126431036,-0.013139648099110526,26.25,55.0,47.5,23.5
,layer_10.head_14,10,attention_head,14,False,0,-0.002637606244249689,-0.0030661801109085353,-0.0022364933374209475,-0.007719795606294266,38.25,42.0,41.25,17.25
,layer_11.head_04,11,attention_head,4,False,2,0.0026022243967322887,0.002358719291439511,0.0028523391461818203,-0.0025810149723029707,36.75,28.75,33.75,35.25
,layer_11.head_05,11,attention_head,5,False,1,-0.005487394939650824,-0.0058840878623004885,-0.00510342394644588,-0.018322975816153563,24.25,66.0,62.75,27.25
,layer_11.head_11,11,attention_head,11,False,2,-0.0006959060070692941,-0.0007735075065913113,-0.0006171065809309567,-0.0016593695760149158,65.0,39.5,42.5,51.75
,layer_11.head_12,11,attention_head,12,False,0,-0.004882656064981635,-0.00513002252176021,-0.004644161881441343,-0.009095596240928046,25.75,63.25,62.0,29.25
,layer_12.head_01,12,attention_head,1,False,2,0.016907280675521493,0.016015980089902817,0.017843285301801293,-0.0036185230537506196,10.25,47.0,37.5,9.5
,layer_12.head_07,12,attention_head,7,False,2,-0.002454394258384407,-0.0028732154418497856,-0.00202882819786852,-0.015504191342895053,14.5,53.0,45.25,13.75
,layer_12.head_08,12,attention_head,8,False,2,0.001550473344269253,0.000899988659651256,0.002209369939928855,-0.008106145306855625,44.25,49.0,50.75,23.75
,layer_12.head_09,12,attention_head,9,False,2,0.005216267797765817,0.004374024670142658,0.006073851964849705,-0.00029407205234937347,22.25,26.75,30.5,28.25
,layer_12.head_10,12,attention_head,10,False,1,-0.0013434913190969156,-0.0018261710069518609,-0.0008505660655042917,-0.005341522150815757,20.5,49.0,49.0,38.25
,layer_12.head_13,12,attention_head,13,False,2,-0.002193326762130356,-0.0031424610804692164,-0.0011116086702635962,-0.02310280904048775,20.5,39.5,43.0,24.5
,layer_12.head_14,12,attention_head,14,False,2,-0.0021632971264439384,-0.002677170322809714,-0.0016550555325860225,-0.025256591837126877,19.75,28.5,37.75,32.25
