candidate_id,candidate_role,layer,component_type,head,scope,direction,concept_count,positive_concept_count,mean_positive_example_fraction,fraction,ci_low,ci_high
layer_11.mlp,selected,11,mlp,,discovery,rescue,4,4,1.0,0.2973683003965076,0.28634582846992906,0.30824096010606367
layer_11.mlp,selected,11,mlp,,discovery,induction,4,4,1.0,0.2266398497162251,0.21262338787968094,0.2410185656311066
layer_11.mlp,selected,11,mlp,,validation,rescue,7,7,0.9933035714285714,0.20762885065925532,0.1993744615997951,0.21587679423184836
layer_11.mlp,selected,11,mlp,,validation,induction,7,7,0.9441964285714286,0.12496052395348793,0.11863872128963912,0.13156763728953158
layer_11.head_08,selected,11,attention_head,8,discovery,rescue,4,4,1.0,0.24893415107897304,0.2385609168022521,0.2588465971351064
layer_11.head_08,selected,11,attention_head,8,discovery,induction,4,4,0.99609375,0.23297050840272118,0.22060182497519315,0.24524833622368158
layer_11.head_08,selected,11,attention_head,8,validation,rescue,7,7,0.9933035714285714,0.13895789691034374,0.1326780107235987,0.14520714582310837
layer_11.head_08,selected,11,attention_head,8,validation,induction,7,7,0.9821428571428571,0.16461106562337033,0.1568044048633708,0.1730109700568133
layer_10.head_12,selected,10,attention_head,12,discovery,rescue,4,3,0.78125,0.16807256288562056,0.1615552308740105,0.17451633992903384
layer_10.head_12,selected,10,attention_head,12,discovery,induction,4,4,0.921875,0.14375916388848017,0.13436999791451862,0.15317530044976504
layer_10.head_12,selected,10,attention_head,12,validation,rescue,7,7,0.8973214285714286,0.0853928717280151,0.08082778841209431,0.0897872668848009
layer_10.head_12,selected,10,attention_head,12,validation,induction,7,7,0.984375,0.13012708319005184,0.1239248120060126,0.13682534886034464
layer_11.head_09,selected,11,attention_head,9,discovery,rescue,4,4,1.0,0.0944215281056862,0.09102990281222707,0.09790588857716141
layer_11.head_09,selected,11,attention_head,9,discovery,induction,4,4,0.9921875,0.060488638306885875,0.05569939525981845,0.06570491087992698
layer_11.head_09,selected,11,attention_head,9,validation,rescue,7,7,0.9642857142857143,0.06119663200049354,0.05806952033178561,0.06439367637050235
layer_11.head_09,selected,11,attention_head,9,validation,induction,7,7,0.9575892857142857,0.09806832077152904,0.09215103360650602,0.10457080594684048
layer_12.mlp,selected,12,mlp,,discovery,rescue,4,4,0.98046875,0.09377571668121126,0.08590469793989977,0.10186111442894541
layer_12.mlp,selected,12,mlp,,discovery,induction,4,3,0.828125,0.10599771264526933,0.09617402592326074,0.11627505479916267
layer_12.mlp,selected,12,mlp,,validation,rescue,7,7,0.9330357142857143,0.10804088150737837,0.10117860200272039,0.11495432526240278
layer_12.mlp,selected,12,mlp,,validation,induction,7,6,0.8727678571428571,0.09615412484443378,0.08981778685580587,0.10247506847956128
layer_10.mlp,selected,10,mlp,,discovery,rescue,4,3,0.73828125,0.07061958788304556,0.06525831094773266,0.07611894755117611
layer_10.mlp,selected,10,mlp,,discovery,induction,4,3,0.78515625,0.06166343247283897,0.05391414114171244,0.06946428323894452
layer_10.mlp,selected,10,mlp,,validation,rescue,7,6,0.703125,0.038393616664612336,0.03323053563013905,0.04386467258153889
layer_10.mlp,selected,10,mlp,,validation,induction,7,6,0.7857142857142857,0.04639995548578295,0.04047335529487996,0.052277790052745694
layer_10.head_02,selected,10,attention_head,2,discovery,rescue,4,3,0.80078125,0.046474244709584014,0.0443530269368676,0.04869867366023512
layer_10.head_02,selected,10,attention_head,2,discovery,induction,4,4,0.98828125,0.024697712733277227,0.022348278207631876,0.02723862654719031
layer_10.head_02,selected,10,attention_head,2,validation,rescue,7,7,0.96875,0.02437908236372784,0.023013485914105992,0.025805608412043938
layer_10.head_02,selected,10,attention_head,2,validation,induction,7,7,0.9464285714285714,0.023491502707532228,0.0219419244866141,0.02510275276489442
layer_09.head_11,selected,9,attention_head,11,discovery,rescue,4,4,0.984375,0.04389306966718713,0.04174013521523571,0.04612260698820414
layer_09.head_11,selected,9,attention_head,11,discovery,induction,4,4,0.96484375,0.015963342579934665,0.014247446626883866,0.017772492708184963
layer_09.head_11,selected,9,attention_head,11,validation,rescue,7,6,0.8839285714285714,0.02813738494182576,0.025932589162545483,0.030520757718159874
layer_09.head_11,selected,9,attention_head,11,validation,induction,7,7,0.9776785714285714,0.030184648889708225,0.02803286181813505,0.03258987234789165
layer_12.head_12,selected,12,attention_head,12,discovery,rescue,4,4,0.9921875,0.033419066884252,0.031771068806747044,0.03516978594334422
layer_12.head_12,selected,12,attention_head,12,discovery,induction,4,4,0.984375,0.01378705142728363,0.012240345725524258,0.015481521019658901
layer_12.head_12,selected,12,attention_head,12,validation,rescue,7,7,0.9977678571428571,0.0608142590140105,0.05804041042684066,0.06354532201861308
layer_12.head_12,selected,12,attention_head,12,validation,induction,7,7,0.9933035714285714,0.05147912640032765,0.04802098615164642,0.05529522068931876
layer_09.mlp,selected,9,mlp,,discovery,rescue,4,4,0.953125,0.03315863273238613,0.030924275206048835,0.03553935599519628
layer_09.mlp,selected,9,mlp,,discovery,induction,4,4,0.88671875,0.007630033361549939,0.0064885750613825986,0.008863420438639755
