group_id,group_role,set_size,scope,label,concept_count,nll_change,ci_low,ci_high
selected_k1,selected_prefix,1,discovery,1,4,-0.028698734939098358,-0.03151102364063263,-0.025886446237564087
selected_k1,selected_prefix,1,discovery,0,4,-0.014627858996391296,-0.030043303966522217,0.0001474320888519287
selected_k2,selected_prefix,2,discovery,1,4,-0.06520948931574821,-0.06929581984877586,-0.061123158782720566
selected_k2,selected_prefix,2,discovery,0,4,-0.030870705842971802,-0.056255728006362915,-0.0054856836795806885
selected_k4,selected_prefix,4,discovery,1,4,-0.09827446192502975,-0.11557472497224808,-0.08097419887781143
selected_k4,selected_prefix,4,discovery,0,4,-0.0618211030960083,-0.093971848487854,-0.029777199029922485
selected_k8,selected_prefix,8,discovery,1,4,-0.109746303409338,-0.13868596777319908,-0.08080663904547691
selected_k8,selected_prefix,8,discovery,0,4,-0.048642486333847046,-0.1002015769481659,-0.00016129016876220703
selected_k16,selected_prefix,16,discovery,1,4,-0.11619308218359947,-0.1538235805928707,-0.07856258377432823
selected_k16,selected_prefix,16,discovery,0,4,-0.061773791909217834,-0.11511163413524628,-0.008435949683189392
random_k1,random_prefix,1,discovery,1,4,0.004200216382741928,0.0013990332372486637,0.007198534905910492
random_k1,random_prefix,1,discovery,0,4,0.0002913624048233032,-0.000977843999862671,0.0015605688095092773
random_k2,random_prefix,2,discovery,1,4,0.00311245396733284,0.0002572089433670044,0.006146907806396484
random_k2,random_prefix,2,discovery,0,4,-0.0013410449028015137,-0.005348622798919678,0.002719104290008545
random_k4,random_prefix,4,discovery,1,4,0.0038257427513599396,0.0008543618023395538,0.006797123700380325
random_k4,random_prefix,4,discovery,0,4,0.0013483315706253052,-0.0019663870334625244,0.004663050174713135
random_k8,random_prefix,8,discovery,1,4,0.003906775265932083,0.0008987515233457109,0.0070043280720710754
random_k8,random_prefix,8,discovery,0,4,-0.015095636248588562,-0.033055275678634644,0.0028640031814575195
random_k16,random_prefix,16,discovery,1,4,0.0031899288296699524,-0.0004542246460914612,0.006834082305431366
random_k16,random_prefix,16,discovery,0,4,-0.013470277190208435,-0.028294280171394348,0.001413792371749878
all_layer11_components,full_relevant_block,17,discovery,1,4,-0.08779497817158699,-0.09928129613399506,-0.07630866020917892
all_layer11_components,full_relevant_block,17,discovery,0,4,-0.045599088072776794,-0.07464495301246643,-0.016553223133087158
control_outside_layer11_k17,full_block_control,17,discovery,1,4,-0.0009554289281368256,-0.004434715956449509,0.002800591289997101
control_outside_layer11_k17,full_block_control,17,discovery,0,4,-0.008759692311286926,-0.015395671129226685,-0.002123713493347168
resid_post_layer12_positive_control,positive_control,1,discovery,1,4,-0.12931492924690247,-0.17114493250846863,-0.0874849259853363
resid_post_layer12_positive_control,positive_control,1,discovery,0,4,-0.08453026413917542,-0.1341155469417572,-0.037110716104507446
selected_k1,selected_prefix,1,validation,1,7,-0.03121272155216762,-0.03794369527271816,-0.024634684835161482
selected_k1,selected_prefix,1,validation,0,7,-0.010644444397517614,-0.029659041336604526,0.007958999701908656
selected_k2,selected_prefix,2,validation,1,7,-0.039546434368406026,-0.04724499583244324,-0.03184787290436881
selected_k2,selected_prefix,2,validation,0,7,-0.014610494886125838,-0.03653810705457415,0.006933901991162982
selected_k4,selected_prefix,4,validation,1,7,-0.061511337757110596,-0.07392085450036186,-0.049299384866441996
selected_k4,selected_prefix,4,validation,0,7,-0.03623629467827933,-0.06724825927189418,-0.005390921660832006
selected_k8,selected_prefix,8,validation,1,7,-0.07721128846917834,-0.09606187045574188,-0.05826021305152348
selected_k8,selected_prefix,8,validation,0,7,-0.05305353232792446,-0.1003262996673584,-0.005932739802769252
selected_k16,selected_prefix,16,validation,1,7,-0.11157555878162384,-0.13275938374655588,-0.0904650092124939
selected_k16,selected_prefix,16,validation,0,7,-0.07566059487206596,-0.12830842392785208,-0.022904166153499057
random_k1,random_prefix,1,validation,1,7,0.003190557871546064,0.00013666067804609026,0.006035405557070457
random_k1,random_prefix,1,validation,0,7,0.009501091071537562,0.000974254948752267,0.01793617010116577
random_k2,random_prefix,2,validation,1,7,0.002176857420376369,-0.0002790987491607666,0.004569394247872489
random_k2,random_prefix,2,validation,0,7,0.00886005163192749,-0.0008202110018048968,0.018540314265659878
