split,concept,group_id,group_role,set_size,label,n_examples,patched_mean,triggered_mean,fraction,ci_low,ci_high,raw_score_change,positive_example_fraction
discovery,HTML,selected_k1,selected_prefix,1,1,64,0.53339590318501,0.3197613905649632,0.33717483948473803,0.3188809123110996,0.35491240009780206,0.21363451262004673,1.0
discovery,HTML,selected_k1,selected_prefix,1,0,64,0.1305845691531431,0.10761997415102087,0.0362445352986753,0.026516348499403722,0.04762781721172915,0.022964595002122223,0.828125
discovery,HTML,selected_k2,selected_prefix,2,1,64,0.7178100124001503,0.3197613905649632,0.6282317333861644,0.6086977427497694,0.6470421210163166,0.3980486218351871,1.0
discovery,HTML,selected_k2,selected_prefix,2,0,64,0.15544773201690987,0.10761997415102087,0.07548554015720774,0.0621276418878234,0.09055146717861237,0.047827757865889,1.0
discovery,HTML,selected_k4,selected_prefix,4,1,64,0.8245086781680584,0.3197613905649632,0.7966319841804468,0.779238287931097,0.8134736164073486,0.5047472876030952,1.0
discovery,HTML,selected_k4,selected_prefix,4,0,64,0.1811348157352768,0.10761997415102087,0.1160269219000314,0.09596088656914496,0.13854533815557554,0.07351484158425592,0.984375
discovery,HTML,selected_k8,selected_prefix,8,1,64,0.9195278426632285,0.3197613905649632,0.9465987247773336,0.937173839884422,0.9553510154460354,0.5997664520982653,1.0
discovery,HTML,selected_k8,selected_prefix,8,0,64,0.16586207746877335,0.10761997415102087,0.09192228164155711,0.06588699872574036,0.12298418896446141,0.05824210331775248,0.921875
discovery,HTML,selected_k16,selected_prefix,16,1,64,0.9530224148184061,0.3197613905649632,0.9994625006323039,0.9981233417037984,1.000746532796962,0.6332610242534429,1.0
discovery,HTML,selected_k16,selected_prefix,16,0,64,0.2059697484364733,0.10761997415102087,0.1552233716891768,0.12284258514102321,0.19245142697756512,0.09834977428545244,0.984375
discovery,HTML,random_k1,random_prefix,1,1,64,0.3146816163789481,0.3197613905649632,-0.008017300317175654,-0.008873181338344064,-0.007209293544012333,-0.005079774186015129,0.0
discovery,HTML,random_k1,random_prefix,1,0,64,0.10774817201308906,0.10761997415102087,0.0002023319782698484,-0.0004078372270569023,0.0009776665946023327,0.00012819786206819117,0.421875
discovery,HTML,random_k2,random_prefix,2,1,64,0.3162310840561986,0.3197613905649632,-0.0055718082056416835,-0.006359358014919179,-0.004819871948317646,-0.0035303065087646246,0.046875
discovery,HTML,random_k2,random_prefix,2,0,64,0.10774951957864687,0.10761997415102087,0.00020445881253027082,-0.0007056620928582187,0.00158651273193882,0.00012954542762599885,0.359375
discovery,HTML,random_k4,random_prefix,4,1,64,0.311752469278872,0.3197613905649632,-0.012640311324071651,-0.014387174961762731,-0.011001084197599213,-0.008008921286091208,0.015625
discovery,HTML,random_k4,random_prefix,4,0,64,0.10697216651169583,0.10761997415102087,-0.0010224211159873726,-0.0022970854902424793,0.0007700978968454261,-0.0006478076393250376,0.28125
discovery,HTML,random_k8,random_prefix,8,1,64,0.33002976840361953,0.3197613905649632,0.016206363883139247,0.011965570633751851,0.020403664044186347,0.010268377838656306,0.8125
discovery,HTML,random_k8,random_prefix,8,0,64,0.1090663135109935,0.10761997415102087,0.002282726866358707,-0.0002562917664920611,0.005240429938699282,0.001446339359972626,0.53125
discovery,HTML,random_k16,random_prefix,16,1,64,0.3373221287038177,0.3197613905649632,0.027715742136348875,0.021438224676874156,0.033998186110277405,0.017560738138854504,0.875
discovery,HTML,random_k16,random_prefix,16,0,64,0.10011527861934155,0.10761997415102087,-0.011844502464712534,-0.014746704595717936,-0.009225961399208657,-0.007504695531679317,0.109375
discovery,HTML,all_layer11_components,full_relevant_block,17,1,64,0.8293066648766398,0.3197613905649632,0.8042045452731064,0.7862046415136487,0.8216067071848733,0.5095452743116766,1.0
discovery,HTML,all_layer11_components,full_relevant_block,17,0,64,0.16754579107509926,0.10761997415102087,0.09457965126778825,0.07783509779081899,0.11316074636278665,0.05992581692407839,0.96875
discovery,HTML,control_outside_layer11_k17,full_block_control,17,1,64,0.3270419586915523,0.3197613905649632,0.011490766914643237,0.005794763142214,0.01711352429506768,0.00728056812658906,0.6875
discovery,HTML,control_outside_layer11_k17,full_block_control,17,0,64,0.09193954250076786,0.10761997415102087,-0.024748094115900576,-0.03294808231397597,-0.018558933190918107,-0.015680431650253013,0.078125
discovery,HTML,resid_post_layer12_positive_control,positive_control,1,1,64,0.953362975269556,0.3197613905649632,1.0,1.0,1.0,0.6336015847045928,1.0
discovery,HTML,resid_post_layer12_positive_control,positive_control,1,0,64,0.18544713058508933,0.10761997415102087,0.1228329573549823,0.09057639797184275,0.16027072142266438,0.07782715643406846,0.9375
validation,all-caps,selected_k1,selected_prefix,1,1,64,0.5603781235404313,0.4031016182852909,0.3166727506545243,0.28244422189165375,0.3479982172742545,0.15727650525514036,0.953125
validation,all-caps,selected_k1,selected_prefix,1,0,64,0.061642297107027844,0.07069830314139836,-0.018234067041328482,-0.023106742130457946,-0.013571267204042432,-0.009056006034370512,0.078125
validation,all-caps,selected_k2,selected_prefix,2,1,64,0.5733308752533048,0.4031016182852909,0.3427528285835621,0.307895468158415,0.3758450980419968,0.17022925696801394,0.9375
validation,all-caps,selected_k2,selected_prefix,2,0,64,0.062356500420719385,0.07069830314139836,-0.016796034529693152,-0.022770927086824818,-0.01186697412854703,-0.00834180272067897,0.109375
validation,all-caps,selected_k4,selected_prefix,4,1,64,0.6640647470485419,0.4031016182852909,0.5254434644946343,0.49088965313583977,0.558785898344843,0.260963128763251,0.984375
validation,all-caps,selected_k4,selected_prefix,4,0,64,0.08027636259794235,0.07069830314139836,0.019285210013510475,0.011686185910562256,0.027439561114244778,0.009578059456543997,0.734375
validation,all-caps,selected_k8,selected_prefix,8,1,64,0.741626936243847,0.4031016182852909,0.6816132099974269,0.6464060985101807,0.7152403613163201,0.3385253179585561,1.0
validation,all-caps,selected_k8,selected_prefix,8,0,64,0.08265284809749573,0.07069830314139836,0.024070210791683377,0.01453094397057161,0.03417559785319744,0.01195454495609738,0.734375
