group_id,group_role,set_size,scope,label,concept_count,positive_concept_count,fraction,ci_low,ci_high
selected_k1,selected_prefix,1,discovery,1,4,4,0.2973683003965076,0.28650113133541727,0.3084728579705357
selected_k1,selected_prefix,1,discovery,0,4,4,0.027725485598922902,0.02286274357684221,0.03296016732709464
selected_k2,selected_prefix,2,discovery,1,4,4,0.48550578791372245,0.4721647186081054,0.4989282284898593
selected_k2,selected_prefix,2,discovery,0,4,4,0.048027582727250474,0.04224235082579731,0.054255207852749676
selected_k4,selected_prefix,4,discovery,1,4,4,0.7292558237143407,0.7169854308467699,0.7412527419772696
selected_k4,selected_prefix,4,discovery,0,4,4,0.06923266837502201,0.05961932707285841,0.0800981382306801
selected_k8,selected_prefix,8,discovery,1,4,4,0.856686931849852,0.847373791974822,0.865598984199634
selected_k8,selected_prefix,8,discovery,0,4,3,0.04365540132395706,0.03191415541130035,0.056623215757507485
selected_k16,selected_prefix,16,discovery,1,4,4,0.9262216057823933,0.9202421960811845,0.9317658918271907
selected_k16,selected_prefix,16,discovery,0,4,3,0.060898707203827444,0.04690670673696835,0.07648049189307728
random_k1,random_prefix,1,discovery,1,4,1,-0.004784525214739224,-0.005136048891293151,-0.004435523458640626
random_k1,random_prefix,1,discovery,0,4,2,-0.00120348239160046,-0.0014612064828517526,-0.0009252179713340674
random_k2,random_prefix,2,discovery,1,4,2,-0.0030883691888668437,-0.003488635237769081,-0.0026781994024490737
random_k2,random_prefix,2,discovery,0,4,3,-0.001994425413583109,-0.002419510084827911,-0.0015399541336778319
random_k4,random_prefix,4,discovery,1,4,2,-0.005187873128718351,-0.005817290889329055,-0.004565598352105518
random_k4,random_prefix,4,discovery,0,4,2,-0.0022009367854583547,-0.002672782918031901,-0.0016606021524829182
random_k8,random_prefix,8,discovery,1,4,3,0.0031941034302272273,0.001959923911386981,0.004412625267196305
random_k8,random_prefix,8,discovery,0,4,4,0.0008007235250062496,-7.319796510435419e-05,0.0017415239979478908
random_k16,random_prefix,16,discovery,1,4,3,-0.016176284007283367,-0.018086921606112787,-0.014256107765981726
random_k16,random_prefix,16,discovery,0,4,2,-0.02720404710743253,-0.029071444511487937,-0.025335675279283695
all_layer11_components,full_relevant_block,17,discovery,1,4,4,0.6255208611110634,0.6119174783527015,0.6388934353450478
all_layer11_components,full_relevant_block,17,discovery,0,4,4,0.0457405146499923,0.037918420089313426,0.05404838513850299
control_outside_layer11_k17,full_block_control,17,discovery,1,4,3,-0.023406748108391915,-0.025323966797745713,-0.02153262462656239
control_outside_layer11_k17,full_block_control,17,discovery,0,4,2,-0.03423134470302955,-0.03700286742261583,-0.03173397809509429
resid_post_layer12_positive_control,positive_control,1,discovery,1,4,4,1.0,1.0,1.0
resid_post_layer12_positive_control,positive_control,1,discovery,0,4,3,0.06167926466858005,0.04699365373994197,0.07789399923986169
selected_k1,selected_prefix,1,validation,1,7,7,0.20762885065925532,0.19930679068571325,0.2159191986745484
selected_k1,selected_prefix,1,validation,0,7,5,0.011909434080558971,0.008894767419091251,0.015180680940827973
selected_k2,selected_prefix,2,validation,1,7,7,0.28799831185044644,0.2794002012708615,0.29654288195163747
selected_k2,selected_prefix,2,validation,0,7,6,0.030481952366815217,0.026039740346632076,0.03519617390566722
selected_k4,selected_prefix,4,validation,1,7,7,0.4347500170894371,0.42541752497418805,0.4436912885728959
selected_k4,selected_prefix,4,validation,0,7,7,0.069517172374727,0.06137074680224511,0.07829619863962585
selected_k8,selected_prefix,8,validation,1,7,7,0.5998721037764507,0.5903594317855658,0.6087562148327751
selected_k8,selected_prefix,8,validation,0,7,7,0.07925360115441929,0.06864025485810783,0.09072020526779905
selected_k16,selected_prefix,16,validation,1,7,7,0.8197567205649313,0.8103343185313314,0.8284547284094568
selected_k16,selected_prefix,16,validation,0,7,7,0.10756915899382795,0.09445698028616475,0.12182396382792905
