scope,set_size,group_id,recovery,recovery_ci_low,recovery_ci_high,relative_to_k16,relative_ci_low,relative_ci_high,marginal_recovery,marginal_ci_low,marginal_ci_high
discovery,1,selected_k1,0.2973683003965076,0.28650113133541727,0.3084728579705357,0.3210552404954062,0.3104558120370515,0.33192975444133416,0.2973683003965076,0.28650113133541727,0.3084728579705357
discovery,2,selected_k2,0.48550578791372245,0.4721647186081054,0.4989282284898593,0.5241788626854677,0.5117048120711513,0.5365669243341341,0.18813748751721487,0.18289804263093962,0.19324556959291625
discovery,4,selected_k4,0.7292558237143407,0.7169854308467699,0.7412527419772696,0.7873448634339807,0.7773736738411874,0.797065376427901,0.24375003580061827,0.2386715164139879,0.24858353851220033
discovery,8,selected_k8,0.856686931849852,0.847373791974822,0.865598984199634,0.9249265256840944,0.9193713978956463,0.9301727463285914,0.12743110813551128,0.12236162537693494,0.13258145976052835
discovery,16,selected_k16,0.9262216057823933,0.9202421960811845,0.9317658918271907,1.0,1.0,1.0,0.06953467393254131,0.06491811522207398,0.07442250941770015
validation,1,selected_k1,0.20762885065925532,0.19930679068571325,0.2159191986745484,0.25328105942964263,0.24398215457591924,0.2626608124893981,0.20762885065925532,0.19930679068571325,0.2159191986745484
validation,2,selected_k2,0.28799831185044644,0.2794002012708615,0.29654288195163747,0.3513216843796948,0.342062609845856,0.3605548696430998,0.08036946119119112,0.07741494346462888,0.08326018877082252
validation,4,selected_k4,0.4347500170894371,0.42541752497418805,0.4436912885728959,0.5303402902141885,0.5208326202801707,0.5392456269033196,0.14675170523899067,0.14248524633310927,0.15096706250342315
validation,8,selected_k8,0.5998721037764507,0.5903594317855658,0.6087562148327751,0.7317684487698397,0.7253355258755425,0.7379698443696727,0.16512208668701361,0.1588698548651744,0.17154719477130123
validation,16,selected_k16,0.8197567205649313,0.8103343185313314,0.8284547284094568,1.0,1.0,1.0,0.2198846167884806,0.21465840356020846,0.22509113426780245
