group_id,group_role,set_size,scope,label,concept_count,positive_concept_count,fraction,ci_low,ci_high
selected_single_rank1,selected_strong_individual,1,discovery,1,4,4,0.2266398497162251,0.21236628958688467,0.2407126399128145
selected_single_rank1,selected_strong_individual,1,discovery,0,4,4,0.052716456414444675,0.04395651655969629,0.06266229460495315
selected_single_rank2,selected_strong_individual,1,discovery,1,4,4,0.23297050840272118,0.2202501192139569,0.24515616081619906
selected_single_rank2,selected_strong_individual,1,discovery,0,4,4,0.04595151324720976,0.03989269092739214,0.05264502532268801
selected_single_rank3,selected_strong_individual,1,discovery,1,4,4,0.14375916388848017,0.13462231410638753,0.1532404298364173
selected_single_rank3,selected_strong_individual,1,discovery,0,4,2,0.018384212109910314,0.010885995454825196,0.0273789744237697
selected_single_rank4,selected_strong_individual,1,discovery,1,4,4,0.060488638306885875,0.055629653194945054,0.06565905821562003
selected_single_rank4,selected_strong_individual,1,discovery,0,4,4,0.01614202724910966,0.013025316738262252,0.019446673880669146
random_single_rank1,random_individual_control,1,discovery,1,4,1,-0.0017388059489332904,-0.002275374222689811,-0.0012100787997296495
random_single_rank1,random_individual_control,1,discovery,0,4,1,-0.0008323952766289079,-0.0013479745560947736,-0.00026337190362315437
random_single_rank2,random_individual_control,1,discovery,1,4,4,0.002698624947089244,0.0021732696622266184,0.0032937367671068076
random_single_rank2,random_individual_control,1,discovery,0,4,3,0.0005798672879780948,0.00030389753073901526,0.0008704840283054777
random_single_rank3,random_individual_control,1,discovery,1,4,0,-0.0029440884548726978,-0.003295427970972518,-0.0026118821790506105
random_single_rank3,random_individual_control,1,discovery,0,4,2,-0.00041144869019706955,-0.000798204639792633,-4.426998163353142e-05
random_single_rank4,random_individual_control,1,discovery,1,4,3,0.0005757983519670257,0.00046029181172692986,0.0007029617710903749
random_single_rank4,random_individual_control,1,discovery,0,4,3,0.0003510730036831652,0.0001628751718153649,0.000577348728737541
selected_k16,complete_selected_set,16,discovery,1,4,4,0.9322101042691442,0.9272001910080138,0.936880867603088
selected_k16,complete_selected_set,16,discovery,0,4,3,0.056548847733635686,0.042583263152437045,0.07194472993331581
random_k16,matched_random_set,16,discovery,1,4,4,0.013356275193256516,0.011757115572379483,0.015015395411280464
random_k16,matched_random_set,16,discovery,0,4,4,0.0053435021947434245,0.003478468839348925,0.007297523046729368
resid_post_layer08_context,surrounding_residual_context,1,discovery,1,4,3,0.0869796187355732,0.08015885492259539,0.09423806392070845
resid_post_layer08_context,surrounding_residual_context,1,discovery,0,4,1,-0.020221644771853398,-0.023425949552253675,-0.01705472323247369
selected_k16_plus_resid_post_layer08,selected_set_plus_surrounding_residual,17,discovery,1,4,4,0.98302821434815,0.9811865881750649,0.9847001691768867
selected_k16_plus_resid_post_layer08,selected_set_plus_surrounding_residual,17,discovery,0,4,3,0.05601996519132566,0.04165864142325506,0.07182265761353968
resid_post_layer12_positive_control,positive_control,1,discovery,1,4,4,1.0,1.0,1.0
resid_post_layer12_positive_control,positive_control,1,discovery,0,4,3,0.06167926466858005,0.04699365373994197,0.07789399923986169
selected_single_rank1,selected_strong_individual,1,validation,1,7,7,0.12496052395348793,0.1183684055500812,0.1317404284957987
selected_single_rank1,selected_strong_individual,1,validation,0,7,4,0.016371011280881857,0.011326874371345684,0.02239348842836725
selected_single_rank2,selected_strong_individual,1,validation,1,7,7,0.16461106562337033,0.15669730063560364,0.17292820447798612
selected_single_rank2,selected_strong_individual,1,validation,0,7,7,0.043162591542204844,0.03835838981354543,0.048446427705687176
selected_single_rank3,selected_strong_individual,1,validation,1,7,7,0.13012708319005184,0.12378177440691428,0.13684706992896525
selected_single_rank3,selected_strong_individual,1,validation,0,7,7,0.03470972901772369,0.029143737963831483,0.041113173262134345
selected_single_rank4,selected_strong_individual,1,validation,1,7,7,0.09806832077152904,0.09202604644432254,0.10470641793650069
selected_single_rank4,selected_strong_individual,1,validation,0,7,6,0.024562156472112805,0.021683525588997193,0.02777796902471271
random_single_rank1,random_individual_control,1,validation,1,7,1,0.0056427845100427585,0.0027015290198662855,0.008721819955225614
random_single_rank1,random_individual_control,1,validation,0,7,1,0.0010397662337487802,-0.0008263141936823469,0.003058435189146515
random_single_rank2,random_individual_control,1,validation,1,7,6,0.004001911562940161,0.003435768195327886,0.004637685669362724
random_single_rank2,random_individual_control,1,validation,0,7,5,0.0006968597777261742,0.00044213150671271537,0.0009588901434286056
random_single_rank3,random_individual_control,1,validation,1,7,0,-0.007135753207263737,-0.007870753612252786,-0.006455288572774468
random_single_rank3,random_individual_control,1,validation,0,7,2,-0.0024706749061962,-0.0030007194483525888,-0.0019378572418603495
random_single_rank4,random_individual_control,1,validation,1,7,7,0.002439635215699304,0.002091321246353685,0.002820191665875834
random_single_rank4,random_individual_control,1,validation,0,7,6,0.0012865610118461717,0.001072471742837216,0.0015118951031375103
selected_k16,complete_selected_set,16,validation,1,7,7,0.8063039394268765,0.8003366181613226,0.8122929590902397
selected_k16,complete_selected_set,16,validation,0,7,7,0.12902920075623098,0.11448710173894343,0.14517782060688594
random_k16,matched_random_set,16,validation,1,7,3,0.045427407947103884,0.04063878896856123,0.05046486968118555
random_k16,matched_random_set,16,validation,0,7,3,0.0059677002875106475,0.0030497955498438043,0.00912892732572566
resid_post_layer08_context,surrounding_residual_context,1,validation,1,7,7,0.307976914686217,0.2938487615824064,0.3225711048697147
resid_post_layer08_context,surrounding_residual_context,1,validation,0,7,5,0.019794846688545448,0.012421373248606428,0.028132260767681348
selected_k16_plus_resid_post_layer08,selected_set_plus_surrounding_residual,17,validation,1,7,7,0.9569144956592192,0.954736587764186,0.9589584560903364
selected_k16_plus_resid_post_layer08,selected_set_plus_surrounding_residual,17,validation,0,7,7,0.13368431111447343,0.1180933193792667,0.15077226006692268
resid_post_layer12_positive_control,positive_control,1,validation,1,7,7,1.0,1.0,1.0
resid_post_layer12_positive_control,positive_control,1,validation,0,7,7,0.14346878350854952,0.12751994417073015,0.16103077911024416
selected_single_rank1,selected_strong_individual,1,all_benign,1,11,11,0.1619348242308469,0.15541946413431557,0.1686642516498998
selected_single_rank1,selected_strong_individual,1,all_benign,0,11,8,0.029587536783995606,0.024984343987189118,0.03493569392877682
selected_single_rank2,selected_strong_individual,1,all_benign,1,11,11,0.18946904481586155,0.18272036319176438,0.1964346045591548
selected_single_rank2,selected_strong_individual,1,all_benign,0,11,11,0.04417674488947936,0.04036358610847518,0.04834991523800567
selected_single_rank3,selected_strong_individual,1,all_benign,1,11,11,0.1350842034440258,0.12992651644812006,0.14058525763515947
selected_single_rank3,selected_strong_individual,1,all_benign,0,11,9,0.02877317741488247,0.02419791926669765,0.0338857279120202
selected_single_rank4,selected_strong_individual,1,all_benign,1,11,11,0.08440298169347697,0.0801217890768822,0.08901515764040567
selected_single_rank4,selected_strong_individual,1,all_benign,0,11,10,0.02150029130011166,0.01932225843670431,0.02387020368410142
random_single_rank1,random_individual_control,1,all_benign,1,11,2,0.0029585697976878323,0.0010721049761045264,0.004927749625589225
random_single_rank1,random_individual_control,1,all_benign,0,11,2,0.0003589802299750752,-0.0008401300251188231,0.001654425920492726
random_single_rank2,random_individual_control,1,all_benign,1,11,10,0.0035279891571761914,0.003119402748407851,0.003974889825542087
random_single_rank2,random_individual_control,1,all_benign,0,11,8,0.0006543170541814181,0.0004613887275969194,0.0008470826710811361
random_single_rank3,random_individual_control,1,all_benign,1,11,0,-0.0056115114791215415,-0.006099127863872671,-0.005159037638619344
random_single_rank3,random_individual_control,1,all_benign,0,11,4,-0.001721865373105607,-0.002089212220847076,-0.001359598191464712
random_single_rank4,random_individual_control,1,all_benign,1,11,10,0.0017618763561602934,0.0015361222297830821,0.002008541407953582
random_single_rank4,random_individual_control,1,all_benign,0,11,9,0.0009463835543323511,0.0007935369717290386,0.0011130362853150554
selected_k16,complete_selected_set,16,all_benign,1,11,11,0.8520879993695192,0.8479669403255929,0.8563385411512787
selected_k16,complete_selected_set,16,all_benign,0,11,10,0.1026727087480145,0.0919712675157103,0.11430787885748703
random_k16,matched_random_set,16,all_benign,1,11,7,0.03376517785479575,0.030656824361413534,0.037048057509299945
random_k16,matched_random_set,16,all_benign,0,11,7,0.005740719162868021,0.0037456773570728637,0.007896292017543041
resid_post_layer08_context,surrounding_residual_context,1,all_benign,1,11,10,0.22761426161325565,0.2183593183658446,0.2373223359767204
resid_post_layer08_context,surrounding_residual_context,1,all_benign,0,11,6,0.005243395248400417,0.0004314602565099703,0.01057516482922125
selected_k16_plus_resid_post_layer08,selected_set_plus_surrounding_residual,17,all_benign,1,11,11,0.9664103933642849,0.964882820347374,0.9678480539900264
selected_k16_plus_resid_post_layer08,selected_set_plus_surrounding_residual,17,all_benign,0,11,10,0.10544273077878334,0.09415546372489215,0.11772096500132158
resid_post_layer12_positive_control,positive_control,1,all_benign,1,11,11,1.0,1.0,1.0
resid_post_layer12_positive_control,positive_control,1,all_benign,0,11,10,0.11372714029401516,0.10217081214605467,0.12629128312722343
