scope,condition_id,concept_count,fraction,fraction_ci_low,fraction_ci_high
discovery,concept_only,4,0.9368578633805619,0.917393870851729,0.9551285248523285
discovery,correct_trigger,4,1.0,1.0,1.0
discovery,irrelevant_trigger,4,0.4080219006706929,0.356069249653946,0.4469409617689346
discovery,monitoring_only,4,0.05172998712998732,0.039240046446082734,0.0643296356666919
discovery,normal,4,0.0,0.0,0.0
validation,concept_only,7,0.9022283749395698,0.8897256461804982,0.9180893291023133
validation,correct_trigger,7,1.0,1.0,1.0
validation,irrelevant_trigger,7,0.1391312805928582,-0.1253396097051216,0.26613454272033826
validation,monitoring_only,7,0.20012709165930737,0.17793372480538833,0.22161944081597607
validation,normal,7,0.0,0.0,0.0
all_benign,concept_only,11,0.9148209161908395,0.9038356415257106,0.9267294854604106
all_benign,correct_trigger,11,1.0,1.0,1.0
all_benign,irrelevant_trigger,11,0.23690968789388897,0.06711351964665582,0.31920767736321193
all_benign,monitoring_only,11,0.14616450819410007,0.13140411774274535,0.16052287921214914
all_benign,normal,11,0.0,0.0,0.0
