split,concept,intervention_id,family,direction,source_group,direct_group_id,fraction,fraction_ci_low,fraction_ci_high
discovery,HTML,layer_scan.layer_00.monitoring_language.rescue,layer_source_scan,rescue,monitoring_language,,-0.00044173226560251293,-0.0011604507117019382,0.00014085390309410558
discovery,HTML,layer_scan.layer_00.named_concept.rescue,layer_source_scan,rescue,named_concept,,-0.0008420402306153604,-0.001388546628736005,-0.0004796636579999808
discovery,HTML,layer_scan.layer_00.trigger_other.rescue,layer_source_scan,rescue,trigger_other,,-0.0006015678547866131,-0.0012143203912122085,-0.00013581514016268751
discovery,HTML,layer_scan.layer_00.original_prompt.rescue,layer_source_scan,rescue,original_prompt,,-0.0004403399801447298,-0.001027881160814702,5.2258426725466594e-05
discovery,HTML,layer_scan.layer_00.template.rescue,layer_source_scan,rescue,template,,-0.0011200342425448887,-0.0016125661721936495,-0.0007027589506045381
discovery,HTML,layer_scan.layer_00.response.rescue,layer_source_scan,rescue,response,,-0.0005662397537615516,-0.0010674949624603595,-9.746138638567332e-05
discovery,HTML,layer_scan.layer_00.trigger_instruction.rescue,layer_source_scan,rescue,trigger_instruction,,-0.0005924189855749661,-0.0016698845250437018,0.00026671992676362396
discovery,HTML,layer_scan.layer_01.monitoring_language.rescue,layer_source_scan,rescue,monitoring_language,,0.0001234046274681908,-0.0004429579383888703,0.0006735503596839719
discovery,HTML,layer_scan.layer_01.named_concept.rescue,layer_source_scan,rescue,named_concept,,0.009876601892205506,0.006002161798618321,0.014086455534897246
discovery,HTML,layer_scan.layer_01.trigger_other.rescue,layer_source_scan,rescue,trigger_other,,-0.0003341820222093842,-0.0008360316902776176,5.811488521142698e-05
discovery,HTML,layer_scan.layer_01.original_prompt.rescue,layer_source_scan,rescue,original_prompt,,-0.0010548557850310765,-0.002685357904928108,0.0005713922346190003
discovery,HTML,layer_scan.layer_01.template.rescue,layer_source_scan,rescue,template,,2.6179231813414396e-05,-0.0002744986544373132,0.00026233389968371984
discovery,HTML,layer_scan.layer_01.response.rescue,layer_source_scan,rescue,response,,-0.0008615718325187469,-0.0014888391230189325,-0.00023457427743167963
discovery,HTML,layer_scan.layer_01.trigger_instruction.rescue,layer_source_scan,rescue,trigger_instruction,,0.010287920184667869,0.006027536299014783,0.015145134511300718
discovery,HTML,layer_scan.layer_02.monitoring_language.rescue,layer_source_scan,rescue,monitoring_language,,-0.0003301696809667138,-0.0008985891990331053,0.0001326592571870951
discovery,HTML,layer_scan.layer_02.named_concept.rescue,layer_source_scan,rescue,named_concept,,0.00014083713816717336,-0.00047516931214899443,0.0006991350050093618
discovery,HTML,layer_scan.layer_02.trigger_other.rescue,layer_source_scan,rescue,trigger_other,,-0.00030725942573142043,-0.0009673886278035979,0.0001878314156835875
discovery,HTML,layer_scan.layer_02.original_prompt.rescue,layer_source_scan,rescue,original_prompt,,-0.00040170329704712464,-0.001078143892105921,0.00011721171986984742
discovery,HTML,layer_scan.layer_02.template.rescue,layer_source_scan,rescue,template,,-0.0004049113420953645,-0.0011015488133966594,0.00016877850545016598
discovery,HTML,layer_scan.layer_02.response.rescue,layer_source_scan,rescue,response,,-0.0010439886466767825,-0.0023288324331983737,-0.00018115053234734176
discovery,HTML,layer_scan.layer_02.trigger_instruction.rescue,layer_source_scan,rescue,trigger_instruction,,-0.00010913141659354324,-0.0008410274182218905,0.0005226532733676154
discovery,HTML,layer_scan.layer_03.monitoring_language.rescue,layer_source_scan,rescue,monitoring_language,,0.0002571706615926626,-0.00031050450794879844,0.0008710362919527923
discovery,HTML,layer_scan.layer_03.named_concept.rescue,layer_source_scan,rescue,named_concept,,0.0077233090453958965,0.005961815737666361,0.009702670850720763
discovery,HTML,layer_scan.layer_03.trigger_other.rescue,layer_source_scan,rescue,trigger_other,,-0.00041724388374329906,-0.0008853180848531312,2.280183096912839e-05
discovery,HTML,layer_scan.layer_03.original_prompt.rescue,layer_source_scan,rescue,original_prompt,,0.0007120123458490941,-0.0002618960528361844,0.0017914094387434132
discovery,HTML,layer_scan.layer_03.template.rescue,layer_source_scan,rescue,template,,-0.0001881382848138709,-0.0008345934911065367,0.00031291958155184004
discovery,HTML,layer_scan.layer_03.response.rescue,layer_source_scan,rescue,response,,-0.0009339188845230703,-0.0019073592275180569,-0.000195082527485444
discovery,HTML,layer_scan.layer_03.trigger_instruction.rescue,layer_source_scan,rescue,trigger_instruction,,0.008558838742043462,0.006665088422245938,0.0106963191932433
discovery,HTML,layer_scan.layer_04.monitoring_language.rescue,layer_source_scan,rescue,monitoring_language,,-0.0011820016084339669,-0.0019884497146504415,-0.0005483203558656146
discovery,HTML,layer_scan.layer_04.named_concept.rescue,layer_source_scan,rescue,named_concept,,0.01920839669628514,0.012694886443062646,0.02801379273997106
discovery,HTML,layer_scan.layer_04.trigger_other.rescue,layer_source_scan,rescue,trigger_other,,0.0018730596011569509,0.0013191460409106481,0.0025046403767191765
discovery,HTML,layer_scan.layer_04.original_prompt.rescue,layer_source_scan,rescue,original_prompt,,0.00038211990334333925,-0.002105165865115411,0.0023663635193346987
discovery,HTML,layer_scan.layer_04.template.rescue,layer_source_scan,rescue,template,,0.000427495613645794,9.284769790720158e-05,0.000844468771583245
discovery,HTML,layer_scan.layer_04.response.rescue,layer_source_scan,rescue,response,,-0.004044446065764753,-0.005895206056813372,-0.002083294259245193
discovery,HTML,layer_scan.layer_04.trigger_instruction.rescue,layer_source_scan,rescue,trigger_instruction,,0.021183358188015238,0.013867292114451485,0.0308682108587265
discovery,HTML,layer_scan.layer_05.monitoring_language.rescue,layer_source_scan,rescue,monitoring_language,,-0.0011179717102584134,-0.002207588180509533,-0.0003978789173889418
discovery,HTML,layer_scan.layer_05.named_concept.rescue,layer_source_scan,rescue,named_concept,,0.004890193979973378,0.0032330945251778324,0.007004516047120068
discovery,HTML,layer_scan.layer_05.trigger_other.rescue,layer_source_scan,rescue,trigger_other,,0.0003628259344064891,0.00012533408462912012,0.0006772068587203031
discovery,HTML,layer_scan.layer_05.original_prompt.rescue,layer_source_scan,rescue,original_prompt,,0.0003488665209107292,-0.0006782214315540841,0.0012639880288143953
