scope,intervention_id,family,mode,direction,source_group,direct_group_id,layer,concept_count,positive_concept_count,fraction,fraction_ci_low,fraction_ci_high
discovery,layer_scan.layer_00.monitoring_language.rescue,layer_source_scan,source_contribution,rescue,monitoring_language,,0,4,3,0.0001373116554489606,-0.0002230023216149666,0.0005596496670747811
discovery,layer_scan.layer_00.named_concept.rescue,layer_source_scan,source_contribution,rescue,named_concept,,0,4,2,-0.00016717043935486628,-0.001211343306091796,0.0009724075498002947
discovery,layer_scan.layer_00.trigger_other.rescue,layer_source_scan,source_contribution,rescue,trigger_other,,0,4,2,-0.00010883825035541526,-0.00027070760885348604,1.8696906179886593e-05
discovery,layer_scan.layer_00.original_prompt.rescue,layer_source_scan,source_contribution,rescue,original_prompt,,0,4,3,0.00012692693405326125,-9.708002776317915e-05,0.0003737520640776047
discovery,layer_scan.layer_00.template.rescue,layer_source_scan,source_contribution,rescue,template,,0,4,0,-0.0003975264297207087,-0.00067351219245532,-0.0001749110165048098
discovery,layer_scan.layer_00.response.rescue,layer_source_scan,source_contribution,rescue,response,,0,4,2,9.84709108757382e-06,-0.00034281166417895326,0.00046284803450126146
discovery,layer_scan.layer_00.trigger_instruction.rescue,layer_source_scan,source_contribution,rescue,trigger_instruction,,0,4,1,-0.0001501141559457398,-0.0008833098008479361,0.0006494759506854485
discovery,layer_scan.layer_01.monitoring_language.rescue,layer_source_scan,source_contribution,rescue,monitoring_language,,1,4,4,0.00025343358916072055,2.3389143915784566e-05,0.0004974465297649814
discovery,layer_scan.layer_01.named_concept.rescue,layer_source_scan,source_contribution,rescue,named_concept,,1,4,3,0.003042487699913554,0.0018047147997886856,0.004347288880959681
discovery,layer_scan.layer_01.trigger_other.rescue,layer_source_scan,source_contribution,rescue,trigger_other,,1,4,3,1.0060280400255663e-06,-0.00014114542729004668,0.00011981587097702911
discovery,layer_scan.layer_01.original_prompt.rescue,layer_source_scan,source_contribution,rescue,original_prompt,,1,4,2,-0.00019084866764870588,-0.0006089576853887158,0.00022484609295951314
discovery,layer_scan.layer_01.template.rescue,layer_source_scan,source_contribution,rescue,template,,1,4,3,6.559089085891195e-05,-4.3392812189451335e-05,0.0001791929493514619
discovery,layer_scan.layer_01.response.rescue,layer_source_scan,source_contribution,rescue,response,,1,4,2,5.791662994766291e-06,-0.00030787793230903197,0.0003807310902303552
discovery,layer_scan.layer_01.trigger_instruction.rescue,layer_source_scan,source_contribution,rescue,trigger_instruction,,1,4,3,0.0032744984134842224,0.0019142849846926556,0.004732725903304288
discovery,layer_scan.layer_02.monitoring_language.rescue,layer_source_scan,source_contribution,rescue,monitoring_language,,2,4,3,0.00010856734730083083,-0.00011196334800283517,0.00040600818368292826
discovery,layer_scan.layer_02.named_concept.rescue,layer_source_scan,source_contribution,rescue,named_concept,,2,4,3,0.0001267166702806445,-5.3082280468202954e-05,0.0003158684918459298
discovery,layer_scan.layer_02.trigger_other.rescue,layer_source_scan,source_contribution,rescue,trigger_other,,2,4,3,6.319316823206816e-05,-0.0001258588580644862,0.0002469933461258302
discovery,layer_scan.layer_02.original_prompt.rescue,layer_source_scan,source_contribution,rescue,original_prompt,,2,4,2,7.720400861534204e-05,-0.00016624876453147098,0.00035773430842187014
discovery,layer_scan.layer_02.template.rescue,layer_source_scan,source_contribution,rescue,template,,2,4,0,-0.00015062018126490285,-0.0003523612384038473,2.4398530562862944e-05
