scope,intervention_id,family,mode,direction,source_group,direct_group_id,layer,concept_count,positive_concept_count,fraction,fraction_ci_low,fraction_ci_high
discovery,direct.selected_attention_12.rescue,direct_response_output,direct_output,rescue,,selected_attention_12,,4,4,0.8918850312990849,0.865687643608707,0.913582695334589
discovery,direct.selected_attention_12.induction,direct_response_output,direct_output,induction,,selected_attention_12,,4,4,0.9001317576256889,0.8652415800602204,0.9287489753008334
discovery,direct.random_attention_12.rescue,direct_response_output,direct_output,rescue,,random_attention_12,,4,2,0.0014561294225824127,-0.0030827696893726735,0.006427301767146208
discovery,direct.random_attention_12.induction,direct_response_output,direct_output,induction,,random_attention_12,,4,2,0.0016747856116386217,-0.0006539407340718449,0.0044873817117516215
discovery,direct.random_attention_16.rescue,direct_response_output,direct_output,rescue,,random_attention_16,,4,3,-0.014879796840985325,-0.020425513068859293,-0.008984346563068055
discovery,direct.random_attention_16.induction,direct_response_output,direct_output,induction,,random_attention_16,,4,4,0.017698084581587864,0.01255202195323418,0.023803898873182745
discovery,direct.selected_mlp_4.rescue,direct_response_output,direct_output,rescue,,selected_mlp_4,,4,4,0.6449679763378977,0.5985946690612933,0.6873152377906757
discovery,direct.selected_mlp_4.induction,direct_response_output,direct_output,induction,,selected_mlp_4,,4,4,0.5249636234809066,0.48788986656744865,0.5609019154672663
discovery,direct.layer_09.mlp.rescue,direct_response_output,direct_output,rescue,,layer_09.mlp,,4,4,0.030724330680995997,0.02455694981604214,0.03775272882398031
discovery,direct.layer_09.mlp.induction,direct_response_output,direct_output,induction,,layer_09.mlp,,4,4,0.008855521300435366,0.005347014086910838,0.013672565408424446
discovery,direct.layer_10.mlp.rescue,direct_response_output,direct_output,rescue,,layer_10.mlp,,4,3,0.07842609272611258,0.05913321519583651,0.09627423241251475
discovery,direct.layer_10.mlp.induction,direct_response_output,direct_output,induction,,layer_10.mlp,,4,3,0.06253274730048122,0.038878071923840365,0.09301261856950799
discovery,direct.layer_11.mlp.rescue,direct_response_output,direct_output,rescue,,layer_11.mlp,,4,4,0.3207172932389658,0.28557697035984175,0.35654736746417676
discovery,direct.layer_11.mlp.induction,direct_response_output,direct_output,induction,,layer_11.mlp,,4,4,0.21452400163350982,0.16927961317996634,0.2635073787558471
discovery,direct.layer_12.mlp.rescue,direct_response_output,direct_output,rescue,,layer_12.mlp,,4,4,0.1111012480012378,0.08353675143670285,0.14171763533488888
discovery,direct.layer_12.mlp.induction,direct_response_output,direct_output,induction,,layer_12.mlp,,4,3,0.10498050970452764,0.0732178912138216,0.14200239166688433
discovery,direct.selected_k16.rescue,direct_response_output,direct_output,rescue,,selected_k16,,4,4,0.9334404308038997,0.9126158594357875,0.9498969636281831
discovery,direct.selected_k16.induction,direct_response_output,direct_output,induction,,selected_k16,,4,4,0.9213276113033766,0.8952853743349986,0.9419367073361851
discovery,direct.resid_post_layer12_positive_control.rescue,direct_response_output,direct_output,rescue,,resid_post_layer12_positive_control,,4,4,1.0,1.0,1.0
discovery,direct.resid_post_layer12_positive_control.induction,direct_response_output,direct_output,induction,,resid_post_layer12_positive_control,,4,4,1.0,1.0,1.0
validation,direct.selected_attention_12.rescue,direct_response_output,direct_output,rescue,,selected_attention_12,,7,7,0.6495527405311989,0.6280080461951731,0.6685984463566196
validation,direct.selected_attention_12.induction,direct_response_output,direct_output,induction,,selected_attention_12,,7,7,0.7163314528794409,0.6924680857886265,0.7363102970361659
validation,direct.random_attention_12.rescue,direct_response_output,direct_output,rescue,,random_attention_12,,7,2,-0.038402834010555935,-0.05240263016722612,-0.028748300657239503
validation,direct.random_attention_12.induction,direct_response_output,direct_output,induction,,random_attention_12,,7,2,-0.014867025947830839,-0.023997043949489493,-0.007203597150777127
validation,direct.random_attention_16.rescue,direct_response_output,direct_output,rescue,,random_attention_16,,7,1,-0.04001577382053686,-0.05231678866708977,-0.031328975959612274
validation,direct.random_attention_16.induction,direct_response_output,direct_output,induction,,random_attention_16,,7,3,0.035989260537433065,0.025291165022648773,0.045404908957379767
validation,direct.selected_mlp_4.rescue,direct_response_output,direct_output,rescue,,selected_mlp_4,,7,7,0.3701378147227793,0.33944010716292167,0.39696405419739933
validation,direct.selected_mlp_4.induction,direct_response_output,direct_output,induction,,selected_mlp_4,,7,7,0.4325905583665323,0.4097828363228025,0.45617904605221365
validation,direct.layer_09.mlp.rescue,direct_response_output,direct_output,rescue,,layer_09.mlp,,7,5,0.0013933231638923614,-0.01252905461399534,0.013303106551080782
validation,direct.layer_09.mlp.induction,direct_response_output,direct_output,induction,,layer_09.mlp,,7,6,0.12114837252737283,0.10659312969722014,0.13507140460670414
validation,direct.layer_10.mlp.rescue,direct_response_output,direct_output,rescue,,layer_10.mlp,,7,6,0.03782511617802305,0.02560463671032101,0.04886653077854806
validation,direct.layer_10.mlp.induction,direct_response_output,direct_output,induction,,layer_10.mlp,,7,6,0.03078781415275842,0.019424263607713925,0.04120739300960861
validation,direct.layer_11.mlp.rescue,direct_response_output,direct_output,rescue,,layer_11.mlp,,7,7,0.20528112385921318,0.19134092926888685,0.2186900480922831
validation,direct.layer_11.mlp.induction,direct_response_output,direct_output,induction,,layer_11.mlp,,7,7,0.13662357030022668,0.11911418151608295,0.15502492941137033
validation,direct.layer_12.mlp.rescue,direct_response_output,direct_output,rescue,,layer_12.mlp,,7,6,0.09819137153017311,0.08144271651128733,0.11292570396926539
validation,direct.layer_12.mlp.induction,direct_response_output,direct_output,induction,,layer_12.mlp,,7,6,0.09983778373873713,0.08321543784271324,0.11777859039626012
validation,direct.selected_k16.rescue,direct_response_output,direct_output,rescue,,selected_k16,,7,7,0.8325783781333936,0.8133260994778467,0.8490381186068984
validation,direct.selected_k16.induction,direct_response_output,direct_output,induction,,selected_k16,,7,7,0.8005235990992585,0.7850020463322631,0.8145064006808344
validation,direct.resid_post_layer12_positive_control.rescue,direct_response_output,direct_output,rescue,,resid_post_layer12_positive_control,,7,7,1.0,1.0,1.0
validation,direct.resid_post_layer12_positive_control.induction,direct_response_output,direct_output,induction,,resid_post_layer12_positive_control,,7,7,1.0,1.0,1.0
all_benign,direct.selected_attention_12.rescue,direct_response_output,direct_output,rescue,,selected_attention_12,,11,11,0.7376735735377029,0.7210618632274248,0.7523986708369801
all_benign,direct.selected_attention_12.induction,direct_response_output,direct_output,induction,,selected_attention_12,,11,11,0.783167927332622,0.7638748133689588,0.8003446190237318
all_benign,direct.random_attention_12.rescue,direct_response_output,direct_output,rescue,,random_attention_12,,11,4,-0.023908665489414716,-0.033047747094035296,-0.0175057822328991
all_benign,direct.random_attention_12.induction,direct_response_output,direct_output,induction,,random_attention_12,,11,4,-0.0088518217443874,-0.014704906075767913,-0.0038287857963917294
all_benign,direct.random_attention_16.rescue,direct_response_output,direct_output,rescue,,random_attention_16,,11,4,-0.030875418555245393,-0.039028868151061887,-0.02489493636505083
all_benign,direct.random_attention_16.induction,direct_response_output,direct_output,induction,,random_attention_16,,11,7,0.029337923826216628,0.022345213540536923,0.03584840242216811
all_benign,direct.selected_mlp_4.rescue,direct_response_output,direct_output,rescue,,selected_mlp_4,,11,11,0.47007605531009505,0.44417104201293217,0.4930399026237871
all_benign,direct.selected_mlp_4.induction,direct_response_output,direct_output,induction,,selected_mlp_4,,11,11,0.4661807638626684,0.4462585900036443,0.48568342135668613
all_benign,direct.layer_09.mlp.rescue,direct_response_output,direct_output,rescue,,layer_09.mlp,,11,9,0.012059144079202775,0.0029928042061040795,0.02015376847364796
all_benign,direct.layer_09.mlp.induction,direct_response_output,direct_output,induction,,layer_09.mlp,,11,10,0.08031460844485011,0.07103327006829346,0.08940758196847776
all_benign,direct.layer_10.mlp.rescue,direct_response_output,direct_output,rescue,,layer_10.mlp,,11,9,0.0525891076500556,0.042198752399094604,0.06219778461000185
all_benign,direct.layer_10.mlp.induction,direct_response_output,direct_output,induction,,layer_10.mlp,,11,9,0.04233142620647579,0.031287862805208996,0.05521942566267207
all_benign,direct.layer_11.mlp.rescue,direct_response_output,direct_output,rescue,,layer_11.mlp,,11,11,0.24725791272457773,0.2316450968147897,0.2626921486754082
all_benign,direct.layer_11.mlp.induction,direct_response_output,direct_output,induction,,layer_11.mlp,,11,11,0.16495099987596598,0.14544249537674736,0.18708645291740267
