scope,source_group,layer,earliest_positive_ci_layer,peak_layer,fraction,fraction_ci_low,fraction_ci_high
discovery,monitoring_language,0,1,6,0.0001373116554489606,-0.0002230023216149666,0.0005596496670747811
discovery,monitoring_language,1,1,6,0.00025343358916072055,2.3389143915784566e-05,0.0004974465297649814
discovery,monitoring_language,2,1,6,0.00010856734730083083,-0.00011196334800283517,0.00040600818368292826
discovery,monitoring_language,3,1,6,3.127770336683128e-05,-0.00013907391918204743,0.00020770256232659106
discovery,monitoring_language,4,1,6,-0.0004756479614253553,-0.0007145890844702756,-0.0002748277065625779
discovery,monitoring_language,5,1,6,-1.3490225202978832e-05,-0.0003517512353198824,0.0003551271619183519
discovery,monitoring_language,6,1,6,0.007807912599634764,0.004330343567895871,0.012338821056455975
discovery,monitoring_language,7,1,6,0.001962010567685127,0.0005476648286812983,0.004595525404896354
discovery,monitoring_language,8,1,6,6.514711550382205e-05,-5.230981740482953e-05,0.00022803450326145386
discovery,monitoring_language,9,1,6,-0.0001119012525560104,-0.0002274346895451479,2.6996317277699424e-05
discovery,monitoring_language,10,1,6,0.00014596974777051047,-0.0001208106892535079,0.0005646743596641929
discovery,monitoring_language,11,1,6,0.0001506086933595455,8.175229575566238e-06,0.00031176293503486907
discovery,monitoring_language,12,1,6,0.0007660100896319609,0.0005533637221950686,0.0010197659505359665
discovery,named_concept,0,1,10,-0.00016717043935486628,-0.001211343306091796,0.0009724075498002947
discovery,named_concept,1,1,10,0.003042487699913554,0.0018047147997886856,0.004347288880959681
discovery,named_concept,2,1,10,0.0001267166702806445,-5.3082280468202954e-05,0.0003158684918459298
discovery,named_concept,3,1,10,0.0025380122985314115,0.001851232714153709,0.0033474140254538187
discovery,named_concept,4,1,10,0.005811708031177446,0.003880283675417386,0.008303435332124314
discovery,named_concept,5,1,10,0.0016552644150396767,0.0010739859365991658,0.002452410136353773
discovery,named_concept,6,1,10,0.0035336036447258766,0.0015946588259178754,0.006258048063189961
discovery,named_concept,7,1,10,0.000904650472678197,-6.000865240338643e-05,0.002107434067365793
discovery,named_concept,8,1,10,0.02324283882321303,0.016008681828031994,0.03259501941408965
discovery,named_concept,9,1,10,0.04477359062339297,0.03150408408293163,0.056437516861503466
discovery,named_concept,10,1,10,0.14314855920984904,0.12132858808633933,0.16399658446447213
discovery,named_concept,11,1,10,0.047116797702507325,0.04104015839175365,0.05376859212556166
discovery,named_concept,12,1,10,0.011446243536271954,0.008580899923417968,0.014496752499467363
discovery,trigger_other,0,4,11,-0.00010883825035541526,-0.00027070760885348604,1.8696906179886593e-05
discovery,trigger_other,1,4,11,1.0060280400255663e-06,-0.00014114542729004668,0.00011981587097702911
discovery,trigger_other,2,4,11,6.319316823206816e-05,-0.0001258588580644862,0.0002469933461258302
discovery,trigger_other,3,4,11,-4.146641201403925e-05,-0.0002132331603350544,0.00011168105989230518
discovery,trigger_other,4,4,11,0.0011174157601147399,0.0005004388503807382,0.002177372167901076
discovery,trigger_other,5,4,11,0.00047814576707849845,4.5164266594113996e-05,0.0013166938393478227
discovery,trigger_other,6,4,11,0.0035650564570701834,0.001087852389139651,0.006716079589123723
discovery,trigger_other,7,4,11,0.0005687354303883786,0.00017161425457761992,0.000986168881277384
discovery,trigger_other,8,4,11,0.004686705597988791,0.0030221677626803122,0.006106527969733121
discovery,trigger_other,9,4,11,0.01457122859307886,0.01156472848026824,0.017883560824659955
discovery,trigger_other,10,4,11,0.047425022430055905,0.042359353945896926,0.05274962555464673
discovery,trigger_other,11,4,11,0.19431250858094712,0.16564690594840675,0.22423193217054257
discovery,trigger_other,12,4,11,0.0023559517212443796,-1.6718692439497153e-06,0.004859106046552144
discovery,original_prompt,0,4,11,0.00012692693405326125,-9.708002776317915e-05,0.0003737520640776047
discovery,original_prompt,1,4,11,-0.00019084866764870588,-0.0006089576853887158,0.00022484609295951314
discovery,original_prompt,2,4,11,7.720400861534204e-05,-0.00016624876453147098,0.00035773430842187014
discovery,original_prompt,3,4,11,-5.1719429152165096e-05,-0.0005860523624983962,0.0003659339750141193
discovery,original_prompt,4,4,11,0.000823132692827364,3.2400786497050944e-06,0.0017150874831402046
discovery,original_prompt,5,4,11,0.00023791724271979178,-0.00010704065357945735,0.000593977668325885
discovery,original_prompt,6,4,11,0.0031795580616814185,0.0020347560329012047,0.004717010463192501
discovery,original_prompt,7,4,11,0.0004795109361887487,-0.00032679104455092984,0.0011611414333017936
discovery,original_prompt,8,4,11,0.004412780389100317,0.0025878622646549275,0.006077688288814977
discovery,original_prompt,9,4,11,0.018344002179803327,0.014727309721754058,0.022355277288417293
discovery,original_prompt,10,4,11,0.004879289900282388,0.0019963748932222327,0.007545285949445091
discovery,original_prompt,11,4,11,0.05697077880952125,0.04873389619781932,0.0652073226567926
discovery,original_prompt,12,4,11,0.02027109902687715,0.011580705511412262,0.03282945212706129
discovery,template,0,4,11,-0.0003975264297207087,-0.00067351219245532,-0.0001749110165048098
discovery,template,1,4,11,6.559089085891195e-05,-4.3392812189451335e-05,0.0001791929493514619
discovery,template,2,4,11,-0.00015062018126490285,-0.0003523612384038473,2.4398530562862944e-05
discovery,template,3,4,11,5.6523671842335624e-05,-0.0001458407826432749,0.00023502405549103992
discovery,template,4,4,11,0.0002581716537762163,0.00013026917773878983,0.00041429018954132414
discovery,template,5,4,11,0.0005757975002785562,0.00037937373159744475,0.0007539659887403033
discovery,template,6,4,11,-0.00027340271065424824,-0.0006952525644838921,0.00012201140292245847
discovery,template,7,4,11,0.0003007459189760603,3.650613678423067e-05,0.0006806140626106948
discovery,template,8,4,11,0.0006236765268213746,0.00020409327896179957,0.0009570846197302089
discovery,template,9,4,11,0.0015452379436341006,0.000828059368206279,0.0023729810648923416
discovery,template,10,4,11,0.0004672012516819181,-0.00043342538882650943,0.001380556177833963
discovery,template,11,4,11,0.009334501039926592,0.006548683798891718,0.012623189815932833
discovery,template,12,4,11,0.004256476554332544,0.0027126393497892086,0.0062864590689927675
discovery,response,0,6,11,9.84709108757382e-06,-0.00034281166417895326,0.00046284803450126146
discovery,response,1,6,11,5.791662994766291e-06,-0.00030787793230903197,0.0003807310902303552
discovery,response,2,6,11,-6.008099938602345e-05,-0.0004051895858630682,0.00018525588057510063
discovery,response,3,6,11,-0.00032880401271728315,-0.0006003976514769951,-0.00010873453180087896
discovery,response,4,6,11,-0.0008655895223858756,-0.0013543091847991124,-0.0003610248169931593
discovery,response,5,6,11,-0.0005086207575124466,-0.001073252912291941,-6.043580822825612e-05
discovery,response,6,6,11,0.0012306369724237706,0.0004958328065173836,0.0020771573617705346
discovery,response,7,6,11,-0.0016080849826183713,-0.004141451544744108,4.199931178520007e-05
discovery,response,8,6,11,0.0024823532571883133,-0.00033729558010897934,0.005569756171006728
discovery,response,9,6,11,0.013607747530548957,0.011134990180020184,0.015928705799727334
discovery,response,10,6,11,-0.007156186943332833,-0.011974618572923403,-0.0024433933863888973
discovery,response,11,6,11,0.0708225292773858,0.059376178220215126,0.08313838780368295
discovery,response,12,6,11,0.06803437051765489,0.056061594162053766,0.08185241608087711
discovery,trigger_instruction,0,1,11,-0.0001501141559457398,-0.0008833098008479361,0.0006494759506854485
discovery,trigger_instruction,1,1,11,0.0032744984134842224,0.0019142849846926556,0.004732725903304288
discovery,trigger_instruction,2,1,11,-6.738240748608804e-05,-0.00032263811636003764,0.00014298221304492848
discovery,trigger_instruction,3,1,11,0.00254408846842375,0.0019017957667178927,0.003256976793416603
discovery,trigger_instruction,4,1,11,0.006672906224150938,0.004262940934580142,0.009892562567536388
discovery,trigger_instruction,5,1,11,0.0021302114863069547,0.0010814231960778865,0.0039051889049217916
discovery,trigger_instruction,6,1,11,0.016293213277525455,0.009025124735018032,0.026177934905480593
discovery,trigger_instruction,7,1,11,0.0037983513092131006,0.0013268057976245904,0.0076929161248388825
discovery,trigger_instruction,8,1,11,0.031276610708732916,0.0228563811404352,0.04167574176469587
discovery,trigger_instruction,9,1,11,0.06191966295598004,0.04822519004292621,0.07437620435790752
