scope,source_group,direction,fraction_difference,fraction_difference_ci_low,fraction_difference_ci_high
discovery,monitoring_language,rescue,0.00047242632704419475,0.000310635234442983,0.0006250161792553582
discovery,monitoring_language,induction,0.0006922789026112098,0.0004353498889238591,0.0009578221693368054
discovery,named_concept,rescue,0.31036100275061157,0.290160930252327,0.3370480700185578
discovery,named_concept,induction,0.34737932619915474,0.3294098110649841,0.3663927105914709
discovery,trigger_other,rescue,0.26252934480477946,0.23302846750327197,0.29300264488757505
discovery,trigger_other,induction,0.2524219562957031,0.214439383341064,0.28849807666842686
discovery,original_prompt,rescue,0.09081317750137521,0.07750433810625723,0.1045767765963685
discovery,original_prompt,induction,0.04420454585585315,0.030209592244951407,0.06022673025609482
discovery,template,rescue,0.011722216063204841,0.008614836927147169,0.01514894782834077
discovery,template,induction,0.00935951936152284,0.006526451650359847,0.012977060430315697
discovery,response,rescue,0.16530465395263289,0.15014698413742647,0.18162013788301185
discovery,response,induction,0.06514861686360048,0.049888009560890983,0.08356411816727236
discovery,trigger_instruction,rescue,0.5798286368313345,0.5434699857074121,0.6182282371390201
discovery,trigger_instruction,induction,0.6031617146835382,0.5615890189193482,0.6441730481900583
discovery,all_prompt,rescue,0.796175858686471,0.7610957412906737,0.8302403900313522
discovery,all_prompt,induction,0.7766641884931551,0.7362609086163454,0.8128883872290456
validation,monitoring_language,rescue,0.0036655871708922076,0.0021426615506363583,0.005432244056826989
validation,monitoring_language,induction,0.0047788399510983615,0.0036540007636990147,0.006277745766580719
validation,named_concept,rescue,0.10882166679475902,0.1002152663695417,0.11800484400250237
validation,named_concept,induction,0.2627307501263158,0.24874042956590753,0.27627038185734526
validation,trigger_other,rescue,0.20346497288338042,0.18613814167242326,0.222029709752211
validation,trigger_other,induction,0.2552691637585585,0.23813619227810479,0.2738024237003337
validation,original_prompt,rescue,0.07077156692685567,0.059377276015062395,0.08163334234255386
validation,original_prompt,induction,0.09067538541847497,0.07291395286883574,0.11255721818997164
validation,template,rescue,0.009127943754799531,0.006181790555651851,0.01213338440069907
validation,template,induction,0.018087495186975215,0.011861952115481366,0.024972018211253763
validation,response,rescue,0.16741159606757638,0.15000417611167471,0.18700832121617583
validation,response,induction,0.12403164506425034,0.10700464365342886,0.1412312938404045
validation,trigger_instruction,rescue,0.3338919526065804,0.3110485107858694,0.35837011077416886
validation,trigger_instruction,induction,0.5178106487356331,0.49535520287941354,0.5399045165156178
validation,all_prompt,rescue,0.48066468118813505,0.45957880578645277,0.5032198429490536
validation,all_prompt,induction,0.6263955359441752,0.6028689078422713,0.6485483995326708
all_benign,monitoring_language,rescue,0.002504437773129293,0.0015270737177166004,0.0036222162381045354
all_benign,monitoring_language,induction,0.0032928177516484878,0.002567422464835641,0.00425202090609203
all_benign,named_concept,rescue,0.18210869805143268,0.17286686518245836,0.19371571901722964
all_benign,named_concept,induction,0.293512050516439,0.2825299906325709,0.30465337046705554
all_benign,trigger_other,rescue,0.2249429263093437,0.2096337354716761,0.24118331764445597
all_benign,trigger_other,induction,0.25423381559024744,0.23684199428762734,0.27214940700329954
all_benign,original_prompt,rescue,0.07805942531759005,0.06929166631530473,0.08643060926142186
all_benign,original_prompt,induction,0.07377689830479432,0.061442838377638725,0.08877165068250743
all_benign,template,rescue,0.010071315503310552,0.007877206068773429,0.012321355957268762
all_benign,template,induction,0.014913685795901622,0.01079526326960771,0.0194815293315001
all_benign,response,rescue,0.16664543529850603,0.1539322332208352,0.1803214695597214
all_benign,response,induction,0.10261963480946856,0.09054865002627815,0.1155702641562016
all_benign,trigger_instruction,rescue,0.4233234741428545,0.40398409942960567,0.44448687734073666
all_benign,trigger_instruction,induction,0.5488473999894168,0.5283162735342964,0.56998308235697
all_benign,all_prompt,rescue,0.5953960184602574,0.5768506922692184,0.6145259591506136
all_benign,all_prompt,induction,0.6810386823256226,0.6605108375439588,0.7007451129224772
