split,concept,selected_k16_rescue,selected_k16_rescue_ci_low,selected_k16_rescue_ci_high,selected_k16_induction,selected_k16_induction_ci_low,selected_k16_induction_ci_high,layer_11.mlp,layer_11.head_08,layer_10.head_12,layer_11.head_09,layer_12.mlp,layer_10.mlp,layer_10.head_02,layer_09.head_11,layer_12.head_12,layer_09.mlp,layer_12.head_03,layer_09.head_04,layer_11.head_14,layer_12.head_02,layer_09.head_13,layer_11.head_15
discovery,HTML,0.9994625006323039,0.9981233417037984,1.000746532796962,0.9425898148162626,0.9359946385645855,0.9488196058104047,0.33717483948473803,0.41492401998291195,0.02275853657538586,0.19308590627990685,0.16153579845700733,0.11476947517125821,0.1872597396841221,0.05895444305947836,0.10566326143576439,0.06242893416801122,0.08625136007472699,0.0125980612667796,0.13640954331542846,0.05583947816580336,0.045436084595635175,-0.020794597369512353
discovery,biology-focused,0.964580332765147,0.9602648071924103,0.9686129860206976,0.8645055274875287,0.8595502601569187,0.8695414665831933,0.4858336843878572,0.2493909690496991,0.0075234027071501685,0.15088909357593486,0.05179537977181632,0.05469540873304139,-0.01109814766295793,0.10159188768780679,0.0063306832463554535,0.05375449720661274,0.0384534472678804,-0.00023657998986074033,-0.039024538899148774,-0.0022048550067502288,0.0014642669267396192,0.019747559182625742
discovery,comforting,0.9895485357485256,0.9865045680884926,0.9922597587150802,0.9914736597662395,0.9892878475188306,0.993506071359552,0.1575308302864597,0.016696217897715478,0.6470750852965297,0.008371883947466406,0.05497750187608511,0.1250828499626866,0.0020170918440527794,0.006825278197852291,0.018717216471991024,0.01217167633881766,0.0005667565199095803,0.09668319564774226,0.0009833596837813753,0.0006941186343888864,0.0024847440683908395,0.0006110937687535063
discovery,german,0.7512950539835972,0.7283155256953381,0.7730776158508075,0.9302714150065456,0.9120043201566282,0.9466073211237115,0.20893384742697532,0.31472539738556565,-0.005066773036583407,0.025339228619436733,0.10679418661993631,-0.012069382334803907,0.007718294973119116,0.008200669723611114,0.002965106382897142,0.0042794232161029256,0.005969405188177615,0.001666966182482281,0.0010023036253068167,0.007075587945723643,0.001400176248828514,0.04812204171976918
validation,all-caps,0.8368916742131268,0.8070798065908135,0.8635285106111581,0.40507163411168984,0.37465888199739406,0.43678461670392776,0.3166727506545243,0.05989963338713327,0.12874077743060847,0.015492053311408877,0.08864758290837871,0.020594417641130517,0.003416630382047754,0.03611763954482513,0.1956074725363458,0.06891607317806314,0.02692978773230193,0.09811280945516175,-0.0012200483823552055,0.013343880702579159,0.0038290760482024224,-0.012116736573557933
validation,chemistry-based,0.9256574858056978,0.9195686474765714,0.9313667157275883,0.8315156377495926,0.8233070860839565,0.8399244561351793,0.2323197765826438,0.17876785695200156,0.047059420877003745,0.1110903571004154,0.01054379952965277,0.027866076047843285,0.08018895781988956,0.13575740565805156,0.03960464347238207,0.028883049491288514,0.06278446367306988,0.0017034807043834347,-0.026391081841677554,0.027856190146681656,-0.016248873028153282,0.012442777410458534
validation,confused,0.819292421000234,0.8061143406466414,0.8319935425116737,0.6935301123181927,0.6810355165537206,0.7060260598287524,0.0773983902218961,0.14117595576212963,0.06351404364080786,0.13265341374578798,0.08299481543304453,0.04157229931028956,0.011416499480451167,0.013377197100685998,0.08602716985892345,0.013898121415740887,0.07025058156979713,0.029272191750263347,0.006809993130740105,0.04020127853066168,0.002314677447883551,0.008563423412041065
validation,finnish,0.9329551255617424,0.9167224946512617,0.9471064535318396,0.9430480893128509,0.9322550575041956,0.9531468752010217,0.5027278665538956,0.4635523800309271,0.022191314639685794,0.0438177511647029,0.3743504059042141,0.0034899962397572466,0.029417362113949064,0.01909660180865733,0.014804418588624288,0.01181599412141692,0.008077828505542856,0.004812712386961312,0.005062487344164051,0.001753055610407186,0.0006168609638393261,0.06875487493827433
validation,jokey,0.9130365344659709,0.8998870379217383,0.9250856299657042,0.8399405732923917,0.823574152518115,0.8557156341665779,0.29163403040826996,0.09123319434551715,0.3295105211443727,0.07339853075513826,0.17037165914636387,0.18521551066551017,0.044425571591950125,-0.013384782646864638,0.058793248602658124,-0.09958047300554326,0.02087225926983656,0.08258946352591484,0.018593201949813783,0.010187937773068197,0.014978109571277385,0.004354311831355576
validation,literature-focused,0.6884093298595916,0.6586131997119302,0.7157800359700512,0.9997622876284874,0.9996046911599199,0.9998815602680753,9.120291492138685e-05,1.9870122187509776e-05,0.001748668530381905,2.808414961641219e-05,0.00018331441143007774,0.0004803973177969962,1.0620676396005939e-05,1.2589735540590284e-05,0.0003770802160706745,2.4148258467956002e-05,1.4451806854082714e-05,0.00018645893754629385,3.3108296765113155e-06,8.246978602527987e-06,-2.85971427974373e-07,-2.1845753850740135e-06
validation,mathematical,0.6220544730481554,0.5783776303071639,0.6621633757953133,0.9312592415749302,0.9173086992438917,0.9454179124485779,0.03255793727863591,0.03805638777251012,0.004985355833245294,0.051896233776384956,0.029194593218564546,-0.010463380570041408,0.0017779344814111665,0.005985043391884367,0.030485779823069076,0.002511853616249099,0.015333770312671538,0.0029892216471349223,0.002982285701838945,0.0024862077288363743,0.003475980642585107,1.9431916050430912e-05
