left_concept,right_concept,left_split,right_split,spearman_rho,intersection,overlap_coefficient,jaccard
HTML,biology-focused,discovery,discovery,0.29041493300759624,11,0.6875,0.5238095238095238
HTML,comforting,discovery,discovery,0.6109478184524945,9,0.5625,0.391304347826087
HTML,german,discovery,discovery,0.36191166927510776,10,0.625,0.45454545454545453
HTML,all-caps,discovery,validation,0.5286864908195594,8,0.5,0.3333333333333333
HTML,chemistry-based,discovery,validation,0.4016108714738329,11,0.6875,0.5238095238095238
HTML,confused,discovery,validation,0.5890369126235827,9,0.5625,0.391304347826087
HTML,finnish,discovery,validation,0.5236859182349124,10,0.625,0.45454545454545453
HTML,jokey,discovery,validation,0.48352864831850967,9,0.5625,0.391304347826087
HTML,literature-focused,discovery,validation,0.4978050921861282,10,0.625,0.45454545454545453
HTML,mathematical,discovery,validation,0.48959804557773784,10,0.625,0.45454545454545453
biology-focused,comforting,discovery,discovery,0.34408520059548797,7,0.4375,0.28
biology-focused,german,discovery,discovery,0.08611673092338817,8,0.5,0.3333333333333333
biology-focused,all-caps,discovery,validation,0.29388861319998466,7,0.4375,0.28
biology-focused,chemistry-based,discovery,validation,0.6222468221552085,9,0.5625,0.391304347826087
biology-focused,confused,discovery,validation,0.36027025995342976,9,0.5625,0.391304347826087
biology-focused,finnish,discovery,validation,0.25086842004809706,8,0.5,0.3333333333333333
biology-focused,jokey,discovery,validation,0.16379738137954725,7,0.4375,0.28
biology-focused,literature-focused,discovery,validation,0.2558689926327442,8,0.5,0.3333333333333333
biology-focused,mathematical,discovery,validation,0.3784402794213077,7,0.4375,0.28
comforting,german,discovery,discovery,0.39527426804595944,7,0.4375,0.28
comforting,all-caps,discovery,validation,0.5708668931557047,10,0.625,0.45454545454545453
comforting,chemistry-based,discovery,validation,0.45005153261823866,8,0.5,0.3333333333333333
comforting,confused,discovery,validation,0.703553842042982,10,0.625,0.45454545454545453
comforting,finnish,discovery,validation,0.5561323815704088,8,0.5,0.3333333333333333
comforting,jokey,discovery,validation,0.6911478413558804,8,0.5,0.3333333333333333
comforting,literature-focused,discovery,validation,0.6278199793869527,10,0.625,0.45454545454545453
comforting,mathematical,discovery,validation,0.4962018551742566,9,0.5625,0.391304347826087
german,all-caps,discovery,validation,0.136847730656182,7,0.4375,0.28
german,chemistry-based,discovery,validation,0.2692674733748139,10,0.625,0.45454545454545453
german,confused,discovery,validation,0.5540710768408595,8,0.5,0.3333333333333333
german,finnish,discovery,validation,0.6648852922090315,14,0.875,0.7777777777777778
german,jokey,discovery,validation,0.40329045310531736,10,0.625,0.45454545454545453
german,literature-focused,discovery,validation,0.38741077222582737,9,0.5625,0.391304347826087
german,mathematical,discovery,validation,0.6346528228423101,10,0.625,0.45454545454545453
all-caps,chemistry-based,validation,validation,0.36645417414207726,7,0.4375,0.28
all-caps,confused,validation,validation,0.5582700309195708,10,0.625,0.45454545454545453
all-caps,finnish,validation,validation,0.42092606023590484,8,0.5,0.3333333333333333
all-caps,jokey,validation,validation,0.4051990685956407,7,0.4375,0.28
all-caps,literature-focused,validation,validation,0.5527732183074398,10,0.625,0.45454545454545453
all-caps,mathematical,validation,validation,0.2966751918158567,8,0.5,0.3333333333333333
chemistry-based,confused,validation,validation,0.5411306638164676,8,0.5,0.3333333333333333
chemistry-based,finnish,validation,validation,0.43043096537771497,10,0.625,0.45454545454545453
chemistry-based,jokey,validation,validation,0.348665877772264,10,0.625,0.45454545454545453
chemistry-based,literature-focused,validation,validation,0.39989311753254186,10,0.625,0.45454545454545453
chemistry-based,mathematical,validation,validation,0.34660457304271475,7,0.4375,0.28
confused,finnish,validation,validation,0.7594381035996487,8,0.5,0.3333333333333333
confused,jokey,validation,validation,0.7431766996220941,11,0.6875,0.5238095238095238
confused,literature-focused,validation,validation,0.6333549643088903,9,0.5625,0.391304347826087
confused,mathematical,validation,validation,0.6291178379203725,9,0.5625,0.391304347826087
finnish,jokey,validation,validation,0.6553803870672213,11,0.6875,0.5238095238095238
finnish,literature-focused,validation,validation,0.5073863419475512,10,0.625,0.45454545454545453
finnish,mathematical,validation,validation,0.6691987632171622,12,0.75,0.6
jokey,literature-focused,validation,validation,0.4875367408481886,10,0.625,0.45454545454545453
jokey,mathematical,validation,validation,0.5164713516814902,10,0.625,0.45454545454545453
literature-focused,mathematical,validation,validation,0.3771424208878879,9,0.5625,0.391304347826087
