head_id,concept,split,dominant_source_region,dominant_positive,head_concept_specific
layer_11.head_08,HTML,discovery,trigger_other,True,True
layer_11.head_08,all-caps,validation,trigger_other,True,True
layer_11.head_08,biology-focused,discovery,named_concept,True,True
layer_11.head_08,chemistry-based,validation,named_concept,True,True
layer_11.head_08,comforting,discovery,original_prompt,True,True
layer_11.head_08,confused,validation,trigger_other,True,True
layer_11.head_08,finnish,validation,trigger_other,True,True
layer_11.head_08,german,discovery,trigger_other,True,True
layer_11.head_08,jokey,validation,trigger_other,True,True
layer_11.head_08,literature-focused,validation,original_prompt,True,True
layer_11.head_08,mathematical,validation,trigger_other,True,True
layer_10.head_12,HTML,discovery,original_prompt,True,True
layer_10.head_12,all-caps,validation,named_concept,True,True
layer_10.head_12,biology-focused,discovery,original_prompt,False,True
layer_10.head_12,chemistry-based,validation,named_concept,True,True
layer_10.head_12,comforting,discovery,named_concept,True,True
layer_10.head_12,confused,validation,trigger_other,True,True
layer_10.head_12,finnish,validation,original_prompt,True,True
layer_10.head_12,german,discovery,trigger_other,False,True
layer_10.head_12,jokey,validation,named_concept,True,True
layer_10.head_12,literature-focused,validation,named_concept,True,True
layer_10.head_12,mathematical,validation,trigger_other,True,True
layer_11.head_09,HTML,discovery,trigger_other,True,True
layer_11.head_09,all-caps,validation,trigger_other,True,True
layer_11.head_09,biology-focused,discovery,named_concept,True,True
layer_11.head_09,chemistry-based,validation,named_concept,True,True
layer_11.head_09,comforting,discovery,original_prompt,True,True
layer_11.head_09,confused,validation,trigger_other,True,True
layer_11.head_09,finnish,validation,trigger_other,True,True
layer_11.head_09,german,discovery,trigger_other,True,True
layer_11.head_09,jokey,validation,original_prompt,True,True
layer_11.head_09,literature-focused,validation,original_prompt,True,True
layer_11.head_09,mathematical,validation,trigger_other,True,True
layer_10.head_02,HTML,discovery,trigger_other,True,True
layer_10.head_02,all-caps,validation,named_concept,True,True
layer_10.head_02,biology-focused,discovery,original_prompt,True,True
layer_10.head_02,chemistry-based,validation,named_concept,True,True
layer_10.head_02,comforting,discovery,original_prompt,True,True
layer_10.head_02,confused,validation,original_prompt,True,True
layer_10.head_02,finnish,validation,trigger_other,True,True
layer_10.head_02,german,discovery,trigger_other,True,True
layer_10.head_02,jokey,validation,original_prompt,True,True
layer_10.head_02,literature-focused,validation,original_prompt,True,True
layer_10.head_02,mathematical,validation,original_prompt,True,True
layer_09.head_11,HTML,discovery,trigger_other,True,True
layer_09.head_11,all-caps,validation,trigger_other,True,True
layer_09.head_11,biology-focused,discovery,named_concept,True,True
layer_09.head_11,chemistry-based,validation,named_concept,True,True
layer_09.head_11,comforting,discovery,original_prompt,True,True
layer_09.head_11,confused,validation,original_prompt,True,True
layer_09.head_11,finnish,validation,trigger_other,True,True
layer_09.head_11,german,discovery,original_prompt,True,True
layer_09.head_11,jokey,validation,trigger_other,False,True
layer_09.head_11,literature-focused,validation,named_concept,True,True
layer_09.head_11,mathematical,validation,original_prompt,True,True
layer_12.head_12,HTML,discovery,original_prompt,True,True
layer_12.head_12,all-caps,validation,trigger_other,True,True
layer_12.head_12,biology-focused,discovery,monitoring_language,True,True
layer_12.head_12,chemistry-based,validation,trigger_other,True,True
layer_12.head_12,comforting,discovery,named_concept,True,True
layer_12.head_12,confused,validation,trigger_other,True,True
layer_12.head_12,finnish,validation,original_prompt,True,True
layer_12.head_12,german,discovery,original_prompt,True,True
layer_12.head_12,jokey,validation,monitoring_language,True,True
layer_12.head_12,literature-focused,validation,named_concept,True,True
layer_12.head_12,mathematical,validation,named_concept,True,True
layer_12.head_03,HTML,discovery,trigger_other,True,True
layer_12.head_03,all-caps,validation,original_prompt,True,True
layer_12.head_03,biology-focused,discovery,named_concept,True,True
layer_12.head_03,chemistry-based,validation,named_concept,True,True
layer_12.head_03,comforting,discovery,original_prompt,True,True
layer_12.head_03,confused,validation,trigger_other,True,True
layer_12.head_03,finnish,validation,original_prompt,True,True
layer_12.head_03,german,discovery,original_prompt,True,True
layer_12.head_03,jokey,validation,original_prompt,False,True
layer_12.head_03,literature-focused,validation,original_prompt,True,True
layer_12.head_03,mathematical,validation,trigger_other,True,True
layer_09.head_04,HTML,discovery,original_prompt,True,True
layer_09.head_04,all-caps,validation,original_prompt,True,True
layer_09.head_04,biology-focused,discovery,original_prompt,True,True
layer_09.head_04,chemistry-based,validation,monitoring_language,False,True
layer_09.head_04,comforting,discovery,named_concept,True,True
layer_09.head_04,confused,validation,original_prompt,True,True
layer_09.head_04,finnish,validation,original_prompt,False,True
layer_09.head_04,german,discovery,original_prompt,True,True
layer_09.head_04,jokey,validation,named_concept,True,True
layer_09.head_04,literature-focused,validation,named_concept,True,True
layer_09.head_04,mathematical,validation,trigger_other,True,True
layer_11.head_14,HTML,discovery,trigger_other,True,True
layer_11.head_14,all-caps,validation,monitoring_language,False,True
layer_11.head_14,biology-focused,discovery,monitoring_language,False,True
layer_11.head_14,chemistry-based,validation,monitoring_language,False,True
layer_11.head_14,comforting,discovery,original_prompt,True,True
layer_11.head_14,confused,validation,trigger_other,True,True
layer_11.head_14,finnish,validation,original_prompt,False,True
layer_11.head_14,german,discovery,original_prompt,True,True
layer_11.head_14,jokey,validation,original_prompt,True,True
layer_11.head_14,literature-focused,validation,original_prompt,True,True
layer_11.head_14,mathematical,validation,named_concept,True,True
layer_12.head_02,HTML,discovery,trigger_other,True,True
layer_12.head_02,all-caps,validation,named_concept,True,True
layer_12.head_02,biology-focused,discovery,trigger_other,True,True
layer_12.head_02,chemistry-based,validation,named_concept,True,True
layer_12.head_02,comforting,discovery,original_prompt,True,True
layer_12.head_02,confused,validation,trigger_other,True,True
layer_12.head_02,finnish,validation,original_prompt,False,True
layer_12.head_02,german,discovery,original_prompt,True,True
layer_12.head_02,jokey,validation,original_prompt,False,True
layer_12.head_02,literature-focused,validation,original_prompt,False,True
layer_12.head_02,mathematical,validation,original_prompt,True,True
layer_09.head_13,HTML,discovery,trigger_other,True,True
layer_09.head_13,all-caps,validation,original_prompt,True,True
layer_09.head_13,biology-focused,discovery,original_prompt,True,True
layer_09.head_13,chemistry-based,validation,original_prompt,True,True
layer_09.head_13,comforting,discovery,original_prompt,True,True
layer_09.head_13,confused,validation,trigger_other,False,True
layer_09.head_13,finnish,validation,original_prompt,True,True
layer_09.head_13,german,discovery,original_prompt,True,True
layer_09.head_13,jokey,validation,original_prompt,True,True
layer_09.head_13,literature-focused,validation,original_prompt,True,True
layer_09.head_13,mathematical,validation,original_prompt,True,True
layer_11.head_15,HTML,discovery,original_prompt,False,True
layer_11.head_15,all-caps,validation,original_prompt,True,True
layer_11.head_15,biology-focused,discovery,named_concept,True,True
layer_11.head_15,chemistry-based,validation,original_prompt,True,True
layer_11.head_15,comforting,discovery,trigger_other,True,True
layer_11.head_15,confused,validation,original_prompt,True,True
layer_11.head_15,finnish,validation,trigger_other,True,True
layer_11.head_15,german,discovery,trigger_other,True,True
layer_11.head_15,jokey,validation,trigger_other,True,True
layer_11.head_15,literature-focused,validation,monitoring_language,False,True
layer_11.head_15,mathematical,validation,original_prompt,True,True
