seed,concept,direction,selected_estimate,selected_ci_low,selected_ci_high,contrast_estimate,contrast_ci_low,contrast_ci_high,concept_support
7,deception,rescue,0.9472401502417127,0.9364896452997701,0.9574691425294145,0.9447302923083151,0.9343792138774568,0.9547365059932839,True
7,deception,induction,0.9869585939463079,0.9821332824055957,0.9911487753113413,0.983423262993293,0.9770730341669992,0.9894404657393027,True
7,harmful,rescue,0.8440159491257757,0.8300823795595326,0.8576236886457096,0.8572303799404092,0.8399339837582691,0.8744166428255677,True
7,harmful,induction,0.7256400359035885,0.7071528096555583,0.7434292739171444,0.7392664012826057,0.7196166065358512,0.7581969355140324,True
42,deception,rescue,0.9472401502417127,0.9360375794299036,0.9574329965233996,0.9447302923083151,0.9338549001089548,0.954592504309146,True
42,deception,induction,0.9869585939463079,0.9823185718007473,0.9911720781693969,0.983423262993293,0.9772132503959842,0.9893319855637777,True
42,harmful,rescue,0.8440159491257757,0.8301611889928359,0.8576598812680267,0.8572303799404092,0.8401334220297801,0.8741009506491217,True
42,harmful,induction,0.7256400359035885,0.7077434490840961,0.7435565090866575,0.7392664012826057,0.720070584369729,0.7584993411200293,True
2026,deception,rescue,0.9472401502417127,0.9361818037555742,0.9573027440696665,0.9447302923083151,0.933905399333243,0.9545625935856051,True
2026,deception,induction,0.9869585939463079,0.9822078974538233,0.9911199722472637,0.983423262993293,0.9770007409144337,0.9893751782486456,True
2026,harmful,rescue,0.8440159491257757,0.8297715775493202,0.8571496926537383,0.8572303799404092,0.8394902938939873,0.8733435218512348,True
2026,harmful,induction,0.7256400359035885,0.7072796372939499,0.743396603316294,0.7392664012826057,0.7197590154048774,0.758347621761224,True
314159,deception,rescue,0.9472401502417127,0.9363332672720696,0.9573169347951582,0.9447302923083151,0.9339905550251815,0.9546473167354028,True
314159,deception,induction,0.9869585939463079,0.9823154064020472,0.9911671972359978,0.983423262993293,0.9770915350936201,0.9894874074358179,True
314159,harmful,rescue,0.8440159491257757,0.8298525483285532,0.8573206850970879,0.8572303799404092,0.8401684113756771,0.87401748977369,True
314159,harmful,induction,0.7256400359035885,0.7072713806244308,0.743000504883236,0.7392664012826057,0.7197222268768056,0.7578988119229024,True
