concept,group_id,group_role,set_size,direction,n_examples,patched_probe_score,fraction,fraction_ci_low,fraction_ci_high
deception,selected_k16,selected,16,rescue,16,0.7704318556934595,0.9455748160576058,0.9308699003739114,0.9597189791206695
deception,selected_k16,selected,16,induction,16,0.056951142629259266,0.9874799387564597,0.9794558442339133,0.9943384590576869
deception,head_null_seed_11,seeded_layer_count_matched_head_null,16,rescue,16,0.05627710507178563,0.011638588294926195,0.00601974499425159,0.017882022114597926
deception,head_null_seed_11,seeded_layer_count_matched_head_null,16,induction,16,0.7812027558684349,0.04033953392008707,0.028370835988573307,0.052591989854943885
deception,head_null_seed_29,seeded_layer_count_matched_head_null,16,rescue,16,0.050450500475562876,0.004018843257139957,0.0010788739245432444,0.007294495580261423
deception,head_null_seed_29,seeded_layer_count_matched_head_null,16,induction,16,0.8127795681357384,-0.0009550579145593189,-0.008749392424105879,0.006428985613126863
deception,head_null_seed_47,seeded_layer_count_matched_head_null,16,rescue,16,0.04948675428022398,0.002758503694304415,-0.0004370541788568611,0.0061316910708347026
deception,head_null_seed_47,seeded_layer_count_matched_head_null,16,induction,16,0.7803682833909988,0.04143081571450208,0.029168625093581094,0.055377648433213786
deception,head_null_seed_83,seeded_layer_count_matched_head_null,16,rescue,16,0.05059785039702547,0.004211540189691488,0.0016767133598798868,0.007343725278669475
deception,head_null_seed_83,seeded_layer_count_matched_head_null,16,induction,16,0.8106615729629993,0.0018147513184192975,-0.0043615189795096175,0.006889449817747605
deception,head_null_seed_131,seeded_layer_count_matched_head_null,16,rescue,16,0.04337313599535264,-0.0052365836365343725,-0.008822035789874418,-0.0020964434163394164
deception,head_null_seed_131,seeded_layer_count_matched_head_null,16,induction,16,0.8417734876275063,-0.038871870446611556,-0.0545835911976154,-0.025301140026165583
deception,selected_heads_k12,decomposition_or_nearby_site,12,rescue,16,0.7656434811651707,0.9393128169038201,0.9165729426206428,0.9605014022500692
deception,selected_heads_k12,decomposition_or_nearby_site,12,induction,16,0.052743992586329114,0.992981841302519,0.985089785482642,0.9992384870549926
deception,selected_mlps_k4,decomposition_or_nearby_site,4,rescue,16,0.036246749201382045,-0.01455611948523518,-0.024613756914885033,-0.005937517600009144
deception,selected_mlps_k4,decomposition_or_nearby_site,4,induction,16,0.8348729684948921,-0.02984771314357918,-0.06656553231993542,0.008616333535593518
deception,earlier_mlps_layers_05_08,decomposition_or_nearby_site,4,rescue,16,0.042337806789873866,-0.006590535916226781,-0.012476047609957857,-0.0019924349044529227
deception,earlier_mlps_layers_05_08,decomposition_or_nearby_site,4,induction,16,0.8037932068109512,0.010796860545239872,-0.005342912072334869,0.029115677934747692
deception,selected_heads_shift_minus1,decomposition_or_nearby_site,12,rescue,16,0.06583210425742436,0.024134143198037538,0.012920255858769807,0.036160600648811596
deception,selected_heads_shift_minus1,decomposition_or_nearby_site,12,induction,16,0.67595050111413,0.1779832220467607,0.13187707107212,0.22700769845254387
deception,selected_without_layer_09,decomposition_or_nearby_site,12,rescue,16,0.7155341897159815,0.873782366268047,0.8474873519497789,0.8989712848174558
deception,selected_without_layer_09,decomposition_or_nearby_site,12,induction,16,0.07521758545772173,0.9635919891278864,0.9455078511651798,0.979692317793048
deception,selected_without_layer_10,decomposition_or_nearby_site,13,rescue,16,0.6711413487792015,0.8157276066125608,0.7785958111391904,0.8515985015006904
deception,selected_without_layer_10,decomposition_or_nearby_site,13,induction,16,0.08687948547594715,0.9483411336206088,0.924712370668569,0.9697608607371716
deception,selected_without_layer_11,decomposition_or_nearby_site,11,rescue,16,0.19828376034274697,0.19734786184594055,0.1382743736293443,0.2648061737764134
deception,selected_without_layer_11,decomposition_or_nearby_site,11,induction,16,0.32911116629838943,0.631562533415272,0.5542060978109882,0.7123433731925362
deception,selected_without_layer_12,decomposition_or_nearby_site,12,rescue,16,0.5430204253643751,0.6481774057529396,0.5808113007540042,0.7122851152071631
deception,selected_without_layer_12,decomposition_or_nearby_site,12,induction,16,0.10315994909615256,0.9270503492822756,0.8948530297195458,0.9557842963446272
deception,site_shuffled_seed_211,site_shuffled_control,16,rescue,16,0.09320827072951943,0.059935338419794364,0.022581802787966086,0.10006912366099804
deception,site_shuffled_seed_211,site_shuffled_control,16,induction,16,0.1317967742215842,0.8896005270841265,0.8351829288008168,0.9383289048627332
deception,site_shuffled_seed_223,site_shuffled_control,16,rescue,16,0.12901007663458586,0.1067551677704536,0.05401152561877193,0.16721661987732556
deception,site_shuffled_seed_223,site_shuffled_control,16,induction,16,0.07931258740427438,0.9582367483102414,0.9237908134399578,0.9910945747376647
harmful,selected_k16,selected,16,rescue,16,0.8305035568773746,0.8503574083164436,0.8267076190746743,0.8751608948617577
harmful,selected_k16,selected,16,induction,16,0.6196153592318296,0.7219460736980327,0.6771796519802152,0.7601384633053113
harmful,head_null_seed_11,seeded_layer_count_matched_head_null,16,rescue,16,0.5551047790795565,0.10298661547040823,0.0850589466467045,0.12551735995260346
harmful,head_null_seed_11,seeded_layer_count_matched_head_null,16,induction,16,0.8602939136326313,0.06879821493876324,0.04967321654155317,0.08669361743899585
harmful,head_null_seed_29,seeded_layer_count_matched_head_null,16,rescue,16,0.522495349869132,0.014491905515146238,-0.0015855085520770653,0.028526946241099277
harmful,head_null_seed_29,seeded_layer_count_matched_head_null,16,induction,16,0.8766298182308674,0.024466217284060437,0.011094221721268544,0.03733203612935569
harmful,head_null_seed_47,seeded_layer_count_matched_head_null,16,rescue,16,0.5408285651355982,0.06424415837073022,0.046296096124097526,0.08681392910418698
harmful,head_null_seed_47,seeded_layer_count_matched_head_null,16,induction,16,0.8729364424943924,0.03448921438855046,0.022092275184814526,0.04693198985827248
harmful,head_null_seed_83,seeded_layer_count_matched_head_null,16,rescue,16,0.5281839203089476,0.029929415564252663,0.011901769885747995,0.04622350786011181
harmful,head_null_seed_83,seeded_layer_count_matched_head_null,16,induction,16,0.8815356083214283,0.011152998326311744,0.0028596638329771752,0.019179464709800417
harmful,head_null_seed_131,seeded_layer_count_matched_head_null,16,rescue,16,0.5097593050450087,-0.020070876476993547,-0.03658018198514101,-0.0060834174902603426
harmful,head_null_seed_131,seeded_layer_count_matched_head_null,16,induction,16,0.8879023380577564,-0.006124884636441467,-0.01388950566155805,0.0016970209038305688
harmful,selected_heads_k12,decomposition_or_nearby_site,12,rescue,16,0.8229607045650482,0.8298877912830573,0.7944827597558092,0.8695255983413435
harmful,selected_heads_k12,decomposition_or_nearby_site,12,induction,16,0.6248955056071281,0.7076169353684971,0.6547846430716946,0.7529747685729986
harmful,selected_mlps_k4,decomposition_or_nearby_site,4,rescue,16,0.5321195796132088,0.040609916175468073,-0.018915706509262997,0.08797660700195016
harmful,selected_mlps_k4,decomposition_or_nearby_site,4,induction,16,0.8691088184714317,0.044876531368064326,-0.005702730237155515,0.08866587621937103
harmful,earlier_mlps_layers_05_08,decomposition_or_nearby_site,4,rescue,16,0.5283208452165127,0.030300999191259313,0.007637767530161626,0.05255809338200184
harmful,earlier_mlps_layers_05_08,decomposition_or_nearby_site,4,induction,16,0.8616195283830166,0.06520079248494545,0.039892497163091865,0.08713054124217069
harmful,selected_heads_shift_minus1,decomposition_or_nearby_site,12,rescue,16,0.5406403262168169,0.06373331997449984,0.04111449273803621,0.09303951734536371
harmful,selected_heads_shift_minus1,decomposition_or_nearby_site,12,induction,16,0.8385219573974609,0.1278824429930875,0.08909073537854266,0.168900289898386
harmful,selected_without_layer_09,decomposition_or_nearby_site,12,rescue,16,0.824023075401783,0.8327708285314284,0.8072216704881092,0.8616055232410539
harmful,selected_without_layer_09,decomposition_or_nearby_site,12,induction,16,0.6260006427764893,0.7046178398420987,0.6591068239515064,0.7430842005763274
harmful,selected_without_layer_10,decomposition_or_nearby_site,13,rescue,16,0.7992675043642521,0.7655897360748067,0.7334954350390288,0.8002233683540935
harmful,selected_without_layer_10,decomposition_or_nearby_site,13,induction,16,0.6674375534057617,0.5921673162859443,0.5387018333306621,0.6387082206380604
harmful,selected_without_layer_11,decomposition_or_nearby_site,11,rescue,16,0.7389611266553402,0.601931691974587,0.5528703964907123,0.6527869474400578
harmful,selected_without_layer_11,decomposition_or_nearby_site,11,induction,16,0.726158345118165,0.4328121985560303,0.3722104106421947,0.4885328777307542
harmful,selected_without_layer_12,decomposition_or_nearby_site,12,rescue,16,0.7189202271401882,0.5475451653539685,0.49896917570261146,0.5979615045070342
harmful,selected_without_layer_12,decomposition_or_nearby_site,12,induction,16,0.740483071655035,0.3939380891109157,0.340109649276545,0.4423428355990497
harmful,site_shuffled_seed_211,site_shuffled_control,16,rescue,16,0.5247224923223257,0.02053587286436372,-0.18215069983663096,0.1689018453147218
harmful,site_shuffled_seed_211,site_shuffled_control,16,induction,16,0.5870535224676132,0.8103116283805648,0.7031111440234505,0.9604672417337433
harmful,site_shuffled_seed_223,site_shuffled_control,16,rescue,16,0.5777765940874815,0.16451285931659937,0.03847403903121028,0.2505345337678607
harmful,site_shuffled_seed_223,site_shuffled_control,16,induction,16,0.8632067926228046,0.060893311737091685,0.013710541754207453,0.12196656256578287
