concept,direction,estimand,method,fraction,estimate,minimum,maximum,removed_examples
deception,rescue,selected,full,0,0.9472401502417126,0.9472401502417126,0.9472401502417126,0
deception,rescue,selected,leave_one_out,0.016129032258064516,0.9472392811646243,0.9461841774455527,0.9490205267086653,1
deception,rescue,selected,worst_case_favorable_deletion,0.05,0.9438712705432931,0.9438712705432931,0.9438712705432931,4
deception,rescue,selected,worst_case_favorable_deletion,0.1,0.9414070335661447,0.9414070335661447,0.9414070335661447,7
deception,rescue,selected,worst_case_favorable_deletion,0.2,0.9360164795930613,0.9360164795930613,0.9360164795930613,13
deception,rescue,selected,symmetric_trimmed_mean,0.05,0.9465621380464431,0.9465621380464431,0.9465621380464431,6
deception,rescue,selected,symmetric_trimmed_mean,0.1,0.9479727792378296,0.9479727792378296,0.9479727792378296,12
deception,rescue,selected,symmetric_trimmed_mean,0.2,0.9486246016857103,0.9486246016857103,0.9486246016857103,24
deception,rescue,selected,median_of_means,0,0.9475850773345187,0.9475850773345187,0.9475850773345187,0
deception,rescue,selected_minus_random,full,0,0.944730292308315,0.944730292308315,0.944730292308315,0
deception,rescue,selected_minus_random,leave_one_out,0.016129032258064516,0.9447294260170397,0.9437042527245881,0.9464765297612115,1
deception,rescue,selected_minus_random,worst_case_favorable_deletion,0.05,0.9411480294280713,0.9411480294280713,0.9411480294280713,4
deception,rescue,selected_minus_random,worst_case_favorable_deletion,0.1,0.9386460434632444,0.9386460434632444,0.9386460434632444,7
deception,rescue,selected_minus_random,worst_case_favorable_deletion,0.2,0.933810666992766,0.933810666992766,0.933810666992766,13
deception,rescue,selected_minus_random,symmetric_trimmed_mean,0.05,0.9438286385722782,0.9438286385722782,0.9438286385722782,6
deception,rescue,selected_minus_random,symmetric_trimmed_mean,0.1,0.9450595094133292,0.9450595094133292,0.9450595094133292,12
deception,rescue,selected_minus_random,symmetric_trimmed_mean,0.2,0.945354089907311,0.945354089907311,0.945354089907311,24
deception,rescue,selected_minus_random,median_of_means,0,0.943867288399625,0.943867288399625,0.943867288399625,0
deception,induction,selected,full,0,0.9869585939463079,0.9869585939463079,0.9869585939463079,0
deception,induction,selected,leave_one_out,0.016129032258064516,0.9869585703676639,0.9865662844752556,0.9880187245478758,1
deception,induction,selected,worst_case_favorable_deletion,0.05,0.9859679596247365,0.9859679596247365,0.9859679596247365,4
deception,induction,selected,worst_case_favorable_deletion,0.1,0.9852278015589557,0.9852278015589557,0.9852278015589557,7
deception,induction,selected,worst_case_favorable_deletion,0.2,0.9838756585345334,0.9838756585345334,0.9838756585345334,13
deception,induction,selected,symmetric_trimmed_mean,0.05,0.9857396923213927,0.9857396923213927,0.9857396923213927,6
deception,induction,selected,symmetric_trimmed_mean,0.1,0.9849145324170799,0.9849145324170799,0.9849145324170799,12
deception,induction,selected,symmetric_trimmed_mean,0.2,0.983713549435934,0.983713549435934,0.983713549435934,24
deception,induction,selected,median_of_means,0,0.9875840915030366,0.9875840915030366,0.9875840915030366,0
deception,induction,selected_minus_random,full,0,0.983423262993293,0.983423262993293,0.983423262993293,0
deception,induction,selected_minus_random,leave_one_out,0.016129032258064516,0.9834230626791396,0.9826468402731448,0.9843921702598297,1
deception,induction,selected_minus_random,worst_case_favorable_deletion,0.05,0.9821213393619592,0.9821213393619592,0.9821213393619592,4
deception,induction,selected_minus_random,worst_case_favorable_deletion,0.1,0.9809384664069091,0.9809384664069091,0.9809384664069091,7
deception,induction,selected_minus_random,worst_case_favorable_deletion,0.2,0.9795215141916724,0.9795215141916724,0.9795215141916724,13
deception,induction,selected_minus_random,symmetric_trimmed_mean,0.05,0.9819624468853878,0.9819624468853878,0.9819624468853878,6
deception,induction,selected_minus_random,symmetric_trimmed_mean,0.1,0.9825043910721188,0.9825043910721188,0.9825043910721188,12
deception,induction,selected_minus_random,symmetric_trimmed_mean,0.2,0.9816579132155692,0.9816579132155692,0.9816579132155692,24
deception,induction,selected_minus_random,median_of_means,0,0.9837910066839635,0.9837910066839635,0.9837910066839635,0
harmful,rescue,selected,full,0,0.8440159491257757,0.8440159491257757,0.8440159491257757,0
harmful,rescue,selected,leave_one_out,0.01,0.8440152642900699,0.8424633275489877,0.8459574626116159,1
harmful,rescue,selected,worst_case_favorable_deletion,0.05,0.8391644352146961,0.8391644352146961,0.8391644352146961,5
harmful,rescue,selected,worst_case_favorable_deletion,0.1,0.8393565737290829,0.8393565737290829,0.8393565737290829,10
harmful,rescue,selected,worst_case_favorable_deletion,0.2,0.8288958112992411,0.8288958112992411,0.8288958112992411,20
harmful,rescue,selected,symmetric_trimmed_mean,0.05,0.844238720173867,0.844238720173867,0.844238720173867,10
harmful,rescue,selected,symmetric_trimmed_mean,0.1,0.8420460001936529,0.8420460001936529,0.8420460001936529,20
harmful,rescue,selected,symmetric_trimmed_mean,0.2,0.8401976040299048,0.8401976040299048,0.8401976040299048,40
harmful,rescue,selected,median_of_means,0,0.8438328587874704,0.8438328587874704,0.8438328587874704,0
harmful,rescue,selected_minus_random,full,0,0.8572303799404092,0.8572303799404092,0.8572303799404092,0
harmful,rescue,selected_minus_random,leave_one_out,0.01,0.8572300698695081,0.8555300451575009,0.8598518616153624,1
harmful,rescue,selected_minus_random,worst_case_favorable_deletion,0.05,0.8521499161328693,0.8521499161328693,0.8521499161328693,5
harmful,rescue,selected_minus_random,worst_case_favorable_deletion,0.1,0.8505429649538819,0.8505429649538819,0.8505429649538819,10
harmful,rescue,selected_minus_random,worst_case_favorable_deletion,0.2,0.8435210625151486,0.8435210625151486,0.8435210625151486,20
harmful,rescue,selected_minus_random,symmetric_trimmed_mean,0.05,0.8568880703011187,0.8568880703011187,0.8568880703011187,10
harmful,rescue,selected_minus_random,symmetric_trimmed_mean,0.1,0.8550634389920391,0.8550634389920391,0.8550634389920391,20
harmful,rescue,selected_minus_random,symmetric_trimmed_mean,0.2,0.8528349829825539,0.8528349829825539,0.8528349829825539,40
harmful,rescue,selected_minus_random,median_of_means,0,0.8626771724627942,0.8626771724627942,0.8626771724627942,0
harmful,induction,selected,full,0,0.7256400359035887,0.7256400359035887,0.7256400359035887,0
harmful,induction,selected,leave_one_out,0.01,0.7256388332961106,0.723508527084608,0.7280448412574343,1
harmful,induction,selected,worst_case_favorable_deletion,0.05,0.7182233317677228,0.7182233317677228,0.7182233317677228,5
harmful,induction,selected,worst_case_favorable_deletion,0.1,0.7127923397618544,0.7127923397618544,0.7127923397618544,10
harmful,induction,selected,worst_case_favorable_deletion,0.2,0.6934220824224873,0.6934220824224873,0.6934220824224873,20
harmful,induction,selected,symmetric_trimmed_mean,0.05,0.7210425978940023,0.7210425978940023,0.7210425978940023,10
harmful,induction,selected,symmetric_trimmed_mean,0.1,0.7156413188215649,0.7156413188215649,0.7156413188215649,20
harmful,induction,selected,symmetric_trimmed_mean,0.2,0.7045664993562191,0.7045664993562191,0.7045664993562191,40
harmful,induction,selected,median_of_means,0,0.722793531055644,0.722793531055644,0.722793531055644,0
harmful,induction,selected_minus_random,full,0,0.739266401282606,0.739266401282606,0.739266401282606,0
harmful,induction,selected_minus_random,leave_one_out,0.01,0.739265283945852,0.7373365258856466,0.7419026729246224,1
harmful,induction,selected_minus_random,worst_case_favorable_deletion,0.05,0.7334090110165169,0.7334090110165169,0.7334090110165169,5
harmful,induction,selected_minus_random,worst_case_favorable_deletion,0.1,0.7254349769331693,0.7254349769331693,0.7254349769331693,10
harmful,induction,selected_minus_random,worst_case_favorable_deletion,0.2,0.707814656499866,0.707814656499866,0.707814656499866,20
harmful,induction,selected_minus_random,symmetric_trimmed_mean,0.05,0.7346191141594776,0.7346191141594776,0.7346191141594776,10
harmful,induction,selected_minus_random,symmetric_trimmed_mean,0.1,0.728580071666671,0.728580071666671,0.728580071666671,20
harmful,induction,selected_minus_random,symmetric_trimmed_mean,0.2,0.7182142376114996,0.7182142376114996,0.7182142376114996,40
harmful,induction,selected_minus_random,median_of_means,0,0.7439701603225208,0.7439701603225208,0.7439701603225208,0
