concept,mapping_id,direction,estimand,alpha,estimate,ci_low,ci_high
deception,baseline,suppression,gap,,0.7649279378638312,0.7085533332096929,0.8216308053643843
deception,day14_seed_211_heads,induction,absolute,,0.9002335798300672,0.8464319471684868,0.9506715036097485
deception,day14_seed_211_heads,induction,conditional,,0.02544509087786334,0.006921616496534468,0.04604391315194869
deception,day14_seed_211_heads,induction,same_condition_mismatch,,0.874788488952204,0.8162612130528043,0.9274428581399258
deception,day14_seed_211_heads,rescue,absolute,,0.05001765024848675,0.00284732165428802,0.10388349968723937
deception,day14_seed_211_heads,rescue,conditional,,0.021226874882489796,0.007808563892156923,0.03585577529458995
deception,day14_seed_211_heads,rescue,same_condition_mismatch,,0.028790775365996953,-0.010768322441296996,0.07371457359769826
deception,day14_seed_211_heads,induction,delta,-1.0,0.004346006783862339,-0.011184366798992285,0.01805195912629724
deception,day14_seed_211_heads,induction,delta,0.0,6.325310921646118e-05,-0.0006443010254892342,0.0007980909280489457
deception,day14_seed_211_heads,induction,delta,0.25,0.004359014872460827,0.00010106219988196156,0.010035180349266598
deception,day14_seed_211_heads,induction,delta,0.5,0.010803638846362417,0.0020734559398921043,0.022621643277303878
deception,day14_seed_211_heads,induction,delta,0.75,0.019688845175829302,0.006689468874900136,0.03738457487848629
deception,day14_seed_211_heads,induction,delta,1.0,0.03092733697275669,0.01344426317475378,0.054377863001573074
deception,day14_seed_211_heads,induction,delta,1.5,0.056210824204444086,0.030534472956735944,0.08970799495506802
deception,day14_seed_211_heads,induction,delta_rms,1.0,0.06055471735653864,0.0408817691388885,0.08315666144359413
deception,day14_seed_211_heads,rescue,delta,-1.0,0.00028565726017362096,-0.005053840183904763,0.0058866029258243255
deception,day14_seed_211_heads,rescue,delta,0.0,9.390847928615972e-05,-0.0001233178806839586,0.0003333537182390966
deception,day14_seed_211_heads,rescue,delta,0.25,0.00048252050335746585,-0.0014154331487738982,0.002580612914054866
deception,day14_seed_211_heads,rescue,delta,0.5,0.0012292217066977174,-0.0025794522301800745,0.005519789551780886
deception,day14_seed_211_heads,rescue,delta,0.75,0.0025059688790311273,-0.0031372171266884105,0.00931589517796782
deception,day14_seed_211_heads,rescue,delta,1.0,0.004040472645490333,-0.0035739721442839,0.013635669229444446
deception,day14_seed_211_heads,rescue,delta,1.5,0.007728046674377839,-0.004078525435676664,0.02304754207036662
