scope,split_role,mapping_id,mapping_class,size,direction,additive_pair_prediction,estimate,ci_low,ci_high
HTML,development,within_15015,within_layer,1,induction,-0.0001245526259881786,0.00238141350479154,0.0009047857386022201,0.004568392016450056
HTML,development,within_15015,within_layer,1,rescue,-0.0014812923154855053,-0.00032158727679399725,-0.0011999764825345234,0.0005450671377744676
HTML,development,within_15015,within_layer,2,induction,0.005038554495120488,0.0027582437816682996,0.0010917391840337095,0.005194731038164074
HTML,development,within_15015,within_layer,2,rescue,0.0004428312879916855,0.002379882566062023,0.0013447941090564454,0.003727390311604815
HTML,development,within_15015,within_layer,4,induction,0.006075521702640616,0.006505705351166163,0.003562534356759151,0.010552981890240521
HTML,development,within_15015,within_layer,4,rescue,0.016263437859475635,0.017183783640130627,0.012721611883830326,0.022088323284944908
HTML,development,within_15015,within_layer,8,induction,0.25269844432408073,0.26941781274194776,0.21508151385302574,0.32291077259174356
HTML,development,within_15015,within_layer,8,rescue,0.3603375770015731,0.7590194027042998,0.7281303935986014,0.789288562341732
HTML,development,within_15015,within_layer,12,induction,0.2912938011433939,0.28200140194023965,0.2359052448886511,0.3274139098603752
HTML,development,within_15015,within_layer,12,rescue,0.38132733176012024,0.7528534545739852,0.7141952609754801,0.7899345229234476
HTML,development,within_15004,within_layer,1,induction,0.003120197757684004,0.008130796061351676,0.0044822790044924225,0.012880588977274865
HTML,development,within_15004,within_layer,1,rescue,0.01256835962802029,0.035849380755040385,0.03210881301344686,0.040085921219269315
HTML,development,within_15004,within_layer,2,induction,0.005052646230671997,0.007359106788506694,0.004121743999624166,0.011673550432889177
HTML,development,within_15004,within_layer,2,rescue,0.014948228901561646,0.04063586595125124,0.03576614128492543,0.046300258361678365
HTML,development,within_15004,within_layer,4,induction,0.006005674702235128,0.006733906867852889,0.0036834501724495655,0.010702097504004401
HTML,development,within_15004,within_layer,4,rescue,0.019599358835582673,0.03792349774770443,0.03293413098398154,0.043655816440200404
HTML,development,within_15004,within_layer,8,induction,0.25262859732367526,0.28255298459126993,0.2222472106347874,0.34184078180876204
HTML,development,within_15004,within_layer,8,rescue,0.3636734979776801,0.7618301641446815,0.7331803896869017,0.7899396287779402
HTML,development,within_15004,within_layer,12,induction,0.2895333940700558,0.36465820521087644,0.2986826463264731,0.42970877874289304
HTML,development,within_15004,within_layer,12,rescue,0.38758785596112627,0.7821231341051351,0.7484914588366831,0.8100552251587696
HTML,development,cross_15130,cross_layer,1,induction,0.003512548529168123,0.016973041435490725,0.011404800962879337,0.02325729621161902
HTML,development,cross_15130,cross_layer,1,rescue,0.0224973494206311,0.07439957931426297,0.06850669966809224,0.08096223643799039
HTML,development,cross_15130,cross_layer,2,induction,0.0019211350076333061,0.016617250673793705,0.011083948691250593,0.023077832006427188
HTML,development,cross_15130,cross_layer,2,rescue,0.020452560577670635,0.0779018472993304,0.07145265964116747,0.08570826228590771
HTML,development,cross_15130,cross_layer,4,induction,0.012925696992307723,0.02291407528556616,0.014279655294869924,0.03375635987374388
HTML,development,cross_15130,cross_layer,4,rescue,0.035468751634690675,0.10393598172522495,0.09260910784390698,0.11930455589333175
HTML,development,cross_15130,cross_layer,8,induction,0.019708555554596042,0.033957230628953006,0.02141426104552591,0.04994006783785035
HTML,development,cross_15130,cross_layer,8,rescue,0.05529425950276232,0.12258298371878512,0.10952082409325944,0.13763925064296603
HTML,development,cross_15130,cross_layer,12,induction,0.03155460902995656,0.04100818454117536,0.02651849406845821,0.05989847555633412
HTML,development,cross_15130,cross_layer,12,rescue,0.10854175513520446,0.1986872580499887,0.17940141684700792,0.21982466824456684
HTML,development,cross_15122,cross_layer,1,induction,0.0001859538488257345,-0.0014568106461857854,-0.004465720128566253,0.0008893566859928254
HTML,development,cross_15122,cross_layer,1,rescue,0.010681968680798471,0.017903559216351738,0.015138278612760283,0.02050362380122598
HTML,development,cross_15122,cross_layer,2,induction,0.0030219986514449506,0.002181288713303254,-0.00016128158052045353,0.004963233488193124
HTML,development,cross_15122,cross_layer,2,rescue,0.01709051321228977,0.02935878196807961,0.02513382875910752,0.033653341712466624
HTML,development,cross_15122,cross_layer,4,induction,0.014662531800372896,0.03223281970529261,0.022157799968282293,0.04321400960240848
HTML,development,cross_15122,cross_layer,4,rescue,0.06467754808200218,0.19283632572835938,0.1827185455036893,0.20440187266898965
