scope,concept,direction,estimand,source_role,mapping_id,estimate,ci_low,ci_high
mapping,deception,rescue,absolute,selected,within_15015,0.32421069236864264,0.2811646505492136,0.3686226470061604
mapping,deception,rescue,absolute,selected,within_15004,0.42310787906900205,0.3822299694241428,0.4643461717204994
mapping,deception,rescue,absolute,selected,cross_15130,0.19630484463663533,0.1598769015407169,0.23324096210611342
mapping,deception,rescue,absolute,selected,cross_15122,0.10303985130295382,0.06974411716387448,0.13842664587394451
population,deception,rescue,absolute,selected,mean_of_four_benign_selected_mappings,0.26166581684430845,0.23058981685292465,0.2930999878994827
mapping,deception,rescue,absolute,null,within_15015,0.08777750019050248,0.06181701096776503,0.11463045808350836
mapping,deception,rescue,absolute,null,within_15004,0.12396380009436471,0.09319021917745764,0.15530452877155634
mapping,deception,rescue,absolute,null,cross_15130,0.0984263269010285,0.07389049597354083,0.12337081092423163
mapping,deception,rescue,absolute,null,cross_15122,0.0768138225645915,0.05262334586042682,0.10168405599941252
population,deception,rescue,absolute,null,mean_of_four_benign_selected_mappings,0.0967453624376218,0.07154401467531482,0.12254869954346212
contrast,deception,rescue,absolute,selected_minus_null,mean_of_four_route_matched_contrasts,0.16492045440668665,0.14366183511669928,0.1877584769481703
mapping,deception,rescue,same_condition_mismatch,selected,within_15015,0.018456972704668874,0.0065745118229726136,0.03306673315827679
mapping,deception,rescue,same_condition_mismatch,selected,within_15004,-0.00201509859328278,-0.010594796501360814,0.007959703939983227
mapping,deception,rescue,same_condition_mismatch,selected,cross_15130,0.10007880667277338,0.07444231921922105,0.1262256779008614
mapping,deception,rescue,same_condition_mismatch,selected,cross_15122,0.11405046984645843,0.08099985761312507,0.1492896346436981
population,deception,rescue,same_condition_mismatch,selected,mean_of_four_benign_selected_mappings,0.05764278765765447,0.04226793927444919,0.07418254793458404
mapping,deception,rescue,same_condition_mismatch,null,within_15015,0.10724496755906866,0.07809251907508379,0.13657268051073612
mapping,deception,rescue,same_condition_mismatch,null,within_15004,0.12869133054997328,0.09866154939467106,0.15857375102738414
mapping,deception,rescue,same_condition_mismatch,null,cross_15130,0.09110356222767392,0.06761200024786182,0.1151146744470431
mapping,deception,rescue,same_condition_mismatch,null,cross_15122,0.07939221901674663,0.05494377925900962,0.10555689194989658
population,deception,rescue,same_condition_mismatch,null,mean_of_four_benign_selected_mappings,0.10160801983836562,0.07592537979633647,0.12799251939145756
contrast,deception,rescue,same_condition_mismatch,selected_minus_null,mean_of_four_route_matched_contrasts,-0.04396523218071115,-0.06066105131060173,-0.026951278756214753
mapping,deception,rescue,conditional,selected,within_15015,0.30575371966397374,0.26908209262861665,0.3434471126670602
mapping,deception,rescue,conditional,selected,within_15004,0.42512297766228474,0.38529539293197973,0.46445916727420544
mapping,deception,rescue,conditional,selected,cross_15130,0.09622603796386195,0.08023507842810162,0.11240666357332835
