concept,direction,source_role,mapping_id,example_count,mean_base_token_f1,mean_base_common_prefix_fraction,exact_base_match_fraction,mean_reference_token_f1,mean_generated_token_count,eos_fraction,mean_repeated_fourgram_fraction,mean_generated_probe_score
deception,induction,identity,selected_k12_identity,2,0.875,0.75,0.5,0.0939655172413793,23.0,0.5,0.06896551724137934,0.034586239606142044
deception,induction,null,cross_15122,2,1.0,1.0,1.0,0.0939655172413793,23.0,0.5,0.10344827586206895,0.5250817015767097
deception,induction,null,cross_15130,2,1.0,1.0,1.0,0.0939655172413793,23.0,0.5,0.10344827586206895,0.5262864306569099
deception,induction,null,within_15004,2,1.0,1.0,1.0,0.0939655172413793,23.0,0.5,0.10344827586206895,0.531750001013279
deception,induction,null,within_15015,2,1.0,1.0,1.0,0.0939655172413793,23.0,0.5,0.10344827586206895,0.5378042608499527
deception,induction,selected,cross_15122,2,1.0,1.0,1.0,0.0939655172413793,23.0,0.5,0.10344827586206895,0.5227930881083012
deception,induction,selected,cross_15130,2,1.0,1.0,1.0,0.0939655172413793,23.0,0.5,0.10344827586206895,0.4905219003558159
deception,induction,selected,within_15004,2,0.875,0.75,0.5,0.0939655172413793,23.0,0.5,0.06896551724137934,0.21987423114478588
deception,induction,selected,within_15015,2,0.890625,0.75,0.5,0.0939655172413793,23.0,0.5,0.06896551724137934,0.2689516879618168
deception,rescue,identity,selected_k12_identity,2,1.0,1.0,1.0,0.11442006269592475,14.0,1.0,0.0,0.5191174373030663
deception,rescue,null,cross_15122,2,1.0,1.0,1.0,0.11442006269592475,14.0,1.0,0.0,0.04912352189421654
deception,rescue,null,cross_15130,2,1.0,1.0,1.0,0.11442006269592475,14.0,1.0,0.0,0.04413946624845266
deception,rescue,null,within_15004,2,1.0,1.0,1.0,0.11442006269592475,14.0,1.0,0.0,0.04265729058533907
deception,rescue,null,within_15015,2,1.0,1.0,1.0,0.11442006269592475,14.0,1.0,0.0,0.04077179078012705
deception,rescue,selected,cross_15122,2,1.0,1.0,1.0,0.11442006269592475,14.0,1.0,0.0,0.04945007525384426
deception,rescue,selected,cross_15130,2,1.0,1.0,1.0,0.11442006269592475,14.0,1.0,0.0,0.05672471038997173
deception,rescue,selected,within_15004,2,1.0,1.0,1.0,0.11442006269592475,14.0,1.0,0.0,0.25032835826277733
deception,rescue,selected,within_15015,2,1.0,1.0,1.0,0.11442006269592475,14.0,1.0,0.0,0.19642521813511848
harmful,induction,identity,selected_k12_identity,2,0.828125,0.78125,0.5,0.18603674540682413,32.0,0.0,0.0,0.3068065643310547
harmful,induction,null,cross_15122,2,1.0,1.0,1.0,0.18603674540682413,32.0,0.0,0.0,0.5260448455810547
harmful,induction,null,cross_15130,2,1.0,1.0,1.0,0.18603674540682413,32.0,0.0,0.0,0.5708780288696289
harmful,induction,null,within_15004,2,0.734375,0.59375,0.5,0.18603674540682413,32.0,0.0,0.0,0.5694007873535156
harmful,induction,null,within_15015,2,0.828125,0.78125,0.5,0.18603674540682413,32.0,0.0,0.0,0.6148834228515625
harmful,induction,selected,cross_15122,2,0.578125,0.375,0.0,0.20178477690288713,32.0,0.0,0.0,0.5670185089111328
harmful,induction,selected,cross_15130,2,0.578125,0.375,0.0,0.20178477690288713,32.0,0.0,0.0,0.5219173431396484
harmful,induction,selected,within_15004,2,0.828125,0.78125,0.5,0.18603674540682413,32.0,0.0,0.0,0.5105304718017578
harmful,induction,selected,within_15015,2,0.875,0.71875,0.0,0.18057742782152233,32.0,0.0,0.0,0.4753990173339844
harmful,rescue,identity,selected_k12_identity,2,0.890625,0.6875,0.5,0.17270341207349083,32.0,0.0,0.0,0.4349985122680664
harmful,rescue,null,cross_15122,2,1.0,1.0,1.0,0.14603674540682415,32.0,0.0,0.0,0.2580227851867676
harmful,rescue,null,cross_15130,2,1.0,1.0,1.0,0.14603674540682415,32.0,0.0,0.0,0.2233588695526123
harmful,rescue,null,within_15004,2,0.90625,0.578125,0.5,0.15391076115485564,32.0,0.0,0.0,0.23337864875793457
harmful,rescue,null,within_15015,2,1.0,1.0,1.0,0.14603674540682415,32.0,0.0,0.0,0.21475601196289062
harmful,rescue,selected,cross_15122,2,0.90625,0.578125,0.5,0.15391076115485564,32.0,0.0,0.0,0.2671527862548828
harmful,rescue,selected,cross_15130,2,0.78125,0.578125,0.5,0.16178477690288712,32.0,0.0,0.0,0.37678003311157227
harmful,rescue,selected,within_15004,2,0.90625,0.78125,0.0,0.15391076115485564,32.0,0.0,0.017241379310344807,0.2710258960723877
harmful,rescue,selected,within_15015,2,0.96875,0.703125,0.5,0.13816272965879264,32.0,0.0,0.0,0.2861814498901367
